ENSPCIP00000031828	ENSPCIG00000023621	Phascolarctos_cinereus	ENSPCIT00000039130
ENSVURP00010028471	ENSVURG00010021788	Vombatus_ursinus	ENSVURT00010032441
ENSSHAP00000006468	ENSSHAG00000005629	Sarcophilus_harrisii	ENSSHAT00000006524
ENSMODP00000058286	ENSMODG00000050920	Monodelphis_domestica	ENSMODT00000073913
ENSCHIP00000000380	ENSCHIG00000000271	Capra_hircus
ENSOARP00000016939	ENSOARG00000015779	Ovis_aries
ENSBIXP00000035418	ENSBIXG00000018692	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005011223	ENSBIXG00005002442	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000029376	ENSBTAG00000022019	Bos_taurus
ENSBMUP00000003851	ENSBMUG00000003024	Bos_mutus
ENSSSCP00000072664	ENSSSCG00000010084	Sus_scrofa_strain_reference
ENSEASP00005032640	ENSEASG00005022281	Equus_asinus_asinus
ENSECAP00000036181	ENSECAG00000008069	Equus_caballus
ENSMLUP00000017269	ENSMLUG00000029685	Myotis_lucifugus
ENSUAMP00000027887	ENSUAMG00000021560	Ursus_americanus
ENSUMAP00000004403	ENSUMAG00000003560	Ursus_maritimus
ENSAMEP00000009252	ENSAMEG00000008805	Ailuropoda_melanoleuca
ENSMPUP00000003132	ENSMPUG00000003165	Mustela_putorius_furo
ENSNVIP00000028000	ENSNVIG00000021648	Neovison_vison
ENSCAFP00000022570	ENSCAFG00000015313	Canis_lupus_familiaris
ENSCAFP00020018996	ENSCAFG00020015083	Canis_lupus_dingo
ENSVVUP00000028206	ENSVVUG00000020645	Vulpes_vulpes
ENSPPRP00000018987	ENSPPRG00000010465	Panthera_pardus
ENSPTIP00000024733	ENSPTIG00000020738	Panthera_tigris_altaica
ENSFCAP00000025613	ENSFCAG00000031033	Felis_catus
ENSCCNP00000026878	ENSCCNG00000026039	Castor_canadensis
ENSDORP00000021673	ENSDORG00000029779	Dipodomys_ordii
ENSMSIP00000021109	ENSMSIG00000017910	Mus_spicilegus
ENSMSIP00000009152	ENSMSIG00000008114	Mus_spicilegus
MGP_SPRETEiJ_P0042447	MGP_SPRETEiJ_G0021399	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000091026	ENSMUSG00000049916	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0040590	MGP_CAROLIEiJ_G0020504	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0027984	MGP_PahariEiJ_G0016209	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000040753	ENSRNOG00000026918	Rattus_norvegicus
ENSMUGP00000010841	ENSMUGG00000009511	Meriones_unguiculatus
ENSCGRP00000025232	ENSCGRG00000018267	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001022227	ENSCGRG00001020828	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015012389	ENSCGRG00015009485	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000006676	ENSMAUG00000008560	Mesocricetus_auratus
ENSPEMP00000017061	ENSPEMG00000016103	Peromyscus_maniculatus_bairdii
ENSMOCP00000007449	ENSMOCG00000007261	Microtus_ochrogaster
ENSNGAP00000016978	ENSNGAG00000017543	Nannospalax_galili
ENSJJAP00000023572	ENSJJAG00000023302	Jaculus_jaculus
ENSHGLP00100001214	ENSHGLG00100000964	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000014077	ENSHGLG00000010057	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000013923	ENSFDAG00000000864	Fukomys_damarensis
ENSCLAP00000023335	ENSCLAG00000016001	Chinchilla_lanigera
ENSODEP00000023180	ENSODEG00000016999	Octodon_degus
ENSCPOP00000021002	ENSCPOG00000020837	Cavia_porcellus
ENSCAPP00000002512	ENSCAPG00000005499	Cavia_aperea
