ENSBBBP00000016726	ENSBBBG00000007731	Bison_bison_bison
ENSEEUP00000003505	ENSEEUG00000003865	Erinaceus_europaeus
ENSHGLP00100011298	ENSHGLG00100008394	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00100027253	ENSHGLG00100020303	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000023015	ENSHGLG00000016416	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100027249	ENSHGLG00100020298	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000021121	ENSFDAG00000007938	Fukomys_damarensis
ENSCLAP00000000557	ENSCLAG00000000453	Chinchilla_lanigera
ENSCLAP00000000540	ENSCLAG00000000437	Chinchilla_lanigera
ENSMMMP00000000410	ENSMMMG00000000370	Marmota_marmota_marmota
ENSMMMP00000000469	ENSMMMG00000000429	Marmota_marmota_marmota
ENSSTOP00000023259	ENSSTOG00000033756	Ictidomys_tridecemlineatus
ENSSDAP00000020397	ENSSDAG00000018584	Spermophilus_dauricus
ENSSDAP00000020417	ENSSDAG00000018602	Spermophilus_dauricus
ENSSDAP00000020387	ENSSDAG00000018571	Spermophilus_dauricus
ENSSTOP00000032270	ENSSTOG00000031189	Ictidomys_tridecemlineatus
ENSMMMP00000000429	ENSMMMG00000000408	Marmota_marmota_marmota
ENSSDAP00000020405	ENSSDAG00000018593	Spermophilus_dauricus
ENSDORP00000021038	ENSDORG00000023357	Dipodomys_ordii
ENSETEP00000002422	ENSETEG00000002955	Echinops_telfairi
ENSUMAP00000005358	ENSUMAG00000004262	Ursus_maritimus
ENSUAMP00000018105	ENSUAMG00000014376	Ursus_americanus
ENSUMAP00000005373	ENSUMAG00000004272	Ursus_maritimus
ENSAMEP00000019747	ENSAMEG00000018689	Ailuropoda_melanoleuca
ENSNVIP00000016556	ENSNVIG00000012978	Neovison_vison
ENSMPUP00000006540	ENSMPUG00000006595	Mustela_putorius_furo
ENSMPUP00000020052	ENSMPUG00000020187	Mustela_putorius_furo
ENSNVIP00000016513	ENSNVIG00000012949	Neovison_vison
ENSCAFP00020019039	ENSCAFG00020015123	Canis_lupus_dingo
ENSCAFP00020019020	ENSCAFG00020015107	Canis_lupus_dingo
ENSCAFP00000003569	ENSCAFG00000029760	Canis_lupus_familiaris
ENSPPRP00000027279	ENSPPRG00000018616	Panthera_pardus
ENSPTIP00000001207	ENSPTIG00000003146	Panthera_tigris_altaica
ENSSSCP00000019808	ENSSSCG00000049628	Sus_scrofa_strain_reference
ENSSSCP00000065329	ENSSSCG00000041945	Sus_scrofa_strain_reference
ENSECAP00000036564	ENSECAG00000037890	Equus_caballus
ENSEASP00005030043	ENSEASG00005020445	Equus_asinus_asinus
ENSEASP00005030045	ENSEASG00005020447	Equus_asinus_asinus
ENSECAP00000001796	ENSECAG00000034303	Equus_caballus
ENSMUSP00000150128	ENSMUSG00000093877	Mus_musculus_strain_reference_(CL57BL6)
ENSMSIP00000000706	ENSMSIG00000000742	Mus_spicilegus
ENSRNOP00000067559	ENSRNOG00000047512	Rattus_norvegicus
ENSMUGP00000004541	ENSMUGG00000004199	Meriones_unguiculatus
ENSCGRP00015006975	ENSCGRG00015005431	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001001992	ENSCGRG00001002005	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000004595	ENSCGRG00000003378	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000016865	ENSMAUG00000015876	Mesocricetus_auratus
ENSMOCP00000003589	ENSMOCG00000002871	Microtus_ochrogaster
ENSCGRP00001002140	ENSCGRG00001002225	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015006965	ENSCGRG00015005417	Cricetulus_griseus_CriGri-PICR
ENSPEMP00000030400	ENSPEMG00000028620	Peromyscus_maniculatus_bairdii
ENSMOCP00000002462	ENSMOCG00000001942	Microtus_ochrogaster
ENSMSIP00000000696	ENSMSIG00000000725	Mus_spicilegus
ENSMUSP00000152024	ENSMUSG00000034583	Mus_musculus_strain_reference_(CL57BL6)
ENSNGAP00000000543	ENSNGAG00000000415	Nannospalax_galili
ENSOCUP00000030465	ENSOCUG00000035686	Oryctolagus_cuniculus
ENSOCUP00000048217	ENSOCUG00000039166	Oryctolagus_cuniculus
ENSLAFP00000025089	ENSLAFG00000026293	Loxodonta_africana
ENSLAFP00000025344	ENSLAFG00000030103	Loxodonta_africana
ENSDNOP00000019887	ENSDNOG00000036253	Dasypus_novemcinctus
ENSDNOP00000021594	ENSDNOG00000038809	Dasypus_novemcinctus
ENSDNOP00000028880	ENSDNOG00000031957	Dasypus_novemcinctus
