ENSUMAP00000013422	ENSUMAG00000009916	Ursus_maritimus	ENSUMAT00000015936
ENSEEUP00000010132	ENSEEUG00000011129	Erinaceus_europaeus
ENSBIXP00005005991	ENSBIXG00005011562	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBMUP00000014958	ENSBMUG00000011381	Bos_mutus
ENSOARP00000018674	ENSOARG00000017398	Ovis_aries
ENSMUSP00000141198	ENSMUSG00000076613	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0000006	MGP_SPRETEiJ_G0000005	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000030256	ENSMSIG00000025340	Mus_spicilegus
MGP_CAROLIEiJ_P0000007	MGP_CAROLIEiJ_G0000005	Mus_caroli_strain_CAROLI_EIJ
ENSMSIP00000008463	ENSMSIG00000007504	Mus_spicilegus
ENSMUSP00000100212	ENSMUSG00000076612	Mus_musculus_strain_reference_(CL57BL6)
MGP_PahariEiJ_P0000010	MGP_PahariEiJ_G0000008	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000044037	ENSRNOG00000048402	Rattus_norvegicus
ENSMUGP00000002067	ENSMUGG00000001843	Meriones_unguiculatus
ENSMUGP00000013307	ENSMUGG00000011402	Meriones_unguiculatus
ENSCGRP00000022866	ENSCGRG00000016568	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001017883	ENSCGRG00001017803	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015029193	ENSCGRG00015021779	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000017484	ENSMAUG00000016341	Mesocricetus_auratus
ENSMOCP00000023789	ENSMOCG00000020403	Microtus_ochrogaster
ENSCGRP00015030998	ENSCGRG00015022272	Cricetulus_griseus_CriGri-PICR
ENSPEMP00000033703	ENSPEMG00000013304	Peromyscus_maniculatus_bairdii
ENSMSIP00000030299	ENSMSIG00000025372	Mus_spicilegus
ENSMUSP00000152559	ENSMUSG00000076615	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0000009	MGP_SPRETEiJ_G0000007	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0000010	MGP_CAROLIEiJ_G0000007	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0000013	MGP_PahariEiJ_G0000010	Mus_pahari_strain_PAHARI_EIJ
ENSMUSP00000141658	ENSMUSG00000076614	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0000007	MGP_SPRETEiJ_G0000006	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000030272	ENSMSIG00000025363	Mus_spicilegus
MGP_CAROLIEiJ_P0000008	MGP_CAROLIEiJ_G0000006	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0000011	MGP_PahariEiJ_G0000009	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000006975	ENSRNOG00000030332	Rattus_norvegicus
ENSMUGP00000013372	ENSMUGG00000011613	Meriones_unguiculatus
ENSPEMP00000029461	ENSPEMG00000025247	Peromyscus_maniculatus_bairdii
ENSPEMP00000037279	ENSPEMG00000026602	Peromyscus_maniculatus_bairdii
ENSCGRP00015029449	ENSCGRG00015022101	Cricetulus_griseus_CriGri-PICR
ENSNGAP00000000405	ENSNGAG00000000319	Nannospalax_galili
ENSJJAP00000007225	ENSJJAG00000011673	Jaculus_jaculus
ENSCCNP00000019633	ENSCCNG00000019667	Castor_canadensis
ENSCCNP00000019578	ENSCCNG00000019657	Castor_canadensis
ENSCCNP00000010480	ENSCCNG00000010850	Castor_canadensis
ENSSDAP00000000319	ENSSDAG00000000105	Spermophilus_dauricus
ENSSDAP00000018029	ENSSDAG00000016466	Spermophilus_dauricus
ENSCAPP00000000068	ENSCAPG00000000065	Cavia_aperea
ENSCPOP00000002942	ENSCPOG00000003248	Cavia_porcellus
ENSODEP00000005125	ENSODEG00000003880	Octodon_degus
ENSCLAP00000011582	ENSCLAG00000007981	Chinchilla_lanigera
ENSHGLP00100000106	ENSHGLG00100000101	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000006150	ENSHGLG00000004491	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000021594	ENSFDAG00000007591	Fukomys_damarensis
ENSPTRP00000091373	ENSPTRG00000045873	Pan_troglodytes
ENSPPAP00000017664	ENSPPAG00000031931	Pan_paniscus
ENSGGOP00000044217	ENSGGOG00000042448	Gorilla_gorilla
ENSPPAP00000018051	ENSPPAG00000032154	Pan_paniscus
ENSRROP00000028137	ENSRROG00000037855	Rhinopithecus_roxellana
ENSANAP00000002214	ENSANAG00000017518	Aotus_nancymaae
ENSOGAP00000019639	ENSOGAG00000031059	Otolemur_garnettii
