ENSPMGP00000002491	ENSPMGG00000002186	Periophthalmus_magnuspinnatus
ENSBSLP00000027238	ENSBSLG00000013692	Betta_splendens
ENSPFOP00000029214	ENSPFOG00000023689	Poecilia_formosa
ENSGACP00000019202	ENSGACG00000014556	Gasterosteus_aculeatus
ENSGMOP00000021979	ENSGMOG00000020492	Gadus_morhua
ENSGMOP00000010095	ENSGMOG00000009453	Gadus_morhua
ENSHHUP00000063337	ENSHHUG00000037427	Hucho_hucho
ENSPNAP00000035681	ENSPNAG00000006853	Pygocentrus_nattereri
ENSPNAP00000035618	ENSPNAG00000025730	Pygocentrus_nattereri
ENSAMXP00000003455	ENSAMXG00000003383	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPKIP00000012037	ENSPKIG00000025690	Paramormyrops_kingsleyae
