,F55C9.8.1,C43D7.2.1,F55C9.14.1,C43D7.9.1,C43D7.8.1,F55C9.4.1,F55C9.7.1,Y113G7B.8.1,F55C9.11.1,F55C9.10.1,F55C9.13.1,H11E01.1.1
F55C9.8.1,1.0,0.7692307692307693,0.8151632540121748,0.920863309352518,0.6408411732152739,0.7221914775871611,0.7205312672938572,0.7061427780852241,0.6137244050913115,0.7924737133370227,0.9341449916989485,0.6956281128942999
C43D7.2.1,0.7692307692307693,1.0,0.7365799667957942,0.7609297177642501,0.5843940232429441,0.6530160486995019,0.659103486441616,0.6463752075262866,0.557830658550083,0.7343663530713891,0.7675705589374654,0.6330935251798561
F55C9.14.1,0.8151632540121748,0.7365799667957942,1.0,0.8096292197011622,0.6231322634200332,0.7349197565024903,0.7083563918096292,0.6923076923076923,0.5965688987271721,0.7725511898173769,0.8168234643054787,0.6945213060320974
C43D7.9.1,0.920863309352518,0.7609297177642501,0.8096292197011622,1.0,0.6258992805755396,0.7221914775871611,0.7105700055340343,0.697841726618705,0.6032097399003874,0.7797454344216934,0.9219701162147206,0.679579413392363
C43D7.8.1,0.6408411732152739,0.5843940232429441,0.6231322634200332,0.6258992805755396,1.0,0.5838406198118429,0.6242390702822358,0.6330935251798561,0.8909795240730493,0.6602102933038185,0.6413945766463752,0.5783065855008301
F55C9.4.1,0.7221914775871611,0.6530160486995019,0.7349197565024903,0.7221914775871611,0.5838406198118429,1.0,0.6889872717210846,0.6862202545655783,0.5650249031543996,0.6967349197565025,0.716104039845047,0.6607636967349197
F55C9.7.1,0.7205312672938572,0.659103486441616,0.7083563918096292,0.7105700055340343,0.6242390702822358,0.6889872717210846,1.0,0.6812396236856668,0.5843940232429441,0.7033757609297178,0.7138904261206419,0.689540675152186
Y113G7B.8.1,0.7061427780852241,0.6463752075262866,0.6923076923076923,0.697841726618705,0.6330935251798561,0.6862202545655783,0.6812396236856668,1.0,0.60431654676259,0.6972883231876038,0.7022689540675152,0.679579413392363
F55C9.11.1,0.6137244050913115,0.557830658550083,0.5965688987271721,0.6032097399003874,0.8909795240730493,0.5650249031543996,0.5843940232429441,0.60431654676259,1.0,0.612617598229109,0.6137244050913115,0.5799667957941339
F55C9.10.1,0.7924737133370227,0.7343663530713891,0.7725511898173769,0.7797454344216934,0.6602102933038185,0.6967349197565025,0.7033757609297178,0.6972883231876038,0.612617598229109,1.0,0.7858328721638074,0.6784726065301605
F55C9.13.1,0.9341449916989485,0.7675705589374654,0.8168234643054787,0.9219701162147206,0.6413945766463752,0.716104039845047,0.7138904261206419,0.7022689540675152,0.6137244050913115,0.7858328721638074,1.0,0.6889872717210846
H11E01.1.1,0.6956281128942999,0.6330935251798561,0.6945213060320974,0.679579413392363,0.5783065855008301,0.6607636967349197,0.689540675152186,0.679579413392363,0.5799667957941339,0.6784726065301605,0.6889872717210846,1.0
