,FBtr0074279,FBtr0074280,ENSARWT00000010009,ENSARWT00000010008,FBtr0339513,ENSDNVT00000010770,ENSDNVT00000010776,H05C05.1a.1,H05C05.1b.1,FBtr0074281,FBtr0343632,FBtr0343633,ENSAOWT00000030158,H05C05.1c.1,FBtr0085699
FBtr0074279,1.0,0.9993208059769074,0.7271904007244736,0.7117953362010414,0.5854652479058184,0.7117953362010414,0.7267376047090786,0.3796694589087616,0.6298392574145347,0.9775865972379443,0.9572107765451664,0.9895856916459135,0.7115689381933439,0.3328050713153724,0.5854652479058184
FBtr0074280,0.9993208059769074,1.0,0.7278695947475662,0.712474530224134,0.586144441928911,0.712474530224134,0.7274167987321711,0.37944306090106406,0.6305184514376273,0.9769074032148517,0.9565315825220738,0.9902648856690062,0.7122481322164365,0.3325786733076749,0.586144441928911
ENSARWT00000010009,0.7271904007244736,0.7278695947475662,1.0,0.9304958116368576,0.6429703418609917,0.9293638215983699,0.9144215530903328,0.40864840389404566,0.7412270772017207,0.7047769979624179,0.7036450079239303,0.7326239529092144,0.9300430156214625,0.3617840163006565,0.6429703418609917
ENSARWT00000010008,0.7117953362010414,0.712474530224134,0.9304958116368576,1.0,0.5784469096671949,0.9979624179307222,0.9830201494226851,0.38532940910119984,0.6767036450079239,0.6893819334389857,0.688249943400498,0.7172288883857822,0.9993208059769074,0.33846502150781066,0.5784469096671949
FBtr0339513,0.5854652479058184,0.586144441928911,0.6429703418609917,0.5784469096671949,1.0,0.5786733076748924,0.5936155761829296,0.39551731944758894,0.5388272583201268,0.5630518451437627,0.5426760244509848,0.5908988000905592,0.5786733076748924,0.34865293185419977,1.0
ENSDNVT00000010770,0.7117953362010414,0.712474530224134,0.9293638215983699,0.9979624179307222,0.5786733076748924,1.0,0.9850577314919629,0.3860086031242925,0.6767036450079239,0.6893819334389857,0.688249943400498,0.7172288883857822,0.9981888159384198,0.33914421553090335,0.5786733076748924
ENSDNVT00000010776,0.7267376047090786,0.7274167987321711,0.9144215530903328,0.9830201494226851,0.5936155761829296,0.9850577314919629,1.0,0.40095087163232956,0.691645913515961,0.7043242019470228,0.7031922119085352,0.7321711568938193,0.9832465474303826,0.3540864840389404,0.5936155761829296
H05C05.1a.1,0.3796694589087616,0.37944306090106406,0.40864840389404566,0.38532940910119984,0.39551731944758894,0.3860086031242925,0.40095087163232956,1.0,0.5768621236133122,0.35725605614670597,0.35612406610821823,0.37265112067013817,0.38555580710889736,0.9531356124066108,0.39551731944758894
H05C05.1b.1,0.6298392574145347,0.6305184514376273,0.7412270772017207,0.6767036450079239,0.5388272583201268,0.6767036450079239,0.691645913515961,0.5768621236133122,1.0,0.6074258546524791,0.5870500339597011,0.6352728095992756,0.6767036450079239,0.5299977360199231,0.5388272583201268
FBtr0074281,0.9775865972379443,0.9769074032148517,0.7047769979624179,0.6893819334389857,0.5630518451437627,0.6893819334389857,0.7043242019470228,0.35725605614670597,0.6074258546524791,1.0,0.9796241793072221,0.9671722888838579,0.6891555354312882,0.3103916685533168,0.5630518451437627
FBtr0343632,0.9572107765451664,0.9565315825220738,0.7036450079239303,0.688249943400498,0.5426760244509848,0.688249943400498,0.7031922119085352,0.35612406610821823,0.5870500339597011,0.9796241793072221,1.0,0.9467964681910799,0.6880235453928005,0.30925967851482905,0.5426760244509848
FBtr0343633,0.9895856916459135,0.9902648856690062,0.7326239529092144,0.7172288883857822,0.5908988000905592,0.7172288883857822,0.7321711568938193,0.37265112067013817,0.6352728095992756,0.9671722888838579,0.9467964681910799,1.0,0.7170024903780847,0.325786733076749,0.5908988000905592
ENSAOWT00000030158,0.7115689381933439,0.7122481322164365,0.9300430156214625,0.9993208059769074,0.5786733076748924,0.9981888159384198,0.9832465474303826,0.38555580710889736,0.6767036450079239,0.6891555354312882,0.6880235453928005,0.7170024903780847,1.0,0.3386914195155082,0.5786733076748924
H05C05.1c.1,0.3328050713153724,0.3325786733076749,0.3617840163006565,0.33846502150781066,0.34865293185419977,0.33914421553090335,0.3540864840389404,0.9531356124066108,0.5299977360199231,0.3103916685533168,0.30925967851482905,0.325786733076749,0.3386914195155082,1.0,0.34865293185419977
FBtr0085699,0.5854652479058184,0.586144441928911,0.6429703418609917,0.5784469096671949,1.0,0.5786733076748924,0.5936155761829296,0.39551731944758894,0.5388272583201268,0.5630518451437627,0.5426760244509848,0.5908988000905592,0.5786733076748924,0.34865293185419977,1.0
