	FBtr0306389	FBtr0089680	FBtr0089682	FBtr0301180	FBtr0301181	R144.7a.1	FBtr0306390	FBtr0306388	R144.7b.2	R144.7b.1	ENSCSAVT00000015383
FBtr0306389	1.0	0.7336677115987461	0.7336677115987461	1.0	0.7336677115987461	0.21931034482758616	1.0	0.8961755485893417	0.09442006269592472	0.09442006269592472	0.3169905956112853
FBtr0089680	0.7336677115987461	1.0	1.0	0.7336677115987461	1.0	0.4856426332288402	0.7336677115987461	0.8329780564263323	0.3607523510971786	0.3607523510971786	0.5751724137931035
FBtr0089682	0.7336677115987461	1.0	1.0	0.7336677115987461	1.0	0.4856426332288402	0.7336677115987461	0.8329780564263323	0.3607523510971786	0.3607523510971786	0.5751724137931035
FBtr0301180	1.0	0.7336677115987461	0.7336677115987461	1.0	0.7336677115987461	0.21931034482758616	1.0	0.8961755485893417	0.09442006269592472	0.09442006269592472	0.3169905956112853
FBtr0301181	0.7336677115987461	1.0	1.0	0.7336677115987461	1.0	0.4856426332288402	0.7336677115987461	0.8329780564263323	0.3607523510971786	0.3607523510971786	0.5751724137931035
R144.7a.1	0.21931034482758616	0.4856426332288402	0.4856426332288402	0.21931034482758616	0.4856426332288402	1.0	0.21931034482758616	0.31862068965517243	0.8751097178683386	0.8751097178683386	0.6595611285266457
FBtr0306390	1.0	0.7336677115987461	0.7336677115987461	1.0	0.7336677115987461	0.21931034482758616	1.0	0.8961755485893417	0.09442006269592472	0.09442006269592472	0.3169905956112853
FBtr0306388	0.8961755485893417	0.8329780564263323	0.8329780564263323	0.8961755485893417	0.8329780564263323	0.31862068965517243	0.8961755485893417	1.0	0.193730407523511	0.193730407523511	0.41630094043887145
R144.7b.2	0.09442006269592472	0.3607523510971786	0.3607523510971786	0.09442006269592472	0.3607523510971786	0.8751097178683386	0.09442006269592472	0.193730407523511	1.0	1.0	0.5346708463949843
R144.7b.1	0.09442006269592472	0.3607523510971786	0.3607523510971786	0.09442006269592472	0.3607523510971786	0.8751097178683386	0.09442006269592472	0.193730407523511	1.0	1.0	0.5346708463949843
ENSCSAVT00000015383	0.3169905956112853	0.5751724137931035	0.5751724137931035	0.3169905956112853	0.5751724137931035	0.6595611285266457	0.3169905956112853	0.41630094043887145	0.5346708463949843	0.5346708463949843	1.0
