,ENSAOWT00000022471,ENSARWT00000017846,ENSAOWT00000022462,ENSAOWT00000022461,ENSAOWT00000022466,ENSAHAT00000004420,ENSAHAT00000004435,ENSARWT00000017849,ENSARWT00000017848,ENSARWT00000017847
ENSAOWT00000022471,1.0,0.7937595129375952,0.7800608828006088,0.69558599695586,0.7800608828006088,0.7800608828006088,0.7800608828006088,0.7777777777777778,0.7777777777777778,0.7777777777777778
ENSARWT00000017846,0.7937595129375952,1.0,0.9459665144596652,0.8614916286149162,0.9459665144596652,0.9459665144596652,0.9459665144596652,0.9490106544901066,0.7648401826484018,0.9490106544901066
ENSAOWT00000022462,0.7800608828006088,0.9459665144596652,1.0,0.8485540334855404,0.9330289193302892,1.0,0.9330289193302892,0.9299847792998478,0.8135464231354642,0.9969558599695586
ENSAOWT00000022461,0.69558599695586,0.8614916286149162,0.8485540334855404,1.0,0.8485540334855404,0.8485540334855404,0.8485540334855404,0.845509893455099,0.6621004566210046,0.845509893455099
ENSAOWT00000022466,0.7800608828006088,0.9459665144596652,0.9330289193302892,0.8485540334855404,1.0,0.9330289193302892,1.0,0.9969558599695586,0.7465753424657534,0.9299847792998478
ENSAHAT00000004420,0.7800608828006088,0.9459665144596652,1.0,0.8485540334855404,0.9330289193302892,1.0,0.9330289193302892,0.9299847792998478,0.8135464231354642,0.9969558599695586
ENSAHAT00000004435,0.7800608828006088,0.9459665144596652,0.9330289193302892,0.8485540334855404,1.0,0.9330289193302892,1.0,0.9969558599695586,0.7465753424657534,0.9299847792998478
ENSARWT00000017849,0.7777777777777778,0.9490106544901066,0.9299847792998478,0.845509893455099,0.9969558599695586,0.9299847792998478,0.9969558599695586,1.0,0.7488584474885844,0.9330289193302892
ENSARWT00000017848,0.7777777777777778,0.7648401826484018,0.8135464231354642,0.6621004566210046,0.7465753424657534,0.8135464231354642,0.7465753424657534,0.7488584474885844,1.0,0.8158295281582952
ENSARWT00000017847,0.7777777777777778,0.9490106544901066,0.9969558599695586,0.845509893455099,0.9299847792998478,0.9969558599695586,0.9299847792998478,0.9330289193302892,0.8158295281582952,1.0
