,ENSDCDT00000057436,ENSDCDT00000057437,ENSEBUT00000011703,ENSPNAT00000010273,ENSEBUT00000011696,ENSEEET00000004300,ENSCHAT00000022600,ENSEEET00000004318,ENSEBUT00000019281,ENSCHAT00000022521,ENSCHAT00000022689
ENSDCDT00000057436,1.0,0.96875,0.5078125,0.6555989583333334,0.7897135416666666,0.7623697916666666,0.794921875,0.763671875,0.7942708333333334,0.8014322916666666,0.7916666666666666
ENSDCDT00000057437,0.96875,1.0,0.5032552083333334,0.6868489583333334,0.78515625,0.755859375,0.8255208333333334,0.7766927083333334,0.7903645833333334,0.7916666666666666,0.7819010416666666
ENSEBUT00000011703,0.5078125,0.5032552083333334,1.0,0.30403645833333326,0.6497395833333334,0.45768229166666674,0.47265625,0.45572916666666674,0.576171875,0.47786458333333326,0.47591145833333326
ENSPNAT00000010273,0.6555989583333334,0.6868489583333334,0.30403645833333326,1.0,0.580078125,0.595703125,0.6608072916666666,0.62109375,0.5963541666666666,0.6022135416666666,0.5924479166666666
ENSEBUT00000011696,0.7897135416666666,0.78515625,0.6497395833333334,0.580078125,1.0,0.7298177083333334,0.755859375,0.7278645833333334,0.8665364583333334,0.7610677083333334,0.751953125
ENSEEET00000004300,0.7623697916666666,0.755859375,0.45768229166666674,0.595703125,0.7298177083333334,1.0,0.7805989583333334,0.974609375,0.75,0.8059895833333334,0.7962239583333334
ENSCHAT00000022600,0.794921875,0.8255208333333334,0.47265625,0.6608072916666666,0.755859375,0.7805989583333334,1.0,0.8059895833333334,0.765625,0.94140625,0.9303385416666666
ENSEEET00000004318,0.763671875,0.7766927083333334,0.45572916666666674,0.62109375,0.7278645833333334,0.974609375,0.8059895833333334,1.0,0.748046875,0.794921875,0.78515625
ENSEBUT00000019281,0.7942708333333334,0.7903645833333334,0.576171875,0.5963541666666666,0.8665364583333334,0.75,0.765625,0.748046875,1.0,0.7708333333333334,0.7623697916666666
ENSCHAT00000022521,0.8014322916666666,0.7916666666666666,0.47786458333333326,0.6022135416666666,0.7610677083333334,0.8059895833333334,0.94140625,0.794921875,0.7708333333333334,1.0,0.9889322916666666
ENSCHAT00000022689,0.7916666666666666,0.7819010416666666,0.47591145833333326,0.5924479166666666,0.751953125,0.7962239583333334,0.9303385416666666,0.78515625,0.7623697916666666,0.9889322916666666,1.0
