	ENSDCDT00000012189	ENSPKIT00000042308	ENSSFOT00015019574	ENSCHAT00000011645	ENSAMXT00000048569	ENSSFOT00015019551	ENSCHAT00000011609	ENSCHAT00000011601	ENSAMXT00000051769	ENSDCDT00000012200
ENSDCDT00000012189	1.0	0.6849529780564263	0.6206896551724138	0.6802507836990596	0.7272727272727273	0.7037617554858934	0.6426332288401254	0.7413793103448276	0.6300940438871473	0.7210031347962382
ENSPKIT00000042308	0.6849529780564263	1.0	0.7821316614420063	0.7539184952978056	0.8636363636363636	0.8918495297805643	0.7445141065830722	0.8401253918495298	0.7633228840125392	0.7476489028213166
ENSSFOT00015019574	0.6206896551724138	0.7821316614420063	1.0	0.6974921630094044	0.7507836990595611	0.8683385579937304	0.8714733542319749	0.7539184952978056	0.8683385579937304	0.8699059561128527
ENSCHAT00000011645	0.6802507836990596	0.7539184952978056	0.6974921630094044	1.0	0.7789968652037618	0.774294670846395	0.7946708463949843	0.9059561128526644	0.6849529780564263	0.7210031347962382
ENSAMXT00000048569	0.7272727272727273	0.8636363636363636	0.7507836990595611	0.7789968652037618	1.0	0.8589341692789969	0.768025078369906	0.8683385579937304	0.8824451410658307	0.7884012539184952
ENSSFOT00015019551	0.7037617554858934	0.8918495297805643	0.8683385579937304	0.774294670846395	0.8589341692789969	1.0	0.7664576802507836	0.8620689655172413	0.7633228840125392	0.7648902821316614
ENSCHAT00000011609	0.6426332288401254	0.7445141065830722	0.8714733542319749	0.7946708463949843	0.768025078369906	0.7664576802507836	1.0	0.8824451410658307	0.8855799373040752	0.9200626959247648
ENSCHAT00000011601	0.7413793103448276	0.8401253918495298	0.7539184952978056	0.9059561128526644	0.8683385579937304	0.8620689655172413	0.8824451410658307	1.0	0.768025078369906	0.8025078369905956
ENSAMXT00000051769	0.6300940438871473	0.7633228840125392	0.8683385579937304	0.6849529780564263	0.8824451410658307	0.7633228840125392	0.8855799373040752	0.768025078369906	1.0	0.9059561128526644
ENSDCDT00000012200	0.7210031347962382	0.7476489028213166	0.8699059561128527	0.7210031347962382	0.7884012539184952	0.7648902821316614	0.9200626959247648	0.8025078369905956	0.9059561128526644	1.0
