	ENSDNVT00000012210	ENSDNVT00000012200	ENSARWT00000011781	ENSAOWT00000005644	ENSDNVT00000012270	ENSDNVT00000012177	ENSAOWT00000005698	ENSAHAT00000029708	ENSAHAT00000029726	ENSARWT00000011712
ENSDNVT00000012210	1.0	0.8803594351732991	0.8569961489088576	0.8112965340179717	0.6187419768934531	0.8092426187419769	0.8569961489088576	0.8087291399229781	0.8567394094993581	0.8089858793324776
ENSDNVT00000012200	0.8803594351732991	1.0	0.9034659820282414	0.8164313222079589	0.6788189987163029	0.9021822849807446	0.9029525032092426	0.8141206675224647	0.9029525032092426	0.8146341463414634
ENSARWT00000011781	0.8569961489088576	0.9034659820282414	1.0	0.8528883183568677	0.6469833119383825	0.8685494223363286	0.9953786906290116	0.8505776636713736	0.9953786906290116	0.855198973042362
ENSAOWT00000005644	0.8112965340179717	0.8164313222079589	0.8528883183568677	1.0	0.6028241335044929	0.8498074454428755	0.8575096277278562	0.9966623876765084	0.8564826700898588	0.9925545571245186
ENSDNVT00000012270	0.6187419768934531	0.6788189987163029	0.6469833119383825	0.6028241335044929	1.0	0.6554557124518614	0.6467265725288832	0.6007702182284981	0.6467265725288832	0.6010269576379974
ENSDNVT00000012177	0.8092426187419769	0.9021822849807446	0.8685494223363286	0.8498074454428755	0.6554557124518614	1.0	0.8680359435173299	0.8474967907573813	0.8680359435173299	0.8477535301668806
ENSAOWT00000005698	0.8569961489088576	0.9029525032092426	0.9953786906290116	0.8575096277278562	0.6467265725288832	0.8680359435173299	1.0	0.8541720154043646	0.9989730423620026	0.8505776636713736
ENSAHAT00000029708	0.8087291399229781	0.8141206675224647	0.8505776636713736	0.9966623876765084	0.6007702182284981	0.8474967907573813	0.8541720154043646	1.0	0.855198973042362	0.9948652118100128
ENSAHAT00000029726	0.8567394094993581	0.9029525032092426	0.9953786906290116	0.8564826700898588	0.6467265725288832	0.8680359435173299	0.9989730423620026	0.855198973042362	1.0	0.8505776636713736
ENSARWT00000011712	0.8089858793324776	0.8146341463414634	0.855198973042362	0.9925545571245186	0.6010269576379974	0.8477535301668806	0.8505776636713736	0.9948652118100128	0.8505776636713736	1.0
