	FBtr0309286	ENSARWT00000022038	FBtr0079173	FBtr0079172	FBtr0339750	FBtr0079174	ENSAHAT00000011452	ENSAOWT00000026322	K07B1.3.1	FBtr0303572	FBtr0074464
FBtr0309286	1.0	0.7532443107015234	0.9360541658830168	0.6889223246191462	0.8162497649050217	0.9936054165883016	0.7532443107015234	0.7532443107015234	0.7596388941132217	0.7500470189956743	0.7500470189956743
ENSARWT00000022038	0.7532443107015234	1.0	0.7353770923453075	0.6751927778822644	0.763024261801768	0.7515516268572503	0.998683468121121	0.998871544103818	0.8081624976490502	0.7756253526424676	0.7756253526424676
FBtr0079173	0.9360541658830168	0.7353770923453075	1.0	0.7255971412450629	0.7547489185630994	0.9321045702463796	0.7353770923453075	0.7353770923453075	0.745345119428249	0.7321798006394583	0.7321798006394583
FBtr0079172	0.6889223246191462	0.6751927778822644	0.7255971412450629	1.0	0.7387624600338537	0.685725032913297	0.6751927778822644	0.6751927778822644	0.6785781455708106	0.6674816625916871	0.6674816625916871
FBtr0339750	0.8162497649050217	0.763024261801768	0.7547489185630994	0.7387624600338537	1.0	0.8196351325935678	0.763024261801768	0.763024261801768	0.7904833552755313	0.8803836750047019	0.8803836750047019
FBtr0079174	0.9936054165883016	0.7515516268572503	0.9321045702463796	0.685725032913297	0.8196351325935678	1.0	0.7515516268572503	0.7515516268572503	0.7575700583035546	0.7479781831860072	0.7479781831860072
ENSAHAT00000011452	0.7532443107015234	0.998683468121121	0.7353770923453075	0.6751927778822644	0.763024261801768	0.7515516268572503	1.0	0.999623848034606	0.8079744216663532	0.7760015046078615	0.7760015046078615
ENSAOWT00000026322	0.7532443107015234	0.998871544103818	0.7353770923453075	0.6751927778822644	0.763024261801768	0.7515516268572503	0.999623848034606	1.0	0.8079744216663532	0.7760015046078615	0.7760015046078615
K07B1.3.1	0.7596388941132217	0.8081624976490502	0.745345119428249	0.6785781455708106	0.7904833552755313	0.7575700583035546	0.8079744216663532	0.8079744216663532	1.0	0.7949971788602596	0.7949971788602596
FBtr0303572	0.7500470189956743	0.7756253526424676	0.7321798006394583	0.6674816625916871	0.8803836750047019	0.7479781831860072	0.7760015046078615	0.7760015046078615	0.7949971788602596	1.0	1.0
FBtr0074464	0.7500470189956743	0.7756253526424676	0.7321798006394583	0.6674816625916871	0.8803836750047019	0.7479781831860072	0.7760015046078615	0.7760015046078615	0.7949971788602596	1.0	1.0
