	ENSIPUT00000028740	Y69A2AR.7c.1	Y69A2AR.7c.2	Y69A2AR.7c.3	Y69A2AR.7b.1	Y69A2AR.7b.3	Y69A2AR.7b.2	FBtr0074635	ENSEEET00000029301	Y69A2AR.7a.1
ENSIPUT00000028740	1.0	0.4138834315651605	0.4138834315651605	0.4138834315651605	0.39751146037982976	0.39751146037982976	0.39751146037982976	0.4073346430910282	0.9377865094957432	0.38703339882121796
Y69A2AR.7c.1	0.4138834315651605	1.0	1.0	1.0	0.9469548133595284	0.9469548133595284	0.9469548133595284	0.2023575638506876	0.4132285527177473	0.8565815324165029
Y69A2AR.7c.2	0.4138834315651605	1.0	1.0	1.0	0.9469548133595284	0.9469548133595284	0.9469548133595284	0.2023575638506876	0.4132285527177473	0.8565815324165029
Y69A2AR.7c.3	0.4138834315651605	1.0	1.0	1.0	0.9469548133595284	0.9469548133595284	0.9469548133595284	0.2023575638506876	0.4132285527177473	0.8565815324165029
Y69A2AR.7b.1	0.39751146037982976	0.9469548133595284	0.9469548133595284	0.9469548133595284	1.0	1.0	1.0	0.14931237721021606	0.3955468238375901	0.9096267190569745
Y69A2AR.7b.3	0.39751146037982976	0.9469548133595284	0.9469548133595284	0.9469548133595284	1.0	1.0	1.0	0.14931237721021606	0.3955468238375901	0.9096267190569745
Y69A2AR.7b.2	0.39751146037982976	0.9469548133595284	0.9469548133595284	0.9469548133595284	1.0	1.0	1.0	0.14931237721021606	0.3955468238375901	0.9096267190569745
FBtr0074635	0.4073346430910282	0.2023575638506876	0.2023575638506876	0.2023575638506876	0.14931237721021606	0.14931237721021606	0.14931237721021606	1.0	0.40929927963326784	0.14014407334643098
ENSEEET00000029301	0.9377865094957432	0.4132285527177473	0.4132285527177473	0.4132285527177473	0.3955468238375901	0.3955468238375901	0.3955468238375901	0.40929927963326784	1.0	0.3824492468893255
Y69A2AR.7a.1	0.38703339882121796	0.8565815324165029	0.8565815324165029	0.8565815324165029	0.9096267190569745	0.9096267190569745	0.9096267190569745	0.14014407334643098	0.3824492468893255	1.0
