,ENSCINT00000013586,FBtr0077558,FBtr0307029,FBtr0307028,FBtr0077490,FBtr0077491,FBtr0077492,FBtr0077493,ENSCINT00000031603,FBtr0307027
ENSCINT00000013586,1.0,0.5457736970024305,0.4112881447475021,0.4112881447475021,0.4112881447475021,0.4112881447475021,0.4112881447475021,0.4112881447475021,0.6967323791520389,0.4112881447475021
FBtr0077558,0.5457736970024305,1.0,0.48042128004320817,0.48042128004320817,0.48042128004320817,0.48042128004320817,0.48042128004320817,0.48042128004320817,0.3470159330272752,0.48042128004320817
FBtr0307029,0.4112881447475021,0.48042128004320817,1.0,1.0,1.0,1.0,1.0,1.0,0.21226032946259787,1.0
FBtr0307028,0.4112881447475021,0.48042128004320817,1.0,1.0,1.0,1.0,1.0,1.0,0.21226032946259787,1.0
FBtr0077490,0.4112881447475021,0.48042128004320817,1.0,1.0,1.0,1.0,1.0,1.0,0.21226032946259787,1.0
FBtr0077491,0.4112881447475021,0.48042128004320817,1.0,1.0,1.0,1.0,1.0,1.0,0.21226032946259787,1.0
FBtr0077492,0.4112881447475021,0.48042128004320817,1.0,1.0,1.0,1.0,1.0,1.0,0.21226032946259787,1.0
FBtr0077493,0.4112881447475021,0.48042128004320817,1.0,1.0,1.0,1.0,1.0,1.0,0.21226032946259787,1.0
ENSCINT00000031603,0.6967323791520389,0.3470159330272752,0.21226032946259787,0.21226032946259787,0.21226032946259787,0.21226032946259787,0.21226032946259787,0.21226032946259787,1.0,0.21226032946259787
FBtr0307027,0.4112881447475021,0.48042128004320817,1.0,1.0,1.0,1.0,1.0,1.0,0.21226032946259787,1.0
