	ENSPCIT00000058076	ENSPCIT00000060994	ENSPCIT00000052606	ENSEEUT00000007855	ENSSART00000014363	ENSSHAT00000007137	ENSSHAT00000007136	ENSVURT00010023149	ENSMODT00000055307	ENSVURT00010023155	ENSMODT00000053069
ENSPCIT00000058076	1.0	0.8642611683848798	0.9278350515463918	0.7070446735395189	0.5352233676975945	0.8848797250859106	0.4879725085910653	0.918384879725086	0.9493127147766324	0.9905498281786942	0.877147766323024
ENSPCIT00000060994	0.8642611683848798	1.0	0.936426116838488	0.7792096219931272	0.538659793814433	0.8926116838487973	0.4957044673539519	0.9269759450171822	0.8170103092783505	0.8548109965635738	0.8874570446735395
ENSPCIT00000052606	0.9278350515463918	0.936426116838488	1.0	0.7740549828178694	0.6013745704467354	0.9561855670103092	0.5592783505154639	0.9905498281786942	0.877147766323024	0.918384879725086	0.9475945017182129
ENSEEUT00000007855	0.7070446735395189	0.7792096219931272	0.7740549828178694	1.0	0.6494845360824743	0.7714776632302406	0.4338487972508591	0.7740549828178694	0.7044673539518901	0.7070446735395189	0.7731958762886598
ENSSART00000014363	0.5352233676975945	0.538659793814433	0.6013745704467354	0.6494845360824743	1.0	0.6030927835051546	0.3522336769759451	0.6082474226804123	0.5378006872852233	0.5420962199312714	0.6056701030927835
ENSSHAT00000007137	0.8848797250859106	0.8926116838487973	0.9561855670103092	0.7714776632302406	0.6030927835051546	1.0	0.5816151202749141	0.9587628865979382	0.8719931271477663	0.8874570446735395	0.9432989690721648
ENSSHAT00000007136	0.4879725085910653	0.4957044673539519	0.5592783505154639	0.4338487972508591	0.3522336769759451	0.5816151202749141	1.0	0.5601374570446735	0.4742268041237113	0.488831615120275	0.5455326460481099
ENSVURT00010023149	0.918384879725086	0.9269759450171822	0.9905498281786942	0.7740549828178694	0.6082474226804123	0.9587628865979382	0.5601374570446735	1.0	0.8805841924398625	0.9278350515463918	0.9510309278350516
ENSMODT00000055307	0.9493127147766324	0.8170103092783505	0.877147766323024	0.7044673539518901	0.5378006872852233	0.8719931271477663	0.4742268041237113	0.8805841924398625	1.0	0.9527491408934708	0.9278350515463918
ENSVURT00010023155	0.9905498281786942	0.8548109965635738	0.918384879725086	0.7070446735395189	0.5420962199312714	0.8874570446735395	0.488831615120275	0.9278350515463918	0.9527491408934708	1.0	0.8805841924398625
ENSMODT00000053069	0.877147766323024	0.8874570446735395	0.9475945017182129	0.7731958762886598	0.6056701030927835	0.9432989690721648	0.5455326460481099	0.9510309278350516	0.9278350515463918	0.8805841924398625	1.0
