,ENSAHAT00000007594,ENSAOWT00000008876,FBtr0082480,ENSAOWT00000008901,Y53H1A.1a.1,Y53H1A.1b.1,FBtr0082481,ENSAHAT00000007592,ENSDNVT00000007986,ENSAOWT00000008888,FBtr0082479,ENSAOWT00000008881,ENSARWT00000020264,ENSARWT00000020266
ENSAHAT00000007594,1.0,0.9976948868398994,0.3499580888516345,0.9976948868398994,0.25461022632020125,0.29233025984911987,0.2902347024308466,1.0,0.9893126571668064,0.9976948868398994,0.3562447611064543,0.9976948868398994,0.9972757753562448,0.9972757753562448
ENSAOWT00000008876,0.9976948868398994,1.0,0.3482816429170159,1.0,0.2554484492875104,0.29316848281642915,0.28834870075440067,0.9976948868398994,0.991617770326907,1.0,0.35456831517183574,1.0,0.9993713327745181,0.9993713327745181
FBtr0082480,0.3499580888516345,0.3482816429170159,1.0,0.3482816429170159,0.3275356244761106,0.3518440905280804,0.7617351215423303,0.3499580888516345,0.34702430846605203,0.3482816429170159,0.9880553227158424,0.3482816429170159,0.34807208717518856,0.34807208717518856
ENSAOWT00000008901,0.9976948868398994,1.0,0.3482816429170159,1.0,0.2554484492875104,0.29316848281642915,0.28834870075440067,0.9976948868398994,0.991617770326907,1.0,0.35456831517183574,1.0,0.9993713327745181,0.9993713327745181
Y53H1A.1a.1,0.25461022632020125,0.2554484492875104,0.3275356244761106,0.2554484492875104,1.0,0.9390192791282481,0.5599329421626152,0.25461022632020125,0.2556580050293378,0.2554484492875104,0.3394803017602682,0.2554484492875104,0.2552388935456831,0.2552388935456831
Y53H1A.1b.1,0.29233025984911987,0.29316848281642915,0.3518440905280804,0.29316848281642915,0.9390192791282481,1.0,0.5901089689857502,0.29233025984911987,0.2933780385582565,0.29316848281642915,0.363788767812238,0.29316848281642915,0.2929589270746018,0.2929589270746018
FBtr0082481,0.2902347024308466,0.28834870075440067,0.7617351215423303,0.28834870075440067,0.5599329421626152,0.5901089689857502,1.0,0.2902347024308466,0.28772003352891873,0.28834870075440067,0.7736797988264879,0.28834870075440067,0.28834870075440067,0.28834870075440067
ENSAHAT00000007592,1.0,0.9976948868398994,0.3499580888516345,0.9976948868398994,0.25461022632020125,0.29233025984911987,0.2902347024308466,1.0,0.9893126571668064,0.9976948868398994,0.3562447611064543,0.9976948868398994,0.9972757753562448,0.9972757753562448
ENSDNVT00000007986,0.9893126571668064,0.991617770326907,0.34702430846605203,0.991617770326907,0.2556580050293378,0.2933780385582565,0.28772003352891873,0.9893126571668064,1.0,0.991617770326907,0.35331098072087175,0.991617770326907,0.9914082145850797,0.9914082145850797
ENSAOWT00000008888,0.9976948868398994,1.0,0.3482816429170159,1.0,0.2554484492875104,0.29316848281642915,0.28834870075440067,0.9976948868398994,0.991617770326907,1.0,0.35456831517183574,1.0,0.9993713327745181,0.9993713327745181
FBtr0082479,0.3562447611064543,0.35456831517183574,0.9880553227158424,0.35456831517183574,0.3394803017602682,0.363788767812238,0.7736797988264879,0.3562447611064543,0.35331098072087175,0.35456831517183574,1.0,0.35456831517183574,0.3543587594300084,0.3543587594300084
ENSAOWT00000008881,0.9976948868398994,1.0,0.3482816429170159,1.0,0.2554484492875104,0.29316848281642915,0.28834870075440067,0.9976948868398994,0.991617770326907,1.0,0.35456831517183574,1.0,0.9993713327745181,0.9993713327745181
ENSARWT00000020264,0.9972757753562448,0.9993713327745181,0.34807208717518856,0.9993713327745181,0.2552388935456831,0.2929589270746018,0.28834870075440067,0.9972757753562448,0.9914082145850797,0.9993713327745181,0.3543587594300084,0.9993713327745181,1.0,1.0
ENSARWT00000020266,0.9972757753562448,0.9993713327745181,0.34807208717518856,0.9993713327745181,0.2552388935456831,0.2929589270746018,0.28834870075440067,0.9972757753562448,0.9914082145850797,0.9993713327745181,0.3543587594300084,0.9993713327745181,1.0,1.0
