	ENSMUST00000107304	ENSMUST00000090866	ENSMUST00000186525	MGP_PahariEiJ_T0069886	MGP_PahariEiJ_T0069887	MGP_SPRETEiJ_T0061291	MGP_SPRETEiJ_T0061290	MGP_PahariEiJ_T0069888	ENSMUGT00000030370	MGP_CAROLIEiJ_T0058933	MGP_CAROLIEiJ_T0058932	MGP_CAROLIEiJ_T0058931	MGP_CAROLIEiJ_T0058930	MGP_PahariEiJ_T0069885	ENSMSIT00000018181	MGP_SPRETEiJ_T0061288	MGP_SPRETEiJ_T0061289	ENSMUST00000051521
ENSMUST00000107304	1.0	0.9954542067218124	1.0	0.99746627915642	0.9975408003577018	0.9988076607794918	0.9938147402936136	0.9975408003577018	0.9932185706833594	0.9961248975333482	0.9961248975333482	0.9961248975333482	0.9956777703256576	0.99746627915642	0.9971681943512928	0.994261867501304	0.9988076607794918	0.9975408003577018
ENSMUST00000090866	0.9954542067218124	1.0	0.9954542067218124	0.995528727923094	0.9959758551307848	0.9950070795141218	0.9900141590282436	0.9959758551307848	0.9916536254564424	0.9929950070795142	0.9929950070795142	0.9929950070795142	0.994336388702586	0.995528727923094	0.9933676130859228	0.9927714434756688	0.9950070795141218	0.9958268127282212
ENSMUST00000186525	1.0	0.9954542067218124	1.0	0.99746627915642	0.9975408003577018	0.9988076607794918	0.9938147402936136	0.9975408003577018	0.9932185706833594	0.9961248975333482	0.9961248975333482	0.9961248975333482	0.9956777703256576	0.99746627915642	0.9971681943512928	0.994261867501304	0.9988076607794918	0.9975408003577018
MGP_PahariEiJ_T0069886	0.99746627915642	0.995528727923094	0.99746627915642	1.0	0.9983605335718012	0.9976153215589836	0.9926224010731052	0.9983605335718012	0.9933676130859228	0.995230643117967	0.995230643117967	0.995230643117967	0.9962739399359116	1.0	0.9953796855205306	0.9947089947089948	0.9976153215589836	0.99746627915642
MGP_PahariEiJ_T0069887	0.9975408003577018	0.9959758551307848	0.9975408003577018	0.9983605335718012	1.0	0.9975408003577018	0.9924733586705418	1.0	0.9935166554884864	0.9954542067218124	0.9954542067218124	0.9954542067218124	0.9968701095461658	0.9983605335718012	0.9954542067218124	0.995603249124376	0.9975408003577018	0.9977643639615472
MGP_SPRETEiJ_T0061291	0.9988076607794918	0.9950070795141218	0.9988076607794918	0.9976153215589836	0.9975408003577018	1.0	0.99493255831284	0.9975408003577018	0.9929950070795142	0.9964229823384751	0.9964229823384751	0.9964229823384751	0.995901333929503	0.9976153215589836	0.9968701095461658	0.9944109099038676	1.0	0.996795588344884
MGP_SPRETEiJ_T0061290	0.9938147402936136	0.9900141590282436	0.9938147402936136	0.9926224010731052	0.9924733586705418	0.99493255831284	1.0	0.9924733586705418	0.9882256501974812	0.9913555406513151	0.9913555406513151	0.9913555406513151	0.990833892242343	0.9926224010731052	0.9918026678590058	0.9893434682167076	0.99493255831284	0.9918026678590058
MGP_PahariEiJ_T0069888	0.9975408003577018	0.9959758551307848	0.9975408003577018	0.9983605335718012	1.0	0.9975408003577018	0.9924733586705418	1.0	0.9935166554884864	0.9954542067218124	0.9954542067218124	0.9954542067218124	0.9968701095461658	0.9983605335718012	0.9954542067218124	0.995603249124376	0.9975408003577018	0.9977643639615472
ENSMUGT00000030370	0.9932185706833594	0.9916536254564424	0.9932185706833594	0.9933676130859228	0.9935166554884864	0.9929950070795142	0.9882256501974812	0.9935166554884864	1.0	0.9912064982487516	0.9912064982487516	0.9912064982487516	0.9918026678590058	0.9933676130859228	0.9912810194500336	0.9903122438333706	0.9929950070795142	0.9932185706833594
MGP_CAROLIEiJ_T0058933	0.9961248975333482	0.9929950070795142	0.9961248975333482	0.995230643117967	0.9954542067218124	0.9964229823384751	0.9913555406513151	0.9954542067218124	0.9912064982487516	1.0	1.0	1.0	0.9938892614948952	0.995230643117967	0.9988076607794918	0.9947835159102764	0.9964229823384751	0.9947835159102764
