,ENSUPAT00010020731,ENSSART00000006667,ENSDORT00000002402,ENSSDAT00000030466,ENSSTOT00000033743,ENSEEUT00000003053,ENSSTOT00000015304,ENSUPAT00010020728,ENSCCNT00000035509,ENSUPAT00010020714
ENSUPAT00010020731,1.0,0.9134408602150538,0.7967741935483871,0.928494623655914,0.9978494623655914,0.3311827956989247,0.9301075268817204,0.932258064516129,0.896236559139785,0.932258064516129
ENSSART00000006667,0.9134408602150538,1.0,0.7655913978494624,0.843010752688172,0.9123655913978495,0.3150537634408602,0.8446236559139785,0.8456989247311828,0.8413978494623656,0.8456989247311828
ENSDORT00000002402,0.7967741935483871,0.7655913978494624,1.0,0.7263440860215054,0.7967741935483871,0.271505376344086,0.7290322580645161,0.7290322580645161,0.7241935483870968,0.7290322580645161
ENSSDAT00000030466,0.928494623655914,0.843010752688172,0.7263440860215054,1.0,0.928494623655914,0.26290322580645165,0.9962365591397849,0.9962365591397849,0.9623655913978495,0.9962365591397849
ENSSTOT00000033743,0.9978494623655914,0.9123655913978495,0.7967741935483871,0.928494623655914,1.0,0.3306451612903225,0.932258064516129,0.9301075268817204,0.896236559139785,0.9301075268817204
ENSEEUT00000003053,0.3311827956989247,0.3150537634408602,0.271505376344086,0.26290322580645165,0.3306451612903225,1.0,0.26290322580645165,0.26344086021505375,0.26397849462365586,0.26344086021505375
ENSSTOT00000015304,0.9301075268817204,0.8446236559139785,0.7290322580645161,0.9962365591397849,0.932258064516129,0.26290322580645165,1.0,0.9978494623655914,0.9634408602150538,0.9978494623655914
ENSUPAT00010020728,0.932258064516129,0.8456989247311828,0.7290322580645161,0.9962365591397849,0.9301075268817204,0.26344086021505375,0.9978494623655914,1.0,0.9634408602150538,1.0
ENSCCNT00000035509,0.896236559139785,0.8413978494623656,0.7241935483870968,0.9623655913978495,0.896236559139785,0.26397849462365586,0.9634408602150538,0.9634408602150538,1.0,0.9634408602150538
ENSUPAT00010020714,0.932258064516129,0.8456989247311828,0.7290322580645161,0.9962365591397849,0.9301075268817204,0.26344086021505375,0.9978494623655914,1.0,0.9634408602150538,1.0
