	FBtr0333701	FBtr0344874	ENSCINT00000016355	ENSCSAVT00000016233	ENSCSAVT00000016235	FBtr0110906	FBtr0089102	ENSCINT00000031110	FBtr0089194	FBtr0089195	K10D3.1.1	ENSGWIT00000026057
FBtr0333701	1.0	0.8700656561562778	0.7980059982167463	0.7936289211315555	0.7828483423846965	0.8700656561562778	0.8694172002918051	0.7663937748237011	0.9053254437869822	1.0	0.8017346194374645	0.7818756585879874
FBtr0344874	0.8700656561562778	1.0	0.8093539758450191	0.8039231579800601	0.7846315960119964	0.9997568290508227	0.9423684850449866	0.7652589770608738	0.8269433411688417	0.8700656561562778	0.8014914484882872	0.7907919267244873
ENSCINT00000016355	0.7980059982167463	0.8093539758450191	1.0	0.888060306395396	0.8308340763556781	0.8094350328280782	0.8142984518116235	0.8005187646915782	0.7716624787225419	0.7980059982167463	0.7795250060792738	0.8131636540487963
ENSCSAVT00000016233	0.7936289211315555	0.8039231579800601	0.888060306395396	1.0	0.903217962227446	0.804004214963119	0.8095971467941964	0.8509362081543325	0.7670422306881738	0.7936289211315555	0.8085434060144281	0.8677150036475643
ENSCSAVT00000016235	0.7828483423846965	0.7846315960119964	0.8308340763556781	0.903217962227446	1.0	0.7843884250628191	0.8403177433735917	0.8897625030396369	0.7962227445894464	0.7828483423846965	0.7916024965550782	0.8394261165599416
FBtr0110906	0.8700656561562778	0.9997568290508227	0.8094350328280782	0.804004214963119	0.7843884250628191	1.0	0.942611655994164	0.7654210910269921	0.8269433411688417	0.8700656561562778	0.8015725054713464	0.7909540406906055
FBtr0089102	0.8694172002918051	0.9423684850449866	0.8142984518116235	0.8095971467941964	0.8403177433735917	0.942611655994164	1.0	0.8213504093377645	0.8828726594796141	0.8694172002918051	0.8036799870308827	0.8014914484882872
ENSCINT00000031110	0.7663937748237011	0.7652589770608738	0.8005187646915782	0.8509362081543325	0.8897625030396369	0.7654210910269921	0.8213504093377645	1.0	0.7797681770284509	0.7663937748237011	0.7896571289616601	0.8752533030720596
FBtr0089194	0.9053254437869822	0.8269433411688417	0.7716624787225419	0.7670422306881738	0.7962227445894464	0.8269433411688417	0.8828726594796141	0.7797681770284509	1.0	0.9053254437869822	0.7582070195347329	0.7577206776363784
FBtr0089195	1.0	0.8700656561562778	0.7980059982167463	0.7936289211315555	0.7828483423846965	0.8700656561562778	0.8694172002918051	0.7663937748237011	0.9053254437869822	1.0	0.8017346194374645	0.7818756585879874
K10D3.1.1	0.8017346194374645	0.8014914484882872	0.7795250060792738	0.8085434060144281	0.7916024965550782	0.8015725054713464	0.8036799870308827	0.7896571289616601	0.7582070195347329	0.8017346194374645	1.0	0.8019777903866419
ENSGWIT00000026057	0.7818756585879874	0.7907919267244873	0.8131636540487963	0.8677150036475643	0.8394261165599416	0.7909540406906055	0.8014914484882872	0.8752533030720596	0.7577206776363784	0.7818756585879874	0.8019777903866419	1.0
