,T01G5.4.1,W07G4.6a.1,K11D12.3a.1,T26H2.8.1,K11D12.3b.1,C13D9.3.1,W07G4.6b.1,F36D3.3.1,W07G4.6a.2,T05B11.6.1,C13D9.1.1,T05B11.2.1
T01G5.4.1,1.0,0.5559144125958821,0.6285829632620105,0.3823173193379088,0.6285829632620105,0.7743237787646347,0.5486475575292693,0.37505046427129596,0.5559144125958821,0.774727492935002,0.626968106580541,0.7642309245054502
W07G4.6a.1,0.5559144125958821,1.0,0.4784012918853452,0.32862333467904725,0.4784012918853452,0.5389584174404521,0.9927331449333872,0.34679047234557925,1.0,0.5458215583366977,0.5026241421073879,0.542995559144126
K11D12.3a.1,0.6285829632620105,0.4784012918853452,1.0,0.4073475979006863,0.9580137262817925,0.6624949535728704,0.47113443681873235,0.35324989907145743,0.4784012918853452,0.6693580944691159,0.6572466693580945,0.662091239402503
T26H2.8.1,0.3823173193379088,0.32862333467904725,0.4073475979006863,1.0,0.4073475979006863,0.4194590230117077,0.3213564796124344,0.7436415018167137,0.32862333467904725,0.4174404521598708,0.39321760193782795,0.4138070246265644
K11D12.3b.1,0.6285829632620105,0.4784012918853452,0.9580137262817925,0.4073475979006863,1.0,0.6818732337505047,0.47113443681873235,0.35324989907145743,0.4784012918853452,0.6887363746467501,0.6572466693580945,0.6863140896245459
C13D9.3.1,0.7743237787646347,0.5389584174404521,0.6624949535728704,0.4194590230117077,0.6818732337505047,1.0,0.5316915623738393,0.4037141703673799,0.5389584174404521,0.8889786031489705,0.6637060960839726,0.8853451756156641
W07G4.6b.1,0.5486475575292693,0.9927331449333872,0.47113443681873235,0.3213564796124344,0.47113443681873235,0.5316915623738393,1.0,0.3395236172789665,0.9927331449333872,0.5385547032700848,0.4953572870407752,0.5357287040775132
F36D3.3.1,0.37505046427129596,0.34679047234557925,0.35324989907145743,0.7436415018167137,0.35324989907145743,0.4037141703673799,0.3395236172789665,1.0,0.34679047234557925,0.40654016955995154,0.3576907549454986,0.4004844570044408
W07G4.6a.2,0.5559144125958821,1.0,0.4784012918853452,0.32862333467904725,0.4784012918853452,0.5389584174404521,0.9927331449333872,0.34679047234557925,1.0,0.5458215583366977,0.5026241421073879,0.542995559144126
T05B11.6.1,0.774727492935002,0.5458215583366977,0.6693580944691159,0.4174404521598708,0.6887363746467501,0.8889786031489705,0.5385547032700848,0.40654016955995154,0.5458215583366977,1.0,0.6742026645135244,0.922486879289463
C13D9.1.1,0.626968106580541,0.5026241421073879,0.6572466693580945,0.39321760193782795,0.6572466693580945,0.6637060960839726,0.4953572870407752,0.3576907549454986,0.5026241421073879,0.6742026645135244,1.0,0.6653209527654421
T05B11.2.1,0.7642309245054502,0.542995559144126,0.662091239402503,0.4138070246265644,0.6863140896245459,0.8853451756156641,0.5357287040775132,0.4004844570044408,0.542995559144126,0.922486879289463,0.6653209527654421,1.0
