,ENSAMXT00000035996,ENSIPUT00000016408,ENSIPUT00000016418,ENSPNAT00000008083,ENSIPUT00000016501,ENSPNAT00000001852,ENSAMXT00000006989,ENSAMXT00000052316,ENSIPUT00000016482,ENSIPUT00000016519,ENSPNAT00000000948
ENSAMXT00000035996,1.0,0.6643975493533015,0.603112840466926,0.0,0.6643975493533015,0.0,0.5931115002918855,0.9271198318149965,0.6643975493533015,0.6643975493533015,0.0
ENSIPUT00000016408,0.6643975493533015,1.0,0.9663946231397024,0.3424068767908309,1.0,0.524,0.0,0.5080931701539676,1.0,1.0,0.524
ENSIPUT00000016418,0.603112840466926,0.9663946231397024,1.0,0.327116212338594,0.9663946231397024,0.502,0.0,0.375866851595007,0.9663946231397024,0.9663946231397024,0.502
ENSPNAT00000008083,0.0,0.3424068767908309,0.327116212338594,1.0,0.3424068767908309,0.7145969498910676,0.0,0.20373250388802489,0.3424068767908309,0.3424068767908309,0.7145969498910676
ENSIPUT00000016501,0.6643975493533015,1.0,0.9663946231397024,0.3424068767908309,1.0,0.524,0.0,0.5080931701539676,1.0,1.0,0.524
ENSPNAT00000001852,0.0,0.524,0.502,0.7145969498910676,0.524,1.0,0.0,0.1921182266009852,0.524,0.524,0.9767441860465116
ENSAMXT00000006989,0.5931115002918855,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ENSAMXT00000052316,0.9271198318149965,0.5080931701539676,0.375866851595007,0.20373250388802489,0.5080931701539676,0.1921182266009852,0.0,1.0,0.5080931701539676,0.5080931701539676,0.1921182266009852
ENSIPUT00000016482,0.6643975493533015,1.0,0.9663946231397024,0.3424068767908309,1.0,0.524,0.0,0.5080931701539676,1.0,1.0,0.524
ENSIPUT00000016519,0.6643975493533015,1.0,0.9663946231397024,0.3424068767908309,1.0,0.524,0.0,0.5080931701539676,1.0,1.0,0.524
ENSPNAT00000000948,0.0,0.524,0.502,0.7145969498910676,0.524,0.9767441860465116,0.0,0.1921182266009852,0.524,0.524,1.0
