,ENSCINT00000030573,FBtr0301186,Y71G12B.15a.2,ENSCINT00000016841,Y71G12B.15a.1,YDR054C_mRNA,FBtr0300329,ENSCSAVT00000014017,Y71G12B.15b.1,ENSCSAVT00000014016,FBtr0075592,ENSCSAVT00000018151,FBtr0332095
ENSCINT00000030573,1.0,0.4661902144035184,0.46948873007146785,0.5953820780648708,0.46948873007146785,0.36448598130841114,0.4661902144035184,0.59978009895547,0.49367784496976364,0.49532710280373826,0.46948873007146785,0.862561847168774,0.46948873007146785
FBtr0301186,0.4661902144035184,1.0,0.6008796041781198,0.6695986805937328,0.6008796041781198,0.3738317757009346,1.0,0.679494227597581,0.4370533260032985,0.5272127542605828,0.9967014843320505,0.49752611324903795,0.9967014843320505
Y71G12B.15a.2,0.46948873007146785,0.6008796041781198,1.0,0.680593732820231,1.0,0.5975810885101704,0.6008796041781198,0.6833424958768554,0.7575590984057174,0.640461792193513,0.6041781198460693,0.4958768554150632,0.6041781198460693
ENSCINT00000016841,0.5953820780648708,0.6695986805937328,0.680593732820231,1.0,0.680593732820231,0.5294117647058824,0.6695986805937328,0.9230346344145135,0.5579989004947774,0.7460142935678944,0.6728971962616822,0.5860362836723474,0.6728971962616822
Y71G12B.15a.1,0.46948873007146785,0.6008796041781198,1.0,0.680593732820231,1.0,0.5975810885101704,0.6008796041781198,0.6833424958768554,0.7575590984057174,0.640461792193513,0.6041781198460693,0.4958768554150632,0.6041781198460693
YDR054C_mRNA,0.36448598130841114,0.3738317757009346,0.5975810885101704,0.5294117647058824,0.5975810885101704,1.0,0.3738317757009346,0.5272127542605828,0.4958768554150632,0.5310610225398571,0.377130291368884,0.3001649257833975,0.377130291368884
FBtr0300329,0.4661902144035184,1.0,0.6008796041781198,0.6695986805937328,0.6008796041781198,0.3738317757009346,1.0,0.679494227597581,0.4370533260032985,0.5272127542605828,0.9967014843320505,0.49752611324903795,0.9967014843320505
ENSCSAVT00000014017,0.59978009895547,0.679494227597581,0.6833424958768554,0.9230346344145135,0.6833424958768554,0.5272127542605828,0.679494227597581,1.0,0.5563496426608027,0.7938427707531611,0.6827927432655305,0.5887850467289719,0.6827927432655305
Y71G12B.15b.1,0.49367784496976364,0.4370533260032985,0.7575590984057174,0.5579989004947774,0.7575590984057174,0.4958768554150632,0.4370533260032985,0.5563496426608027,1.0,0.5134689389774602,0.44035184167124797,0.5178669598680594,0.44035184167124797
ENSCSAVT00000014016,0.49532710280373826,0.5272127542605828,0.640461792193513,0.7460142935678944,0.640461792193513,0.5310610225398571,0.5272127542605828,0.7938427707531611,0.5134689389774602,1.0,0.5305112699285321,0.43155579989004944,0.5305112699285321
FBtr0075592,0.46948873007146785,0.9967014843320505,0.6041781198460693,0.6728971962616822,0.6041781198460693,0.377130291368884,0.9967014843320505,0.6827927432655305,0.44035184167124797,0.5305112699285321,1.0,0.5008246289169873,1.0
ENSCSAVT00000018151,0.862561847168774,0.49752611324903795,0.4958768554150632,0.5860362836723474,0.4958768554150632,0.3001649257833975,0.49752611324903795,0.5887850467289719,0.5178669598680594,0.43155579989004944,0.5008246289169873,1.0,0.5008246289169873
FBtr0332095,0.46948873007146785,0.9967014843320505,0.6041781198460693,0.6728971962616822,0.6041781198460693,0.377130291368884,0.9967014843320505,0.6827927432655305,0.44035184167124797,0.5305112699285321,1.0,0.5008246289169873,1.0
