,ENSETET00000010306,ENSMLUT00000005109,ENSLOCT00000000383,ENSPVAT00000008556,ENSOPRT00000011544,ENSLAFT00000022128,ENSECAT00000066421,ENSPCAT00000008462,ENSECAT00000010996,ENSLACT00000010723
ENSETET00000010306,1.0,0.6496559633027523,0.40825688073394495,0.3830275229357798,0.455848623853211,0.6416284403669725,0.5802752293577982,0.5028669724770642,0.6456422018348624,0.47305045871559637
ENSMLUT00000005109,0.6496559633027523,1.0,0.6169724770642202,0.6823394495412844,0.5229357798165137,0.9478211009174312,0.9025229357798165,0.7155963302752294,0.9730504587155964,0.7740825688073395
ENSLOCT00000000383,0.40825688073394495,0.6169724770642202,1.0,0.3509174311926606,0.3061926605504588,0.6163990825688074,0.6920871559633027,0.7964449541284404,0.6163990825688074,0.5923165137614679
ENSPVAT00000008556,0.3830275229357798,0.6823394495412844,0.3509174311926606,1.0,0.7660550458715596,0.6651376146788991,0.6261467889908257,0.45068807339449535,0.6857798165137615,0.4879587155963303
ENSOPRT00000011544,0.455848623853211,0.5229357798165137,0.3061926605504588,0.7660550458715596,1.0,0.5235091743119266,0.5613532110091743,0.30332568807339455,0.5235091743119266,0.36181192660550465
ENSLAFT00000022128,0.6416284403669725,0.9478211009174312,0.6163990825688074,0.6651376146788991,0.5235091743119266,1.0,0.885894495412844,0.7173165137614679,0.9524082568807339,0.7717889908256881
ENSECAT00000066421,0.5802752293577982,0.9025229357798165,0.6920871559633027,0.6261467889908257,0.5613532110091743,0.885894495412844,1.0,0.6479357798165137,0.9243119266055045,0.7115825688073395
ENSPCAT00000008462,0.5028669724770642,0.7155963302752294,0.7964449541284404,0.45068807339449535,0.30332568807339455,0.7173165137614679,0.6479357798165137,1.0,0.7178899082568807,0.6680045871559633
ENSECAT00000010996,0.6456422018348624,0.9730504587155964,0.6163990825688074,0.6857798165137615,0.5235091743119266,0.9524082568807339,0.9243119266055045,0.7178899082568807,1.0,0.7735091743119266
ENSLACT00000010723,0.47305045871559637,0.7740825688073395,0.5923165137614679,0.4879587155963303,0.36181192660550465,0.7717889908256881,0.7115825688073395,0.6680045871559633,0.7735091743119266,1.0
