	F46H6.2c.1	F46H6.2c.2	ENSACIT00000031106	F46H6.2b.1	F46H6.2b.2	ENSEBUT00000016926	FBtr0087853	FBtr0339705	ENSEBUT00000016947	F46H6.2a.1	F46H6.2c.3
F46H6.2c.1	1.0	1.0	0.5365355135411344	0.8771929824561403	0.8771929824561403	0.7242377789133027	0.7026060296371998	0.7026060296371998	0.71282575370465	0.905467552376086	1.0
F46H6.2c.2	1.0	1.0	0.5365355135411344	0.8771929824561403	0.8771929824561403	0.7242377789133027	0.7026060296371998	0.7026060296371998	0.71282575370465	0.905467552376086	1.0
ENSACIT00000031106	0.5365355135411344	0.5365355135411344	1.0	0.5498211548288197	0.5498211548288197	0.4677227048203032	0.4380855050246977	0.4380855050246977	0.4559700221427354	0.4896951115653211	0.5365355135411344
F46H6.2b.1	0.8771929824561403	0.8771929824561403	0.5498211548288197	1.0	1.0	0.71010049395333	0.7237267927099301	0.7237267927099301	0.6986884687446773	0.7826605348322262	0.8771929824561403
F46H6.2b.2	0.8771929824561403	0.8771929824561403	0.5498211548288197	1.0	1.0	0.71010049395333	0.7237267927099301	0.7237267927099301	0.6986884687446773	0.7826605348322262	0.8771929824561403
ENSEBUT00000016926	0.7242377789133027	0.7242377789133027	0.4677227048203032	0.71010049395333	0.71010049395333	1.0	0.6113098279679782	0.6113098279679782	0.9841594276954522	0.6319196048373361	0.7242377789133027
FBtr0087853	0.7026060296371998	0.7026060296371998	0.4380855050246977	0.7237267927099301	0.7237267927099301	0.6113098279679782	1.0	1.0	0.5995571452904105	0.6390734116845512	0.7026060296371998
FBtr0339705	0.7026060296371998	0.7026060296371998	0.4380855050246977	0.7237267927099301	0.7237267927099301	0.6113098279679782	1.0	1.0	0.5995571452904105	0.6390734116845512	0.7026060296371998
ENSEBUT00000016947	0.71282575370465	0.71282575370465	0.4559700221427354	0.6986884687446773	0.6986884687446773	0.9841594276954522	0.5995571452904105	0.5995571452904105	1.0	0.6371997956055186	0.71282575370465
F46H6.2a.1	0.905467552376086	0.905467552376086	0.4896951115653211	0.7826605348322262	0.7826605348322262	0.6319196048373361	0.6390734116845512	0.6390734116845512	0.6371997956055186	1.0	0.905467552376086
F46H6.2c.3	1.0	1.0	0.5365355135411344	0.8771929824561403	0.8771929824561403	0.7242377789133027	0.7026060296371998	0.7026060296371998	0.71282575370465	0.905467552376086	1.0
