	ENSPKIT00000035428	ENSAMXT00000005170	ENSATET00000024996	ENSECRT00000033400	ENSCMIT00000000982	ENSSFOT00015022876	ENSGAGT00000009659	ENSGAGT00000009658	ENSCMIT00000003028	ENSGAGT00000009656
ENSPKIT00000035428	1.0	0.700297619047619	0.2364087301587301	0.2570436507936508	0.18878968253968254	0.776686507936508	0.16894841269841265	0.17867063492063495	0.21289682539682545	0.17152777777777772
ENSAMXT00000005170	0.700297619047619	1.0	0.22073412698412695	0.22797619047619044	0.15962301587301586	0.7101190476190476	0.13551587301587298	0.14583333333333334	0.18154761904761907	0.13869047619047614
ENSATET00000024996	0.2364087301587301	0.22073412698412695	1.0	0.7867063492063492	0.8214285714285714	0.2408730158730159	0.7222222222222222	0.7216269841269841	0.8375992063492064	0.714484126984127
ENSECRT00000033400	0.2570436507936508	0.22797619047619044	0.7867063492063492	1.0	0.8491071428571428	0.2517857142857143	0.7736111111111111	0.7828373015873016	0.8550595238095238	0.7756944444444445
ENSCMIT00000000982	0.18878968253968254	0.15962301587301586	0.8214285714285714	0.8491071428571428	1.0	0.1841269841269841	0.8365079365079365	0.8359126984126984	0.9484126984126984	0.8287698412698413
ENSSFOT00015022876	0.776686507936508	0.7101190476190476	0.2408730158730159	0.2517857142857143	0.1841269841269841	1.0	0.1593253968253968	0.1690476190476191	0.2057539682539682	0.16190476190476188
ENSGAGT00000009659	0.16894841269841265	0.13551587301587298	0.7222222222222222	0.7736111111111111	0.8365079365079365	0.1593253968253968	1.0	0.9851190476190476	0.8521825396825397	0.9922619047619048
ENSGAGT00000009658	0.17867063492063495	0.14583333333333334	0.7216269841269841	0.7828373015873016	0.8359126984126984	0.1690476190476191	0.9851190476190476	1.0	0.8515873015873016	0.9928571428571428
ENSCMIT00000003028	0.21289682539682545	0.18154761904761907	0.8375992063492064	0.8550595238095238	0.9484126984126984	0.2057539682539682	0.8521825396825397	0.8515873015873016	1.0	0.8444444444444444
ENSGAGT00000009656	0.17152777777777772	0.13869047619047614	0.714484126984127	0.7756944444444445	0.8287698412698413	0.16190476190476188	0.9922619047619048	0.9928571428571428	0.8444444444444444	1.0
