	Y51H4A.5.1	Y54G2A.45c.1	Y54G2A.45b.1	K03H6.2a.1	Y49E10.18.1	C39B5.14.1	C39B5.14.2	Y54G2A.45a.1	Y54G2A.45a.2	Y49E10.16b.1	Y49E10.16a.1	K03H6.2b.1	Y49E10.25.1	K03H6.2c.1
Y51H4A.5.1	1.0	0.6915507295554801	0.7336274177129284	0.7716321683067526	0.9073634204275536	0.9324737020699017	0.9324737020699017	0.7774007465218866	0.7774007465218866	0.8140481845945029	0.8836104513064132	0.7183576518493383	0.7957244655581948	0.6884967763827621
Y54G2A.45c.1	0.6915507295554801	1.0	0.840176450627757	0.7051238547675602	0.6976586359009161	0.6925687139463862	0.6925687139463862	0.7200542925008483	0.7200542925008483	0.8150661689854088	0.7030878859857482	0.9341703427214116	0.656939260264676	0.8340685442823209
Y54G2A.45b.1	0.7336274177129284	0.840176450627757	1.0	0.8235493722429591	0.7390566677977605	0.7353240583644384	0.7353240583644384	0.8798778418730913	0.8798778418730913	0.8527315914489311	0.7407533084492705	0.8656260604004072	0.6847641669494401	0.674244994910078
K03H6.2a.1	0.7716321683067526	0.7051238547675602	0.8235493722429591	1.0	0.7787580590430947	0.7685782151340346	0.7685782151340346	0.9019341703427214	0.9019341703427214	0.7407533084492705	0.7821513403461147	0.7709535120461486	0.7197149643705463	0.7346454021038344
Y49E10.18.1	0.9073634204275536	0.6976586359009161	0.7390566677977605	0.7787580590430947	1.0	0.9032914828639296	0.9032914828639296	0.7845266372582287	0.7845266372582287	0.8137088564642009	0.8900576857821514	0.7217509331523583	0.7994570749915167	0.6864608076009501
C39B5.14.1	0.9324737020699017	0.6925687139463862	0.7353240583644384	0.7685782151340346	0.9032914828639296	1.0	1.0	0.7760434340006787	0.7760434340006787	0.8130302002035968	0.8805564981336953	0.7197149643705463	0.7950458092975907	0.6868001357312521
C39B5.14.2	0.9324737020699017	0.6925687139463862	0.7353240583644384	0.7685782151340346	0.9032914828639296	1.0	1.0	0.7760434340006787	0.7760434340006787	0.8130302002035968	0.8805564981336953	0.7197149643705463	0.7950458092975907	0.6868001357312521
Y54G2A.45a.1	0.7774007465218866	0.7200542925008483	0.8798778418730913	0.9019341703427214	0.7845266372582287	0.7760434340006787	0.7760434340006787	1.0	1.0	0.7376993552765524	0.7770614183915847	0.7455039022734985	0.7302341364099084	0.6996946046827281
Y54G2A.45a.2	0.7774007465218866	0.7200542925008483	0.8798778418730913	0.9019341703427214	0.7845266372582287	0.7760434340006787	0.7760434340006787	1.0	1.0	0.7376993552765524	0.7770614183915847	0.7455039022734985	0.7302341364099084	0.6996946046827281
Y49E10.16b.1	0.8140481845945029	0.8150661689854088	0.8527315914489311	0.7407533084492705	0.8137088564642009	0.8130302002035968	0.8130302002035968	0.7376993552765524	0.7376993552765524	1.0	0.8880217170003394	0.842551747539871	0.7499151679674245	0.6762809636918901
Y49E10.16a.1	0.8836104513064132	0.7030878859857482	0.7407533084492705	0.7821513403461147	0.8900576857821514	0.8805564981336953	0.8805564981336953	0.7770614183915847	0.7770614183915847	0.8880217170003394	1.0	0.7305734645402104	0.8014930437733289	0.6888361045130641
K03H6.2b.1	0.7183576518493383	0.9341703427214116	0.8656260604004072	0.7709535120461486	0.7217509331523583	0.7197149643705463	0.7197149643705463	0.7455039022734985	0.7455039022734985	0.842551747539871	0.7305734645402104	1.0	0.6786562606040041	0.7811333559552087
Y49E10.25.1	0.7957244655581948	0.656939260264676	0.6847641669494401	0.7197149643705463	0.7994570749915167	0.7950458092975907	0.7950458092975907	0.7302341364099084	0.7302341364099084	0.7499151679674245	0.8014930437733289	0.6786562606040041	1.0	0.6491347132677299
K03H6.2c.1	0.6884967763827621	0.8340685442823209	0.674244994910078	0.7346454021038344	0.6864608076009501	0.6868001357312521	0.6868001357312521	0.6996946046827281	0.6996946046827281	0.6762809636918901	0.6888361045130641	0.7811333559552087	0.6491347132677299	1.0
