,ENSPCIT00000068350,ENSSHAT00000005412,ENSPCIT00000050903,ENSMODT00000070575,ENSMODT00000077889,ENSPCIT00000050905,ENSVURT00010033949,ENSVURT00010033963,ENSMEUT00000008563,ENSPCIT00000055818,ENSMODT00000028975
ENSPCIT00000068350,1.0,0.8839285714285714,0.9464285714285714,0.9144736842105263,0.8609022556390977,0.9083646616541353,0.9407894736842105,0.5258458646616542,0.7617481203007519,0.8886278195488722,0.8256578947368421
ENSSHAT00000005412,0.8839285714285714,1.0,0.9304511278195489,0.8576127819548872,0.9041353383458647,0.893796992481203,0.912124060150376,0.4558270676691729,0.793233082706767,0.8754699248120301,0.8693609022556391
ENSPCIT00000050903,0.9464285714285714,0.9304511278195489,1.0,0.8609022556390977,0.9097744360902256,0.9619360902255639,0.9497180451127819,0.47227443609022557,0.8040413533834586,0.9421992481203008,0.8745300751879699
ENSMODT00000070575,0.9144736842105263,0.8576127819548872,0.8609022556390977,1.0,0.9464285714285714,0.8242481203007519,0.8848684210526315,0.4910714285714286,0.7316729323308271,0.8054511278195489,0.9069548872180451
ENSMODT00000077889,0.8609022556390977,0.9041353383458647,0.9097744360902256,0.9464285714285714,1.0,0.8731203007518797,0.8923872180451128,0.4375,0.7730263157894737,0.8543233082706767,0.9605263157894737
ENSPCIT00000050905,0.9083646616541353,0.893796992481203,0.9619360902255639,0.8242481203007519,0.8731203007518797,1.0,0.912124060150376,0.4346804511278195,0.7791353383458647,0.9041353383458647,0.9125939849624061
ENSVURT00010033949,0.9407894736842105,0.912124060150376,0.9497180451127819,0.8848684210526315,0.8923872180451128,0.912124060150376,1.0,0.506578947368421,0.7941729323308271,0.893796992481203,0.8566729323308271
ENSVURT00010033963,0.5258458646616542,0.4558270676691729,0.47227443609022557,0.4910714285714286,0.4375,0.4346804511278195,0.506578947368421,1.0,0.34445488721804507,0.4163533834586466,0.4017857142857143
ENSMEUT00000008563,0.7617481203007519,0.793233082706767,0.8040413533834586,0.7316729323308271,0.7730263157894737,0.7791353383458647,0.7941729323308271,0.34445488721804507,1.0,0.75,0.75
ENSPCIT00000055818,0.8886278195488722,0.8754699248120301,0.9421992481203008,0.8054511278195489,0.8543233082706767,0.9041353383458647,0.893796992481203,0.4163533834586466,0.75,1.0,0.819078947368421
ENSMODT00000028975,0.8256578947368421,0.8693609022556391,0.8745300751879699,0.9069548872180451,0.9605263157894737,0.9125939849624061,0.8566729323308271,0.4017857142857143,0.75,0.819078947368421,1.0
