,ENSACIT00000008502,ENSXCOT00000024530,ENSAPET00000028463,ENSCVAT00000002523,ENSPRET00000031689,ENSMALT00000018894,ENSSMAT00000023418,ENSHBUT00000033575,ENSSPAT00000012981,ENSAPOT00000014616,ENSNBRT00000019381
ENSACIT00000008502,1.0,0.8413547237076648,0.8698752228163993,0.7040998217468806,0.7718360071301248,0.6078431372549019,0.8912655971479501,0.8057040998217468,0.8163992869875223,0.93048128342246,0.803921568627451
ENSXCOT00000024530,0.8413547237076648,1.0,0.9055258467023173,0.7611408199643493,0.910873440285205,0.6399286987522281,0.8253119429590018,0.7950089126559715,0.8467023172905526,0.8645276292335116,0.8003565062388592
ENSAPET00000028463,0.8698752228163993,0.9055258467023173,1.0,0.7540106951871658,0.8360071301247772,0.6880570409982175,0.8502673796791443,0.8609625668449198,0.9144385026737968,0.9126559714795008,0.8663101604278075
ENSCVAT00000002523,0.7040998217468806,0.7611408199643493,0.7540106951871658,1.0,0.7361853832442068,0.6470588235294118,0.6773618538324421,0.661319073083779,0.7771836007130125,0.714795008912656,0.6648841354723708
ENSPRET00000031689,0.7718360071301248,0.910873440285205,0.8360071301247772,0.7361853832442068,1.0,0.5757575757575758,0.7611408199643493,0.7344028520499108,0.7771836007130125,0.7950089126559715,0.7361853832442068
ENSMALT00000018894,0.6078431372549019,0.6399286987522281,0.6880570409982175,0.6470588235294118,0.5757575757575758,1.0,0.6042780748663101,0.6060606060606061,0.7058823529411765,0.6114081996434938,0.6024955436720143
ENSSMAT00000023418,0.8912655971479501,0.8253119429590018,0.8502673796791443,0.6773618538324421,0.7611408199643493,0.6042780748663101,1.0,0.7575757575757576,0.7950089126559715,0.8983957219251337,0.7593582887700535
ENSHBUT00000033575,0.8057040998217468,0.7950089126559715,0.8609625668449198,0.661319073083779,0.7344028520499108,0.6060606060606061,0.7575757575757576,1.0,0.7985739750445633,0.7896613190730838,0.9910873440285205
ENSSPAT00000012981,0.8163992869875223,0.8467023172905526,0.9144385026737968,0.7771836007130125,0.7771836007130125,0.7058823529411765,0.7950089126559715,0.7985739750445633,1.0,0.8431372549019608,0.803921568627451
ENSAPOT00000014616,0.93048128342246,0.8645276292335116,0.9126559714795008,0.714795008912656,0.7950089126559715,0.6114081996434938,0.8983957219251337,0.7896613190730838,0.8431372549019608,1.0,0.7950089126559715
ENSNBRT00000019381,0.803921568627451,0.8003565062388592,0.8663101604278075,0.6648841354723708,0.7361853832442068,0.6024955436720143,0.7593582887700535,0.9910873440285205,0.803921568627451,0.7950089126559715,1.0
