,ENSACAT00000022382,F23B12.5.1,FBtr0332526,FBtr0332527,F23B12.5.2,FBtr0079445,FBtr0079444,ENSPVIT00000009634,FBtr0332528,FBtr0332529
ENSACAT00000022382,1.0,0.3236787100627052,0.34607345476261564,0.33174081815467305,0.3236787100627052,0.3362197670946552,0.31113765303075547,0.8151687070767393,0.32547028963869806,0.31113765303075547
F23B12.5.1,0.3236787100627052,1.0,0.746491489997014,0.7482830695730068,1.0,0.7494774559570021,0.7584353538369663,0.41057031949835765,0.7569423708569722,0.7584353538369663
FBtr0332526,0.34607345476261564,0.746491489997014,1.0,0.9856673633920573,0.746491489997014,0.8835473275604658,0.9650641982681397,0.4287847118542849,0.9782024484920872,0.9650641982681397
FBtr0332527,0.33174081815467305,0.7482830695730068,0.9856673633920573,1.0,0.7482830695730068,0.8969841743804121,0.978501045088086,0.4144520752463422,0.9725291131681099,0.978501045088086
F23B12.5.2,0.3236787100627052,1.0,0.746491489997014,0.7482830695730068,1.0,0.7494774559570021,0.7584353538369663,0.41057031949835765,0.7569423708569722,0.7584353538369663
FBtr0079445,0.3362197670946552,0.7494774559570021,0.8835473275604658,0.8969841743804121,0.7494774559570021,1.0,0.9184831292923261,0.42490295610630047,0.9041504926843834,0.9184831292923261
FBtr0079444,0.31113765303075547,0.7584353538369663,0.9650641982681397,0.978501045088086,0.7584353538369663,0.9184831292923261,1.0,0.3938489101224246,0.9856673633920573,1.0
ENSPVIT00000009634,0.8151687070767393,0.41057031949835765,0.4287847118542849,0.4144520752463422,0.41057031949835765,0.42490295610630047,0.3938489101224246,1.0,0.40818154673036733,0.3938489101224246
FBtr0332528,0.32547028963869806,0.7569423708569722,0.9782024484920872,0.9725291131681099,0.7569423708569722,0.9041504926843834,0.9856673633920573,0.40818154673036733,1.0,0.9856673633920573
FBtr0332529,0.31113765303075547,0.7584353538369663,0.9650641982681397,0.978501045088086,0.7584353538369663,0.9184831292923261,1.0,0.3938489101224246,0.9856673633920573,1.0
