	MGP_CAROLIEiJ_T0027844	MGP_SPRETEiJ_T0029224	ENSRNOT00000029230	MGP_PahariEiJ_T0034592	MGP_PahariEiJ_T0034593	MGP_CAROLIEiJ_T0027845	ENSMUST00000057685	ENSMSIT00000030894	ENSMUST00000179000	MGP_SPRETEiJ_T0029225
MGP_CAROLIEiJ_T0027844	1.0	0.9657603222557906	0.8630412890231621	0.9214501510574018	0.6273917421953675	0.6555891238670695	0.97079556898288	0.9748237663645518	0.6374622356495468	0.6374622356495468
MGP_SPRETEiJ_T0029224	0.9657603222557906	1.0	0.8549848942598187	0.9154078549848944	0.6304128902316214	0.6435045317220544	0.9697885196374624	0.9768378650553876	0.6445115810674723	0.6616314199395771
ENSRNOT00000029230	0.8630412890231621	0.8549848942598187	1.0	0.8862034239677744	0.5649546827794562	0.5609264853977844	0.8680765357502518	0.8700906344410876	0.5649546827794562	0.5589123867069486
MGP_PahariEiJ_T0034592	0.9214501510574018	0.9154078549848944	0.8862034239677744	1.0	0.6344410876132931	0.6062437059415912	0.918429003021148	0.9224572004028198	0.6022155085599195	0.6032225579053374
MGP_PahariEiJ_T0034593	0.6273917421953675	0.6304128902316214	0.5649546827794562	0.6344410876132931	1.0	0.971802618328298	0.6233635448136958	0.6253776435045317	0.9677744209466264	0.9687814702920444
MGP_CAROLIEiJ_T0027845	0.6555891238670695	0.6435045317220544	0.5609264853977844	0.6062437059415912	0.971802618328298	1.0	0.6374622356495468	0.6394763343403826	0.9818731117824774	0.9818731117824774
ENSMUST00000057685	0.97079556898288	0.9697885196374624	0.8680765357502518	0.918429003021148	0.6233635448136958	0.6374622356495468	1.0	0.9848942598187312	0.6555891238670695	0.6384692849949648
ENSMSIT00000030894	0.9748237663645518	0.9768378650553876	0.8700906344410876	0.9224572004028198	0.6253776435045317	0.6394763343403826	0.9848942598187312	1.0	0.6465256797583081	0.6414904330312186
ENSMUST00000179000	0.6374622356495468	0.6445115810674723	0.5649546827794562	0.6022155085599195	0.9677744209466264	0.9818731117824774	0.6555891238670695	0.6465256797583081	1.0	0.9828801611278952
MGP_SPRETEiJ_T0029225	0.6374622356495468	0.6616314199395771	0.5589123867069486	0.6032225579053374	0.9687814702920444	0.9818731117824774	0.6384692849949648	0.6414904330312186	0.9828801611278952	1.0
