,F07A11.2b.3,F07A11.2b.1,YMR084W_mRNA,YMR085W_mRNA,F07A11.2a.3,F07A11.2a.1,ENSHHUT00000026092,YKL104C_mRNA,F22B3.4.2,F07A11.2a.2,F22B3.4.1,F07A11.2a.4,ENSPTET00000013269,F07A11.2b.2
F07A11.2b.3,1.0,1.0,0.3303929430633521,0.5966319165998396,0.9895749799518845,0.9895749799518845,0.48436246992782683,0.44212777332264097,0.8810478481689388,0.9895749799518845,0.8810478481689388,0.9895749799518845,0.3023255813953488,1.0
F07A11.2b.1,1.0,1.0,0.3303929430633521,0.5966319165998396,0.9895749799518845,0.9895749799518845,0.48436246992782683,0.44212777332264097,0.8810478481689388,0.9895749799518845,0.8810478481689388,0.9895749799518845,0.3023255813953488,1.0
YMR084W_mRNA,0.3303929430633521,0.3303929430633521,1.0,0.5140336808340016,0.3199679230152366,0.3199679230152366,0.5797914995990376,0.5581395348837209,0.3303929430633521,0.3199679230152366,0.3303929430633521,0.3199679230152366,0.4274258219727345,0.3303929430633521
YMR085W_mRNA,0.5966319165998396,0.5966319165998396,0.5140336808340016,1.0,0.5862068965517241,0.5862068965517241,0.6655974338412189,0.648757016840417,0.5995723068698209,0.5862068965517241,0.5995723068698209,0.5862068965517241,0.48062015503875966,0.5966319165998396
F07A11.2a.3,0.9895749799518845,0.9895749799518845,0.3199679230152366,0.5862068965517241,1.0,1.0,0.4739374498797113,0.43170275327452545,0.8821170809943866,1.0,0.8821170809943866,1.0,0.2919005613472334,0.9895749799518845
F07A11.2a.1,0.9895749799518845,0.9895749799518845,0.3199679230152366,0.5862068965517241,1.0,1.0,0.4739374498797113,0.43170275327452545,0.8821170809943866,1.0,0.8821170809943866,1.0,0.2919005613472334,0.9895749799518845
ENSHHUT00000026092,0.48436246992782683,0.48436246992782683,0.5797914995990376,0.6655974338412189,0.4739374498797113,0.4739374498797113,1.0,0.6757551456829725,0.48222400427693124,0.4739374498797113,0.48222400427693124,0.4739374498797113,0.557872226677359,0.48436246992782683
YKL104C_mRNA,0.44212777332264097,0.44212777332264097,0.5581395348837209,0.648757016840417,0.43170275327452545,0.43170275327452545,0.6757551456829725,1.0,0.4413258487035552,0.43170275327452545,0.4413258487035552,0.43170275327452545,0.4854317027532745,0.44212777332264097
F22B3.4.2,0.8810478481689388,0.8810478481689388,0.3303929430633521,0.5995723068698209,0.8821170809943866,0.8821170809943866,0.48222400427693124,0.4413258487035552,1.0,0.8821170809943866,1.0,0.8821170809943866,0.3031275060144347,0.8810478481689388
F07A11.2a.2,0.9895749799518845,0.9895749799518845,0.3199679230152366,0.5862068965517241,1.0,1.0,0.4739374498797113,0.43170275327452545,0.8821170809943866,1.0,0.8821170809943866,1.0,0.2919005613472334,0.9895749799518845
F22B3.4.1,0.8810478481689388,0.8810478481689388,0.3303929430633521,0.5995723068698209,0.8821170809943866,0.8821170809943866,0.48222400427693124,0.4413258487035552,1.0,0.8821170809943866,1.0,0.8821170809943866,0.3031275060144347,0.8810478481689388
F07A11.2a.4,0.9895749799518845,0.9895749799518845,0.3199679230152366,0.5862068965517241,1.0,1.0,0.4739374498797113,0.43170275327452545,0.8821170809943866,1.0,0.8821170809943866,1.0,0.2919005613472334,0.9895749799518845
ENSPTET00000013269,0.3023255813953488,0.3023255813953488,0.4274258219727345,0.48062015503875966,0.2919005613472334,0.2919005613472334,0.557872226677359,0.4854317027532745,0.3031275060144347,0.2919005613472334,0.3031275060144347,0.2919005613472334,1.0,0.3023255813953488
F07A11.2b.2,1.0,1.0,0.3303929430633521,0.5966319165998396,0.9895749799518845,0.9895749799518845,0.48436246992782683,0.44212777332264097,0.8810478481689388,0.9895749799518845,0.8810478481689388,0.9895749799518845,0.3023255813953488,1.0
