	F59B1.1a.1	Y39H10B.1b.1	T23D5.6.1	F59E11.15.1	F59E11.14.1	Y39H10B.1a.1	R08H2.2.1	F59B1.1b.1	F07B10.3.1	F07B10.2.1	T08G3.1.1
F59B1.1a.1	1.0	0.5553488372093023	0.5302325581395348	0.5809302325581396	0.5869767441860465	0.673953488372093	0.5804651162790697	0.995813953488372	0.7032558139534884	0.6990697674418604	0.5939534883720929
Y39H10B.1b.1	0.5553488372093023	1.0	0.5506976744186046	0.5767441860465117	0.5665116279069767	0.6358139534883721	0.5651162790697675	0.5511627906976744	0.5493023255813954	0.5488372093023256	0.5511627906976744
T23D5.6.1	0.5302325581395348	0.5506976744186046	1.0	0.5534883720930233	0.5465116279069767	0.5748837209302325	0.546046511627907	0.5260465116279069	0.5734883720930233	0.5562790697674419	0.7525581395348837
F59E11.15.1	0.5809302325581396	0.5767441860465117	0.5534883720930233	1.0	0.8483720930232558	0.6716279069767442	0.8148837209302325	0.5767441860465117	0.5939534883720929	0.586046511627907	0.5446511627906977
F59E11.14.1	0.5869767441860465	0.5665116279069767	0.5465116279069767	0.8483720930232558	1.0	0.6651162790697674	0.8330232558139535	0.5827906976744186	0.5990697674418605	0.587906976744186	0.5446511627906977
Y39H10B.1a.1	0.673953488372093	0.6358139534883721	0.5748837209302325	0.6716279069767442	0.6651162790697674	1.0	0.666046511627907	0.6697674418604651	0.6744186046511628	0.6748837209302325	0.5693023255813954
R08H2.2.1	0.5804651162790697	0.5651162790697675	0.546046511627907	0.8148837209302325	0.8330232558139535	0.666046511627907	1.0	0.5762790697674418	0.6023255813953489	0.5986046511627907	0.5404651162790698
F59B1.1b.1	0.995813953488372	0.5511627906976744	0.5260465116279069	0.5767441860465117	0.5827906976744186	0.6697674418604651	0.5762790697674418	1.0	0.7027906976744186	0.6990697674418604	0.5897674418604651
F07B10.3.1	0.7032558139534884	0.5493023255813954	0.5734883720930233	0.5939534883720929	0.5990697674418605	0.6744186046511628	0.6023255813953489	0.7027906976744186	1.0	0.8516279069767442	0.6195348837209302
F07B10.2.1	0.6990697674418604	0.5488372093023256	0.5562790697674419	0.586046511627907	0.587906976744186	0.6748837209302325	0.5986046511627907	0.6990697674418604	0.8516279069767442	1.0	0.6013953488372094
T08G3.1.1	0.5939534883720929	0.5511627906976744	0.7525581395348837	0.5446511627906977	0.5446511627906977	0.5693023255813954	0.5404651162790698	0.5897674418604651	0.6195348837209302	0.6013953488372094	1.0
