	ENSXMAT00000005363	ENSPMET00000000402	ENSPLAT00000023436	ENSXCOT00000008500	ENSPRNT00000033737	ENSPRNT00000033734	ENSPRET00000001212	ENSGAFT00000031234	ENSHCOT00000016821	ENSPFOT00000014573
ENSXMAT00000005363	1.0	0.8028169014084507	0.8028169014084507	1.0	0.7816901408450704	0.7253521126760564	0.8004694835680751	0.5774647887323944	0.7042253521126759	0.8028169014084507
ENSPMET00000000402	0.8028169014084507	1.0	1.0	0.8028169014084507	0.812206572769953	0.8873239436619719	0.9953051643192488	0.7629107981220657	0.8427230046948356	1.0
ENSPLAT00000023436	0.8028169014084507	1.0	1.0	0.8028169014084507	0.812206572769953	0.8873239436619719	0.9953051643192488	0.7629107981220657	0.8427230046948356	1.0
ENSXCOT00000008500	1.0	0.8028169014084507	0.8028169014084507	1.0	0.7816901408450704	0.7253521126760564	0.8004694835680751	0.5774647887323944	0.7042253521126759	0.8028169014084507
ENSPRNT00000033737	0.7816901408450704	0.812206572769953	0.812206572769953	0.7816901408450704	1.0	0.9014084507042254	0.812206572769953	0.5938967136150235	0.7769953051643192	0.812206572769953
ENSPRNT00000033734	0.7253521126760564	0.8873239436619719	0.8873239436619719	0.7253521126760564	0.9014084507042254	1.0	0.8873239436619719	0.6666666666666666	0.8403755868544601	0.8873239436619719
ENSPRET00000001212	0.8004694835680751	0.9953051643192488	0.9953051643192488	0.8004694835680751	0.812206572769953	0.8873239436619719	1.0	0.7582159624413145	0.8427230046948356	0.9953051643192488
ENSGAFT00000031234	0.5774647887323944	0.7629107981220657	0.7629107981220657	0.5774647887323944	0.5938967136150235	0.6666666666666666	0.7582159624413145	1.0	0.6126760563380281	0.7629107981220657
ENSHCOT00000016821	0.7042253521126759	0.8427230046948356	0.8427230046948356	0.7042253521126759	0.7769953051643192	0.8403755868544601	0.8427230046948356	0.6126760563380281	1.0	0.8427230046948356
ENSPFOT00000014573	0.8028169014084507	1.0	1.0	0.8028169014084507	0.812206572769953	0.8873239436619719	0.9953051643192488	0.7629107981220657	0.8427230046948356	1.0
