,FBtr0084975,Y113G7B.24b.2,Y113G7B.24b.3,Y113G7B.24c.1,ENSSMRT00000029008,Y113G7B.24b.1,ENSCABT00000020680,Y113G7B.24a.1,ENSGAGT00000040762,ENSSPUT00000011479,ENSPVIT00000033325
FBtr0084975,1.0,0.3310392291810048,0.3310392291810048,0.3764624913971094,0.36751548520302824,0.3310392291810048,0.33516861665519615,0.27804542326221604,0.36889194769442535,0.36820371644872685,0.3757742601514109
Y113G7B.24b.2,0.3310392291810048,1.0,1.0,0.9545767377838954,0.37026841018582246,1.0,0.4335856847900894,0.7336545079146594,0.36958017894012385,0.3668272539573296,0.3620096352374398
Y113G7B.24b.3,0.3310392291810048,1.0,1.0,0.9545767377838954,0.37026841018582246,1.0,0.4335856847900894,0.7336545079146594,0.36958017894012385,0.3668272539573296,0.3620096352374398
Y113G7B.24c.1,0.3764624913971094,0.9545767377838954,0.9545767377838954,1.0,0.3867859600825878,0.9545767377838954,0.44872677219545765,0.6882312456985548,0.3847212663454921,0.38265657260839636,0.37852718513420514
ENSSMRT00000029008,0.36751548520302824,0.37026841018582246,0.37026841018582246,0.3867859600825878,1.0,0.37026841018582246,0.8540949759119064,0.26772195457673775,0.911906400550585,0.8960770818995183,0.9091534755677908
Y113G7B.24b.1,0.3310392291810048,1.0,1.0,0.9545767377838954,0.37026841018582246,1.0,0.4335856847900894,0.7336545079146594,0.36958017894012385,0.3668272539573296,0.3620096352374398
ENSCABT00000020680,0.33516861665519615,0.4335856847900894,0.4335856847900894,0.44872677219545765,0.8540949759119064,0.4335856847900894,1.0,0.3289745354439091,0.9249827942188575,0.8568479008947006,0.8499655884377151
Y113G7B.24a.1,0.27804542326221604,0.7336545079146594,0.7336545079146594,0.6882312456985548,0.26772195457673775,0.7336545079146594,0.3289745354439091,1.0,0.26634549208534075,0.269098417068135,0.2608396421197523
ENSGAGT00000040762,0.36889194769442535,0.36958017894012385,0.36958017894012385,0.3847212663454921,0.911906400550585,0.36958017894012385,0.9249827942188575,0.26634549208534075,1.0,0.9167240192704749,0.9050240880935995
ENSSPUT00000011479,0.36820371644872685,0.3668272539573296,0.3668272539573296,0.38265657260839636,0.8960770818995183,0.3668272539573296,0.8568479008947006,0.269098417068135,0.9167240192704749,1.0,0.8981417756366139
ENSPVIT00000033325,0.3757742601514109,0.3620096352374398,0.3620096352374398,0.37852718513420514,0.9091534755677908,0.3620096352374398,0.8499655884377151,0.2608396421197523,0.9050240880935995,0.8981417756366139,1.0
