,F08D12.11.1,F29A7.2.1,F08D12.10.1,F53C3.2.1,F18A12.7.1,F08D12.8.1,F29A7.1a.1,F29A7.1b.1,Y49F6B.7.1,F08D12.6.1,F08D12.9.1
F08D12.11.1,1.0,0.7972007997714938,0.8628963153384748,0.7937732076549557,0.5684090259925736,0.8211939445872608,0.81662382176521,0.7937732076549557,0.8051985147100829,0.6986575264210225,0.8711796629534418
F29A7.2.1,0.7972007997714938,1.0,0.7900599828620394,0.7734932876321051,0.5038560411311054,0.8080548414738646,0.8020565552699229,0.8157669237360754,0.7709225935447015,0.6709511568123393,0.7940588403313339
F08D12.10.1,0.8628963153384748,0.7900599828620394,1.0,0.7803484718651814,0.5412739217366467,0.8091973721793774,0.803770351328192,0.7783490431305341,0.7886318194801485,0.683233361896601,0.9354470151385319
F53C3.2.1,0.7937732076549557,0.7734932876321051,0.7803484718651814,1.0,0.5001428163381891,0.7914881462439303,0.8077692087974865,0.7820622679234505,0.7674950014281634,0.670379891459583,0.7883461868037703
F18A12.7.1,0.5684090259925736,0.5038560411311054,0.5412739217366467,0.5001428163381891,1.0,0.5221365324193088,0.5169951442445015,0.5032847757783491,0.49842902027992,0.401885175664096,0.548129105969723
F08D12.8.1,0.8211939445872608,0.8080548414738646,0.8091973721793774,0.7914881462439303,0.5221365324193088,1.0,0.853756069694373,0.8226221079691517,0.8089117395029991,0.7369323050556984,0.8137674950014282
F29A7.1a.1,0.81662382176521,0.8020565552699229,0.803770351328192,0.8077692087974865,0.5169951442445015,0.853756069694373,1.0,0.9391602399314481,0.7889174521565268,0.7117966295344187,0.8151956583833191
F29A7.1b.1,0.7937732076549557,0.8157669237360754,0.7783490431305341,0.7820622679234505,0.5032847757783491,0.8226221079691517,0.9391602399314481,1.0,0.7723507569265924,0.6803770351328192,0.7912025135675521
Y49F6B.7.1,0.8051985147100829,0.7709225935447015,0.7886318194801485,0.7674950014281634,0.49842902027992,0.8089117395029991,0.7889174521565268,0.7723507569265924,1.0,0.6635247072265067,0.8009140245644102
F08D12.6.1,0.6986575264210225,0.6709511568123393,0.683233361896601,0.670379891459583,0.401885175664096,0.7369323050556984,0.7117966295344187,0.6803770351328192,0.6635247072265067,1.0,0.6909454441588118
F08D12.9.1,0.8711796629534418,0.7940588403313339,0.9354470151385319,0.7883461868037703,0.548129105969723,0.8137674950014282,0.8151956583833191,0.7912025135675521,0.8009140245644102,0.6909454441588118,1.0
