	ENSACAT00000022382	F23B12.5.1	FBtr0332526	FBtr0332527	F23B12.5.2	FBtr0079445	FBtr0079444	ENSPVIT00000009634	FBtr0332528	FBtr0332529
ENSACAT00000022382	1.0	0.3236787100627052	0.34607345476261564	0.33174081815467305	0.3236787100627052	0.3362197670946552	0.3111376530307555	0.8151687070767393	0.3254702896386981	0.3111376530307555
F23B12.5.1	0.3236787100627052	1.0	0.7464914899970141	0.7482830695730068	1.0	0.7494774559570021	0.7584353538369663	0.4105703194983577	0.7569423708569722	0.7584353538369663
FBtr0332526	0.34607345476261564	0.7464914899970141	1.0	0.9856673633920572	0.7464914899970141	0.8835473275604658	0.9650641982681396	0.4287847118542849	0.9782024484920872	0.9650641982681396
FBtr0332527	0.33174081815467305	0.7482830695730068	0.9856673633920572	1.0	0.7482830695730068	0.8969841743804121	0.978501045088086	0.4144520752463422	0.97252911316811	0.978501045088086
F23B12.5.2	0.3236787100627052	1.0	0.7464914899970141	0.7482830695730068	1.0	0.7494774559570021	0.7584353538369663	0.4105703194983577	0.7569423708569722	0.7584353538369663
FBtr0079445	0.3362197670946552	0.7494774559570021	0.8835473275604658	0.8969841743804121	0.7494774559570021	1.0	0.918483129292326	0.4249029561063005	0.9041504926843834	0.918483129292326
FBtr0079444	0.3111376530307555	0.7584353538369663	0.9650641982681396	0.978501045088086	0.7584353538369663	0.918483129292326	1.0	0.3938489101224246	0.9856673633920572	1.0
ENSPVIT00000009634	0.8151687070767393	0.4105703194983577	0.4287847118542849	0.4144520752463422	0.4105703194983577	0.4249029561063005	0.3938489101224246	1.0	0.4081815467303673	0.3938489101224246
FBtr0332528	0.3254702896386981	0.7569423708569722	0.9782024484920872	0.97252911316811	0.7569423708569722	0.9041504926843834	0.9856673633920572	0.4081815467303673	1.0	0.9856673633920572
FBtr0332529	0.3111376530307555	0.7584353538369663	0.9650641982681396	0.978501045088086	0.7584353538369663	0.918483129292326	1.0	0.3938489101224246	0.9856673633920572	1.0
