,ENSAMXT00000037208,ENSEBUT00000003480,T23G11.5b.2,ENSPMAT00000004084,T23G11.5a.1,ENSPKIT00000007116,ENSPKIT00000007142,FBtr0084002,ENSSFOT00015020655,ENSAMXT00000048541,ENSPKIT00000041402,FBtr0336772,T23G11.5b.1
ENSAMXT00000037208,1.0,0.9145931001322274,0.8687342228633249,0.9450054093040029,0.864046159394158,0.9691068638057458,0.9642384902031494,0.810794566654646,0.9682053131385984,1.0,0.9272749128501022,0.8106743598990264,0.8687342228633249
ENSEBUT00000003480,0.9145931001322274,1.0,0.8853828585166487,0.912249068397644,0.8805144849140522,0.918680129823296,0.9135112393316505,0.8101935328765477,0.9156749609328044,0.9145931001322274,0.9296790479624955,0.8103738430099772,0.8853828585166487
T23G11.5b.2,0.8687342228633249,0.8853828585166487,1.0,0.8682533958408463,0.9624954922466643,0.8727611491765838,0.8753455944224066,0.8520855872100012,0.8731217694434428,0.8687342228633249,0.9103858636855391,0.8522658973434307,1.0
ENSPMAT00000004084,0.9450054093040029,0.912249068397644,0.8682533958408463,1.0,0.8642264695275874,0.9463276836158192,0.9414593100132227,0.8163841807909604,0.9487318187282126,0.9450054093040029,0.9166366149777617,0.8163841807909604,0.8682533958408463
T23G11.5a.1,0.864046159394158,0.8805144849140522,0.9624954922466643,0.8642264695275874,1.0,0.8671114316624594,0.8696958769082822,0.8432503906719557,0.8677124654405578,0.864046159394158,0.8925952638538286,0.8434307008053853,0.9624954922466643
ENSPKIT00000007116,0.9691068638057458,0.918680129823296,0.8727611491765838,0.9463276836158192,0.8671114316624594,1.0,0.9946507993749248,0.8131987017670393,0.9757182353648275,0.9691068638057458,0.9310614256521217,0.8130784950114196,0.8727611491765838
ENSPKIT00000007142,0.9642384902031494,0.9135112393316505,0.8753455944224066,0.9414593100132227,0.8696958769082822,0.9946507993749248,1.0,0.8083303281644428,0.9708498617622311,0.9642384902031494,0.9261930520495252,0.8082101214088232,0.8753455944224066
FBtr0084002,0.810794566654646,0.8101935328765477,0.8520855872100012,0.8163841807909604,0.8432503906719557,0.8131987017670393,0.8083303281644428,1.0,0.81656449092439,0.810794566654646,0.8368794326241135,0.9998196898665705,0.8520855872100012
ENSSFOT00015020655,0.9682053131385984,0.9156749609328044,0.8731217694434428,0.9487318187282126,0.8677124654405578,0.9757182353648275,0.9708498617622311,0.81656449092439,1.0,0.9682053131385984,0.9307008053852627,0.8164442841687702,0.8731217694434428
ENSAMXT00000048541,1.0,0.9145931001322274,0.8687342228633249,0.9450054093040029,0.864046159394158,0.9691068638057458,0.9642384902031494,0.810794566654646,0.9682053131385984,1.0,0.9272749128501022,0.8106743598990264,0.8687342228633249
ENSPKIT00000041402,0.9272749128501022,0.9296790479624955,0.9103858636855391,0.9166366149777617,0.8925952638538286,0.9310614256521217,0.9261930520495252,0.8368794326241135,0.9307008053852627,0.9272749128501022,1.0,0.837059742757543,0.9103858636855391
FBtr0336772,0.8106743598990264,0.8103738430099772,0.8522658973434307,0.8163841807909604,0.8434307008053853,0.8130784950114196,0.8082101214088232,0.9998196898665705,0.8164442841687702,0.8106743598990264,0.837059742757543,1.0,0.8522658973434307
T23G11.5b.1,0.8687342228633249,0.8853828585166487,1.0,0.8682533958408463,0.9624954922466643,0.8727611491765838,0.8753455944224066,0.8520855872100012,0.8731217694434428,0.8687342228633249,0.9103858636855391,0.8522658973434307,1.0
