	F59F3.1.1	T17A3.1.1	W04G5.6.1	F59F3.5.1	F59F3.5.2	R09D1.12.1	M176.7.2	M176.6b.1	M176.6a.1	M176.7.1	M01B2.1.1
F59F3.1.1	1.0	0.4925795053003534	0.2287396937573616	0.5910482921083627	0.5910482921083627	0.2603062426383982	0.3069493521790342	0.2840989399293285	0.3022379269729093	0.3069493521790342	0.2551236749116608
T17A3.1.1	0.4925795053003534	1.0	0.2636042402826855	0.4817432273262662	0.4817432273262662	0.2873969375736161	0.3154299175500589	0.2878680800942285	0.30577149587750296	0.3154299175500589	0.2826855123674912
W04G5.6.1	0.2287396937573616	0.2636042402826855	1.0	0.2325088339222615	0.2325088339222615	0.7844522968197879	0.7429917550058893	0.7948174322732626	0.7524146054181391	0.7429917550058893	0.7856301531213192
F59F3.5.1	0.5910482921083627	0.4817432273262662	0.2325088339222615	1.0	1.0	0.2659599528857479	0.29540636042402824	0.2770318021201413	0.294228504122497	0.29540636042402824	0.2614840989399294
F59F3.5.2	0.5910482921083627	0.4817432273262662	0.2325088339222615	1.0	1.0	0.2659599528857479	0.29540636042402824	0.2770318021201413	0.294228504122497	0.29540636042402824	0.2614840989399294
R09D1.12.1	0.2603062426383982	0.2873969375736161	0.7844522968197879	0.2659599528857479	0.2659599528857479	1.0	0.7849234393404004	0.7724381625441696	0.7632508833922261	0.7849234393404004	0.8897526501766785
M176.7.2	0.3069493521790342	0.3154299175500589	0.7429917550058893	0.29540636042402824	0.29540636042402824	0.7849234393404004	1.0	0.7959952885747938	0.7872791519434629	1.0	0.7806831566548881
M176.6b.1	0.2840989399293285	0.2878680800942285	0.7948174322732626	0.2770318021201413	0.2770318021201413	0.7724381625441696	0.7959952885747938	1.0	0.9575971731448764	0.7959952885747938	0.7743227326266195
M176.6a.1	0.3022379269729093	0.30577149587750296	0.7524146054181391	0.294228504122497	0.294228504122497	0.7632508833922261	0.7872791519434629	0.9575971731448764	1.0	0.7872791519434629	0.7639575971731449
M176.7.1	0.3069493521790342	0.3154299175500589	0.7429917550058893	0.29540636042402824	0.29540636042402824	0.7849234393404004	1.0	0.7959952885747938	0.7872791519434629	1.0	0.7806831566548881
M01B2.1.1	0.2551236749116608	0.2826855123674912	0.7856301531213192	0.2614840989399294	0.2614840989399294	0.8897526501766785	0.7806831566548881	0.7743227326266195	0.7639575971731449	0.7806831566548881	1.0
