	C37A2.8b.1	ENSPCIT00000024199	FBtr0336471	ENSVURT00010022230	ENSPCIT00000024128	ENSPMAT00000001653	ENSMODT00000009080	ENSSHAT00000020480	C37A2.8a.1	FBtr0083610
C37A2.8b.1	1.0	0.8210602935824336	0.7590683003760766	0.8208176634720369	0.7522746572849691	0.8187553075336649	0.7999514739779207	0.7993448987019289	0.9105908043188159	0.7590683003760766
ENSPCIT00000024199	0.8210602935824336	1.0	0.6785151037243722	0.9936916171296858	0.8623074123498726	0.9193254882930972	0.9599660317845444	0.9637267984956932	0.7987383234259372	0.6785151037243722
FBtr0336471	0.7590683003760766	0.6785151037243722	1.0	0.6782724736139755	0.6097294674269077	0.6751182821788184	0.6566783937886692	0.6564357636782725	0.6840955962634963	1.0
ENSVURT00010022230	0.8208176634720369	0.9936916171296858	0.6782724736139755	1.0	0.8587892757491205	0.9192041732378988	0.9602086618949413	0.9640907436612884	0.7983743782603421	0.6782724736139755
ENSPCIT00000024128	0.7522746572849691	0.8623074123498726	0.6097294674269077	0.8587892757491205	1.0	0.8060172267378382	0.8277326216183428	0.8302802377775081	0.7299526871284726	0.6097294674269077
ENSPMAT00000001653	0.8187553075336649	0.9193254882930972	0.6751182821788184	0.9192041732378988	0.8060172267378382	1.0	0.8973674633021959	0.8959116826398156	0.7976464879291519	0.6751182821788184
ENSMODT00000009080	0.7999514739779207	0.9599660317845444	0.6566783937886692	0.9602086618949413	0.8277326216183428	0.8973674633021959	1.0	0.970884386752396	0.7775081887662258	0.6566783937886692
ENSSHAT00000020480	0.7993448987019289	0.9637267984956932	0.6564357636782725	0.9640907436612884	0.8302802377775081	0.8959116826398156	0.970884386752396	1.0	0.7771442436006308	0.6564357636782725
C37A2.8a.1	0.9105908043188159	0.7987383234259372	0.6840955962634963	0.7983743782603421	0.7299526871284726	0.7976464879291519	0.7775081887662258	0.7771442436006308	1.0	0.6840955962634963
FBtr0083610	0.7590683003760766	0.6785151037243722	1.0	0.6782724736139755	0.6097294674269077	0.6751182821788184	0.6566783937886692	0.6564357636782725	0.6840955962634963	1.0
