	ENSCINT00000031968	C27H5.3a.1	FBtr0334991	C27H5.3a.2	FBtr0334990	FBtr0334992	C27H5.3b.1	C27H5.3b.2	C27H5.3b.3	FBtr0074217	ENSMMOT00000023469
ENSCINT00000031968	1.0	0.5686475409836066	0.664702868852459	0.5686475409836066	0.6424180327868853	0.7886782786885246	0.6132172131147541	0.6132172131147541	0.6132172131147541	0.6308913934426229	0.5632684426229508
C27H5.3a.1	0.5686475409836066	1.0	0.4398053278688525	1.0	0.41752049180327866	0.6078381147540983	0.9554303278688524	0.9554303278688524	0.9554303278688524	0.4059938524590163	0.3073770491803278
FBtr0334991	0.664702868852459	0.4398053278688525	1.0	0.4398053278688525	0.9777151639344264	0.7548668032786885	0.4728483606557377	0.4728483606557377	0.4728483606557377	0.966188524590164	0.3793545081967213
C27H5.3a.2	0.5686475409836066	1.0	0.4398053278688525	1.0	0.41752049180327866	0.6078381147540983	0.9554303278688524	0.9554303278688524	0.9554303278688524	0.4059938524590163	0.3073770491803278
FBtr0334990	0.6424180327868853	0.41752049180327866	0.9777151639344264	0.41752049180327866	1.0	0.7771516393442623	0.4505635245901639	0.4505635245901639	0.4505635245901639	0.9884733606557377	0.3570696721311475
FBtr0334992	0.7886782786885246	0.6078381147540983	0.7548668032786885	0.6078381147540983	0.7771516393442623	1.0	0.6503586065573771	0.6503586065573771	0.6503586065573771	0.7886782786885246	0.5061475409836066
C27H5.3b.1	0.6132172131147541	0.9554303278688524	0.4728483606557377	0.9554303278688524	0.4505635245901639	0.6503586065573771	1.0	1.0	1.0	0.4390368852459017	0.3519467213114754
C27H5.3b.2	0.6132172131147541	0.9554303278688524	0.4728483606557377	0.9554303278688524	0.4505635245901639	0.6503586065573771	1.0	1.0	1.0	0.4390368852459017	0.3519467213114754
C27H5.3b.3	0.6132172131147541	0.9554303278688524	0.4728483606557377	0.9554303278688524	0.4505635245901639	0.6503586065573771	1.0	1.0	1.0	0.4390368852459017	0.3519467213114754
FBtr0074217	0.6308913934426229	0.4059938524590163	0.966188524590164	0.4059938524590163	0.9884733606557377	0.7886782786885246	0.4390368852459017	0.4390368852459017	0.4390368852459017	1.0	0.34554303278688525
ENSMMOT00000023469	0.5632684426229508	0.3073770491803278	0.3793545081967213	0.3073770491803278	0.3570696721311475	0.5061475409836066	0.3519467213114754	0.3519467213114754	0.3519467213114754	0.34554303278688525	1.0
