	C17C3.12e.1	C17C3.12d.1	C17C3.12a.1	C17C3.12a.2	C17C3.12b.1	C55B7.4b.1	C17C3.12c.1	C55B7.4b.4	C55B7.4b.5	C55B7.4b.6	C55B7.4b.7	C55B7.4a.1	C55B7.4b.2	C55B7.4b.3
C17C3.12e.1	1.0	0.8325123152709359	0.8976464148877942	0.8976464148877942	0.8522167487684729	0.4630541871921182	0.8144499178981938	0.4630541871921182	0.4630541871921182	0.4630541871921182	0.4630541871921182	0.3847837985769021	0.4630541871921182	0.4630541871921182
C17C3.12d.1	0.8325123152709359	1.0	0.7750410509031199	0.7750410509031199	0.8368910782703887	0.4116037219485496	0.6469622331691297	0.4116037219485496	0.4116037219485496	0.4116037219485496	0.4116037219485496	0.3207443897099069	0.4116037219485496	0.4116037219485496
C17C3.12a.1	0.8976464148877942	0.7750410509031199	1.0	1.0	0.7947454844006568	0.5199781061850027	0.7755883962780514	0.5199781061850027	0.5199781061850027	0.5199781061850027	0.5199781061850027	0.4241926655719759	0.5199781061850027	0.5199781061850027
C17C3.12a.2	0.8976464148877942	0.7750410509031199	1.0	1.0	0.7947454844006568	0.5199781061850027	0.7755883962780514	0.5199781061850027	0.5199781061850027	0.5199781061850027	0.5199781061850027	0.4241926655719759	0.5199781061850027	0.5199781061850027
C17C3.12b.1	0.8522167487684729	0.8368910782703887	0.7947454844006568	0.7947454844006568	1.0	0.5396825396825397	0.6666666666666666	0.5396825396825397	0.5396825396825397	0.5396825396825397	0.5396825396825397	0.4488232074438971	0.5396825396825397	0.5396825396825397
C55B7.4b.1	0.4630541871921182	0.4116037219485496	0.5199781061850027	0.5199781061850027	0.5396825396825397	1.0	0.33607006020799124	1.0	1.0	1.0	1.0	0.662287903667214	1.0	1.0
C17C3.12c.1	0.8144499178981938	0.6469622331691297	0.7755883962780514	0.7755883962780514	0.6666666666666666	0.33607006020799124	1.0	0.33607006020799124	0.33607006020799124	0.33607006020799124	0.33607006020799124	0.5205254515599343	0.33607006020799124	0.33607006020799124
C55B7.4b.4	0.4630541871921182	0.4116037219485496	0.5199781061850027	0.5199781061850027	0.5396825396825397	1.0	0.33607006020799124	1.0	1.0	1.0	1.0	0.662287903667214	1.0	1.0
C55B7.4b.5	0.4630541871921182	0.4116037219485496	0.5199781061850027	0.5199781061850027	0.5396825396825397	1.0	0.33607006020799124	1.0	1.0	1.0	1.0	0.662287903667214	1.0	1.0
C55B7.4b.6	0.4630541871921182	0.4116037219485496	0.5199781061850027	0.5199781061850027	0.5396825396825397	1.0	0.33607006020799124	1.0	1.0	1.0	1.0	0.662287903667214	1.0	1.0
C55B7.4b.7	0.4630541871921182	0.4116037219485496	0.5199781061850027	0.5199781061850027	0.5396825396825397	1.0	0.33607006020799124	1.0	1.0	1.0	1.0	0.662287903667214	1.0	1.0
C55B7.4a.1	0.3847837985769021	0.3207443897099069	0.4241926655719759	0.4241926655719759	0.4488232074438971	0.662287903667214	0.5205254515599343	0.662287903667214	0.662287903667214	0.662287903667214	0.662287903667214	1.0	0.662287903667214	0.662287903667214
C55B7.4b.2	0.4630541871921182	0.4116037219485496	0.5199781061850027	0.5199781061850027	0.5396825396825397	1.0	0.33607006020799124	1.0	1.0	1.0	1.0	0.662287903667214	1.0	1.0
C55B7.4b.3	0.4630541871921182	0.4116037219485496	0.5199781061850027	0.5199781061850027	0.5396825396825397	1.0	0.33607006020799124	1.0	1.0	1.0	1.0	0.662287903667214	1.0	1.0
