	ENSAMXT00000044466	ENSAMXT00000055969	ENSCMIT00000012620	ENSIPUT00000032251	ENSAMXT00000047487	ENSIPUT00000032262	ENSEEET00000015216	ENSEEET00000015214	ENSEEET00000015212	ENSEEET00000015211
ENSAMXT00000044466	1.0	0.6920289855072463	0.5597826086956522	0.8743961352657005	0.9855072463768116	0.8369565217391305	0.6485507246376812	0.7566425120772947	0.8562801932367149	0.8556763285024155
ENSAMXT00000055969	0.6920289855072463	1.0	0.5597826086956522	0.591183574879227	0.677536231884058	0.553743961352657	0.4082125603864735	0.4758454106280193	0.5754830917874396	0.5748792270531401
ENSCMIT00000012620	0.5597826086956522	0.5597826086956522	1.0	0.5392512077294686	0.5742753623188406	0.5374396135265701	0.5905797101449275	0.4758454106280193	0.538647342995169	0.5543478260869565
ENSIPUT00000032251	0.8743961352657005	0.591183574879227	0.5392512077294686	1.0	0.8611111111111112	0.9583333333333334	0.6539855072463768	0.7506038647342995	0.8562801932367149	0.855072463768116
ENSAMXT00000047487	0.9855072463768116	0.677536231884058	0.5742753623188406	0.8611111111111112	1.0	0.8514492753623188	0.6630434782608695	0.7711352657004831	0.8435990338164251	0.8701690821256038
ENSIPUT00000032262	0.8369565217391305	0.553743961352657	0.5374396135265701	0.9583333333333334	0.8514492753623188	1.0	0.6473429951690821	0.75	0.8285024154589372	0.8460144927536232
ENSEEET00000015216	0.6485507246376812	0.4082125603864735	0.5905797101449275	0.6539855072463768	0.6630434782608695	0.6473429951690821	1.0	0.6557971014492754	0.7373188405797102	0.7663043478260869
ENSEEET00000015214	0.7566425120772947	0.4758454106280193	0.4758454106280193	0.7506038647342995	0.7711352657004831	0.75	0.6557971014492754	1.0	0.8822463768115942	0.8786231884057971
ENSEEET00000015212	0.8562801932367149	0.5754830917874396	0.538647342995169	0.8562801932367149	0.8435990338164251	0.8285024154589372	0.7373188405797102	0.8822463768115942	1.0	0.9673913043478259
ENSEEET00000015211	0.8556763285024155	0.5748792270531401	0.5543478260869565	0.855072463768116	0.8701690821256038	0.8460144927536232	0.7663043478260869	0.8786231884057971	0.9673913043478259	1.0
