,ENSSCAT00000001589,ENSSCAT00000000792,ENSSCAT00000000924,ENSSCAT00000002819,ENSSCAT00000000504,ENSSCAT00000003141,ENSSCAT00000001680,ENSSCAT00000002553,ENSSCAT00000001546,ENSSCAT00000002876,ENSSCAT00000001676,ENSSCAT00000002870,ENSSCAT00000000801,ENSSCAT00000012387,ENSSCAT00000000776,ENSSCAT00000003482,ENSSCAT00000001557,ENSSCAT00000001028,ENSSCAT00000000628,ENSSCAT00000003486
ENSSCAT00000001589,1.0,1.0,1.0,1.0,1.0,0.9973821989528796,1.0,1.0,1.0,0.9973821989528796,1.0,1.0,1.0,0.9633507853403142,1.0,1.0,1.0,1.0,0.8350785340314136,0.9685863874345549
ENSSCAT00000000792,1.0,1.0,1.0,1.0,1.0,0.9973821989528796,1.0,1.0,1.0,0.9973821989528796,1.0,1.0,1.0,0.9633507853403142,1.0,1.0,1.0,1.0,0.8350785340314136,0.9685863874345549
ENSSCAT00000000924,1.0,1.0,1.0,1.0,1.0,0.9973821989528796,1.0,1.0,1.0,0.9973821989528796,1.0,1.0,1.0,0.9633507853403142,1.0,1.0,1.0,1.0,0.8350785340314136,0.9685863874345549
ENSSCAT00000002819,1.0,1.0,1.0,1.0,1.0,0.9973821989528796,1.0,1.0,1.0,0.9973821989528796,1.0,1.0,1.0,0.9633507853403142,1.0,1.0,1.0,1.0,0.8350785340314136,0.9685863874345549
ENSSCAT00000000504,1.0,1.0,1.0,1.0,1.0,0.9973821989528796,1.0,1.0,1.0,0.9973821989528796,1.0,1.0,1.0,0.9633507853403142,1.0,1.0,1.0,1.0,0.8350785340314136,0.9685863874345549
ENSSCAT00000003141,0.9973821989528796,0.9973821989528796,0.9973821989528796,0.9973821989528796,0.9973821989528796,1.0,0.9973821989528796,0.9973821989528796,0.9973821989528796,0.9947643979057592,0.9973821989528796,0.9973821989528796,0.9973821989528796,0.9607329842931938,0.9973821989528796,0.9973821989528796,0.9973821989528796,0.9973821989528796,0.8324607329842932,0.9659685863874345
ENSSCAT00000001680,1.0,1.0,1.0,1.0,1.0,0.9973821989528796,1.0,1.0,1.0,0.9973821989528796,1.0,1.0,1.0,0.9633507853403142,1.0,1.0,1.0,1.0,0.8350785340314136,0.9685863874345549
ENSSCAT00000002553,1.0,1.0,1.0,1.0,1.0,0.9973821989528796,1.0,1.0,1.0,0.9973821989528796,1.0,1.0,1.0,0.9633507853403142,1.0,1.0,1.0,1.0,0.8350785340314136,0.9685863874345549
ENSSCAT00000001546,1.0,1.0,1.0,1.0,1.0,0.9973821989528796,1.0,1.0,1.0,0.9973821989528796,1.0,1.0,1.0,0.9633507853403142,1.0,1.0,1.0,1.0,0.8350785340314136,0.9685863874345549
ENSSCAT00000002876,0.9973821989528796,0.9973821989528796,0.9973821989528796,0.9973821989528796,0.9973821989528796,0.9947643979057592,0.9973821989528796,0.9973821989528796,0.9973821989528796,1.0,0.9973821989528796,0.9973821989528796,0.9973821989528796,0.9607329842931938,0.9973821989528796,0.9973821989528796,0.9973821989528796,0.9973821989528796,0.8324607329842932,0.9659685863874345
ENSSCAT00000001676,1.0,1.0,1.0,1.0,1.0,0.9973821989528796,1.0,1.0,1.0,0.9973821989528796,1.0,1.0,1.0,0.9633507853403142,1.0,1.0,1.0,1.0,0.8350785340314136,0.9685863874345549
