	ENSMFAT00000004638	ENSPTRT00000087138	ENSRROT00000032550	ENSPTRT00000085142	ENSNLET00000045344	ENSMNET00000057303	ENSGGOT00000032013	ENSNLET00000045139	ENSPPAT00000014856	ENSGGOT00000054446	ENSPPAT00000036263
ENSMFAT00000004638	1.0	0.8926380368098159	0.8946830265848671	0.8558282208588958	0.9693251533742332	1.0	0.9621676891615542	0.9427402862985684	0.8926380368098159	0.9611451942740288	0.950920245398773
ENSPTRT00000087138	0.8926380368098159	1.0	0.9192229038854806	0.8926380368098159	0.8905930470347648	0.8926380368098159	0.8926380368098159	0.8783231083844579	1.0	0.8803680981595092	0.8701431492842536
ENSRROT00000032550	0.8946830265848671	0.9192229038854806	1.0	0.9049079754601228	0.8946830265848671	0.8946830265848671	0.8946830265848671	0.9294478527607362	0.9192229038854806	0.8834355828220859	0.876278118609407
ENSPTRT00000085142	0.8558282208588958	0.8926380368098159	0.9049079754601228	1.0	0.8558282208588958	0.8558282208588958	0.8537832310838446	0.8711656441717791	0.8926380368098159	0.8527607361963192	0.8680981595092024
ENSNLET00000045344	0.9693251533742332	0.8905930470347648	0.8946830265848671	0.8558282208588958	1.0	0.9693251533742332	0.9642126789366052	0.9427402862985684	0.8905930470347648	0.9672801635991821	0.9560327198364008
ENSMNET00000057303	1.0	0.8926380368098159	0.8946830265848671	0.8558282208588958	0.9693251533742332	1.0	0.9621676891615542	0.9427402862985684	0.8926380368098159	0.9611451942740288	0.950920245398773
ENSGGOT00000032013	0.9621676891615542	0.8926380368098159	0.8946830265848671	0.8537832310838446	0.9642126789366052	0.9621676891615542	1.0	0.9366053169734152	0.8926380368098159	0.9591002044989776	0.948875255623722
ENSNLET00000045139	0.9427402862985684	0.8783231083844579	0.9294478527607362	0.8711656441717791	0.9427402862985684	0.9427402862985684	0.9366053169734152	1.0	0.8783231083844579	0.9325153374233128	0.9222903885480572
ENSPPAT00000014856	0.8926380368098159	1.0	0.9192229038854806	0.8926380368098159	0.8905930470347648	0.8926380368098159	0.8926380368098159	0.8783231083844579	1.0	0.8803680981595092	0.8701431492842536
ENSGGOT00000054446	0.9611451942740288	0.8803680981595092	0.8834355828220859	0.8527607361963192	0.9672801635991821	0.9611451942740288	0.9591002044989776	0.9325153374233128	0.8803680981595092	1.0	0.9836400817995908
ENSPPAT00000036263	0.950920245398773	0.8701431492842536	0.876278118609407	0.8680981595092024	0.9560327198364008	0.950920245398773	0.948875255623722	0.9222903885480572	0.8701431492842536	0.9836400817995908	1.0
