	T25E12.13.1	F08H9.12.1	C18D4.9.1	F14F8.13.1	Y102A5C.33.1	F14F8.12.1	B0205.2b.1	B0205.2a.1	F14F8.4.1	Y68A4A.6.1	Y6G8.4.1	F49H6.11.1	T25E12.11.1
T25E12.13.1	1.0	0.6006364359586317	0.5624502784407319	0.6825775656324582	0.6443914081145584	0.6897374701670644	0.5385839299920445	0.4120922832140016	0.6260938743038982	0.6634844868735084	0.5417661097852029	0.6292760540970564	0.8902147971360382
F08H9.12.1	0.6006364359586317	1.0	0.5218774860779634	0.6077963404932378	0.5863166268894192	0.6046141607000796	0.4725536992840096	0.3532219570405728	0.5751789976133651	0.5839299920445505	0.5019888623707239	0.568019093078759	0.6117740652346858
C18D4.9.1	0.5624502784407319	0.5218774860779634	1.0	0.5918854415274463	0.5783611774065235	0.6014319809069213	0.5274463007159904	0.4136833731105807	0.5608591885441527	0.5712012728719172	0.7430389817024662	0.5656324582338902	0.5672235481304694
F14F8.13.1	0.6825775656324582	0.6077963404932378	0.5918854415274463	1.0	0.6762132060461417	0.8838504375497216	0.5401750198886237	0.4160700079554495	0.6801909307875895	0.6690533015115354	0.5704057279236276	0.6722354813046937	0.684964200477327
Y102A5C.33.1	0.6443914081145584	0.5863166268894192	0.5783611774065235	0.6762132060461417	1.0	0.6738265712012729	0.5354017501988863	0.4136833731105807	0.6372315035799523	0.6443914081145584	0.5576770087509945	0.7891805887032617	0.6523468575974543
F14F8.12.1	0.6897374701670644	0.6046141607000796	0.6014319809069213	0.8838504375497216	0.6738265712012729	1.0	0.5592680986475735	0.4343675417661098	0.6714399363564041	0.6682577565632458	0.5783611774065235	0.6579156722354813	0.6929196499602227
B0205.2b.1	0.5385839299920445	0.4725536992840096	0.5274463007159904	0.5401750198886237	0.5354017501988863	0.5592680986475735	1.0	0.8162291169451074	0.5250596658711217	0.5186953062848051	0.5210819411296739	0.5178997613365155	0.5338106603023071
B0205.2a.1	0.4120922832140016	0.3532219570405728	0.4136833731105807	0.4160700079554495	0.4136833731105807	0.4343675417661098	0.8162291169451074	1.0	0.4128878281622912	0.4001591089896579	0.40493237867939547	0.3993635640413684	0.4105011933174224
F14F8.4.1	0.6260938743038982	0.5751789976133651	0.5608591885441527	0.6801909307875895	0.6372315035799523	0.6714399363564041	0.5250596658711217	0.4128878281622912	1.0	0.6467780429594272	0.5385839299920445	0.6268894192521878	0.6324582338902148
Y68A4A.6.1	0.6634844868735084	0.5839299920445505	0.5712012728719172	0.6690533015115354	0.6443914081145584	0.6682577565632458	0.5186953062848051	0.4001591089896579	0.6467780429594272	1.0	0.5560859188544153	0.6205250596658711	0.6730310262529833
Y6G8.4.1	0.5417661097852029	0.5019888623707239	0.7430389817024662	0.5704057279236276	0.5576770087509945	0.5783611774065235	0.5210819411296739	0.40493237867939547	0.5385839299920445	0.5560859188544153	1.0	0.5449482895783612	0.5481304693715194
F49H6.11.1	0.6292760540970564	0.568019093078759	0.5656324582338902	0.6722354813046937	0.7891805887032617	0.6579156722354813	0.5178997613365155	0.3993635640413684	0.6268894192521878	0.6205250596658711	0.5449482895783612	1.0	0.6428003182179793
T25E12.11.1	0.8902147971360382	0.6117740652346858	0.5672235481304694	0.684964200477327	0.6523468575974543	0.6929196499602227	0.5338106603023071	0.4105011933174224	0.6324582338902148	0.6730310262529833	0.5481304693715194	0.6428003182179793	1.0
