	ENSBSLT00000062725	ENSKMAT00000028762	ENSMALT00000015322	ENSAPOT00000009346	ENSATET00000009087	ENSAOCT00000001038	ENSMAMT00000025006	ENSAPET00000023447	ENSSPAT00000019989	ENSPRNT00000011519
ENSBSLT00000062725	1.0	0.7262124002455494	0.7986494782074892	0.7532228360957642	0.8287292817679558	0.7575199508901166	0.7974217311233885	0.7544505831798649	0.15039901780233267	0.7470841006752609
ENSKMAT00000028762	0.7262124002455494	1.0	0.7753222836095764	0.7759361571516268	0.7421731123388582	0.7857581338244322	0.7495395948434622	0.7875997544505832	0.1982811540822591	0.7550644567219152
ENSMALT00000015322	0.7986494782074892	0.7753222836095764	1.0	0.7925107427869859	0.8379373848987108	0.8023327194597912	0.8465316144874155	0.8004910988336402	0.17249846531614488	0.7968078575813382
ENSAPOT00000009346	0.7532228360957642	0.7759361571516268	0.7925107427869859	1.0	0.7740945365254758	0.9496623695518724	0.7722529158993248	0.9472068753836709	0.2068753836709638	0.7587476979742173
ENSATET00000009087	0.8287292817679558	0.7421731123388582	0.8379373848987108	0.7740945365254758	1.0	0.7820748925721301	0.8557397176181707	0.7783916513198281	0.1559238796807858	0.7790055248618785
ENSAOCT00000001038	0.7575199508901166	0.7857581338244322	0.8023327194597912	0.9496623695518724	0.7820748925721301	1.0	0.7845303867403315	0.992633517495396	0.2117863720073665	0.7790055248618785
ENSMAMT00000025006	0.7974217311233885	0.7495395948434622	0.8465316144874155	0.7722529158993248	0.8557397176181707	0.7845303867403315	1.0	0.7882136279926335	0.1473296500920811	0.7845303867403315
ENSAPET00000023447	0.7544505831798649	0.7875997544505832	0.8004910988336402	0.9472068753836709	0.7783916513198281	0.992633517495396	0.7882136279926335	1.0	0.2099447513812155	0.7771639042357275
ENSSPAT00000019989	0.15039901780233267	0.1982811540822591	0.17249846531614488	0.2068753836709638	0.1559238796807858	0.2117863720073665	0.1473296500920811	0.2099447513812155	1.0	0.1712707182320442
ENSPRNT00000011519	0.7470841006752609	0.7550644567219152	0.7968078575813382	0.7587476979742173	0.7790055248618785	0.7790055248618785	0.7845303867403315	0.7771639042357275	0.1712707182320442	1.0
