,ENSCHAT00000041571,ENSIPUT00000028375,ENSBSLT00000053371,ENSSFOT00015010660,ENSSMAT00000017085,ENSEEET00000003155,ENSAPOT00000029149,ENSAPET00000011480,ENSPKIT00000029325,ENSAOCT00000004295
ENSCHAT00000041571,1.0,0.7543859649122807,0.7309941520467836,0.7719298245614035,0.7894736842105263,0.7543859649122807,0.7543859649122807,0.7251461988304093,0.783625730994152,0.7251461988304093
ENSIPUT00000028375,0.7543859649122807,1.0,0.8187134502923976,0.7953216374269005,0.8070175438596491,0.7777777777777778,0.8654970760233918,0.8713450292397661,0.7309941520467836,0.8713450292397661
ENSBSLT00000053371,0.7309941520467836,0.8187134502923976,1.0,0.7777777777777778,0.8654970760233918,0.7485380116959064,0.8070175438596491,0.8304093567251462,0.6900584795321637,0.8304093567251462
ENSSFOT00015010660,0.7719298245614035,0.7953216374269005,0.7777777777777778,1.0,0.8421052631578947,0.7602339181286549,0.7660818713450293,0.7660818713450293,0.8070175438596491,0.7660818713450293
ENSSMAT00000017085,0.7894736842105263,0.8070175438596491,0.8654970760233918,0.8421052631578947,1.0,0.7602339181286549,0.783625730994152,0.8128654970760234,0.7368421052631579,0.8128654970760234
ENSEEET00000003155,0.7543859649122807,0.7777777777777778,0.7485380116959064,0.7602339181286549,0.7602339181286549,1.0,0.8128654970760234,0.8011695906432749,0.6842105263157895,0.8011695906432749
ENSAPOT00000029149,0.7543859649122807,0.8654970760233918,0.8070175438596491,0.7660818713450293,0.783625730994152,0.8128654970760234,1.0,0.9649122807017544,0.7251461988304093,0.9649122807017544
ENSAPET00000011480,0.7251461988304093,0.8713450292397661,0.8304093567251462,0.7660818713450293,0.8128654970760234,0.8011695906432749,0.9649122807017544,1.0,0.7192982456140351,1.0
ENSPKIT00000029325,0.783625730994152,0.7309941520467836,0.6900584795321637,0.8070175438596491,0.7368421052631579,0.6842105263157895,0.7251461988304093,0.7192982456140351,1.0,0.7192982456140351
ENSAOCT00000004295,0.7251461988304093,0.8713450292397661,0.8304093567251462,0.7660818713450293,0.8128654970760234,0.8011695906432749,0.9649122807017544,1.0,0.7192982456140351,1.0
