,K10D11.2.1,F55G11.6.1,F55G11.4.1,F55G11.5a.1,K10D11.4.1,K10D11.1.1,C32H11.10.1,K08D8.4d.1,C32H11.13.1,K08D8.4b.1,K08D8.4b.2,F17C11.11a.1,ZK896.1.1,K08D8.3.1,K10D11.3c.1,K08D8.5.1,K10D11.5.1,T05E12.6a.1,C32H11.3.1,K08D8.6a.1,T19C9.8.1,C29F3.7b.1,ZK1037.6.1,F55C9.6.1,C32H11.12.1,F17C11.11b.1,C45B11.6.1,ZK896.4.1,K10D11.3a.1,ENSCABT00000029595,K10D11.3b.1,C32H11.1a.1,F55G11.8.1,T05E12.6b.1,F55G11.5b.1,ENSGAGT00000027995,C32H11.1b.1,ZK896.5.2,ZK896.5.1,K08D8.4a.2,F55G11.7.2,K08D8.4a.1,K08D8.6b.1,F55G11.7.1,ENSPNAT00000002131,C32H11.4.1,K10D11.6.1,F55G11.2.1,C49G7.13.1,C29F3.7a.1,K08D8.4c.1,C32H11.9.1
K10D11.2.1,1.0,0.952755905511811,0.9546739349888956,0.9729456894811226,0.7718554411467797,0.952755905511811,0.8338380779325661,0.8052695336159903,0.9537653947102765,0.8276801938219261,0.8276801938219261,0.8110236220472441,0.8520088835049465,0.8174843529174238,0.8335352311730264,0.8567534827377347,0.7529779931354734,0.7569150010094892,0.9479103573591763,0.8488794669897032,0.7911366848374722,0.7638804764789017,0.7544922269331719,0.8940036341611145,0.8348475671310317,0.8225317989097517,0.7580254391278013,0.8495861094286291,0.8100141328487785,0.7856854431657582,0.8071875630930749,0.8052695336159903,0.9534625479507369,0.8644256006460731,0.9663840096910963,0.7798304058146578,0.821320411871593,0.8501918029477085,0.8501918029477085,0.7949727437916414,0.9531597011911973,0.7949727437916414,0.8518069856652534,0.9531597011911973,0.8382798304058147,0.9474056127599435,0.8150615788411064,0.9543710882293559,0.9514435695538058,0.7535836866545528,0.8143549364021805,0.8314153038562487
F55G11.6.1,0.952755905511811,1.0,0.9744599232788209,0.9540682414698163,0.7726630325055522,0.9726428427215829,0.8346456692913385,0.8059761760549162,0.9635574399353927,0.828386836260852,0.828386836260852,0.8110236220472441,0.8506965475469412,0.8188976377952756,0.8319200484554815,0.85806581869574,0.75307894205532,0.7570159499293357,0.9512416717141127,0.848475671310317,0.7920452251160912,0.7642842721582879,0.7541893801736321,0.8942055320008075,0.8350494649707249,0.8225317989097517,0.7580254391278013,0.8489804159095498,0.8071875630930749,0.7853825964062184,0.8043609933373713,0.807389460932768,0.9757722592368262,0.8645265495659197,0.9461942257217848,0.7795275590551181,0.8234403391883707,0.8508984453866344,0.8508984453866344,0.7956793862305673,0.9843529174237836,0.7956793862305673,0.851201292146174,0.9843529174237836,0.8382798304058147,0.952554007672118,0.81173026448617,0.9735513830002019,0.9782959822329901,0.753987482333939,0.8150615788411064,0.8322228952150212
F55G11.4.1,0.9546739349888956,0.9744599232788209,1.0,0.9539672925499697,0.7716535433070866,0.9739551786795881,0.8330304865737936,0.8058752271350696,0.9622451039773875,0.8282858873410055,0.8282858873410055,0.8107207752877045,0.8526145770240259,0.8180900464365032,0.8324247930547143,0.8568544316575812,0.7525741974560872,0.7570159499293357,0.9513426206339592,0.849384211588936,0.7917423783565516,0.7640823743185948,0.753987482333939,0.8942055320008075,0.8342418736119523,0.822228952150212,0.7577225923682617,0.8492832626690895,0.8080961033716939,0.7855844942459116,0.8049666868564507,0.80557238037553,0.9767817484352918,0.8645265495659197,0.9464970724813244,0.7797294568948112,0.8216232586311326,0.851201292146174,0.851201292146174,0.7955784373107208,0.9754694124772865,0.7955784373107208,0.8520088835049465,0.9754694124772865,0.8379769836462749,0.9510397738744195,0.8128407026044822,0.9794064203513022,0.9729456894811226,0.7537855844942459,0.8155663234403392,0.8306077124974762
F55G11.5a.1,0.9729456894811226,0.9540682414698163,0.9539672925499697,1.0,0.7703412073490814,0.9535634968705835,0.8328285887341006,0.8059761760549162,0.9547748839087422,0.828386836260852,0.828386836260852,0.8104179285281647,0.8516050878255602,0.8172824550777307,0.833636180092873,0.8570563294972744,0.7514637593377751,0.7563093074904098,0.9487179487179487,0.8470623864324651,0.7908338380779326,0.7631738340399757,0.7525741974560872,0.8924894003634161,0.8346456692913385,0.8219261053906723,0.7574197456087219,0.8482737734706238,0.809913183928932,0.7859882899252978,0.8069856652533818,0.8061780738946094,0.9544720371492025,0.8638199071269937,0.9872804360993337,0.7801332525741974,0.822228952150212,0.8487785180698566,0.8487785180698566,0.7956793862305673,0.9546739349888956,0.7956793862305673,0.8505955986270947,0.9546739349888956,0.8376741368867353,0.9469008681607107,0.8130426004441752,0.9551786795881284,0.9513426206339592,0.7528770442156268,0.8149606299212598,0.8304058146577832
K10D11.4.1,0.7718554411467797,0.7726630325055522,0.7716535433070866,0.7703412073490814,1.0,0.7715525943872401,0.7844740561275995,0.7374318594791036,0.7724611346658591,0.7620633959216636,0.7620633959216636,0.8072885120129215,0.7667070462346053,0.7368261659600243,0.7270341207349081,0.775893397940642,0.8239450837876034,0.8335352311730264,0.7714516454673935,0.7638804764789017,0.8308096103371694,0.8195033313143549,0.8267716535433071,0.8311124570967091,0.7844740561275995,0.8183928931960428,0.735513830002019,0.7672117908338381,0.7578235412881082,0.7310720775287705,0.7315768221280032,0.7375328083989501,0.7720573389864729,0.8492832626690895,0.7762971936200282,0.7252170401776701,0.7372299616394105,0.7666060973147587,0.7666060973147587,0.729355945891379,0.7715525943872401,0.729355945891379,0.7994144962648899,0.7715525943872401,0.8180900464365032,0.7712497476277004,0.7585301837270341,0.7720573389864729,0.7714516454673935,0.8223299010700585,0.7458106198263679,0.782051282051282
K10D11.1.1,0.952755905511811,0.9726428427215829,0.9739551786795881,0.9535634968705835,0.7715525943872401,1.0,0.8335352311730264,0.8046638400969109,0.9624470018170805,0.8270745003028468,0.8270745003028468,0.8107207752877045,0.8522107813446396,0.818594791035736,0.8329295376539471,0.8569553805774278,0.7528770442156268,0.7567131031697961,0.9486169997981022,0.8478699777912376,0.7917423783565516,0.7638804764789017,0.753987482333939,0.8940036341611145,0.8340399757722592,0.822228952150212,0.7577225923682617,0.8500908540278619,0.8080961033716939,0.785483545326065,0.8054714314556835,0.8053704825358369,0.9734504340803554,0.86422370280638,0.9452856854431657,0.7796285079749646,0.8214213607914396,0.8500908540278619,0.8500908540278619,0.794367050272562,0.972844740561276,0.794367050272562,0.8505955986270947,0.972844740561276,0.8379769836462749,0.9490207954774884,0.8110236220472441,0.973046638400969,0.969412477286493,0.7535836866545528,0.8143549364021805,0.8311124570967091
C32H11.10.1,0.8338380779325661,0.8346456692913385,0.8330304865737936,0.8328285887341006,0.7844740561275995,0.8335352311730264,1.0,0.8198061780738947,0.8329295376539471,0.8422168382798304,0.8422168382798304,0.8820916616192207,0.777508580658187,0.8253583686654553,0.7884110640016152,0.8743185947910357,0.8135473450434081,0.8133454472037149,0.8328285887341006,0.773167777104785,0.845951948314153,0.8236422370280638,0.8141530385624873,0.866040783363618,0.9602261255804563,0.8847163335352312,0.7516656571774682,0.7756915001009489,0.7508580658186957,0.7519685039370079,0.7538865334140925,0.8210175651120533,0.8343428225317989,0.8500908540278619,0.8357561074096507,0.7459115687462144,0.837068443367656,0.7759943468604886,0.7759943468604886,0.8095093882495458,0.8335352311730264,0.8095093882495458,0.8123359580052494,0.8335352311730264,0.8989501312335958,0.8328285887341006,0.7510599636583889,0.8344437714516455,0.8332323844134868,0.8133454472037149,0.8446396123561478,0.997476277003836
K08D8.4d.1,0.8052695336159903,0.8059761760549162,0.8058752271350696,0.8059761760549162,0.7374318594791036,0.8046638400969109,0.8198061780738947,1.0,0.8074904098526146,0.9569957601453665,0.9569957601453665,0.8123359580052494,0.7841712093680597,0.8956188168786594,0.82404603270745,0.9111649505350293,0.7524732485362406,0.755804562891177,0.8061780738946094,0.7808398950131233,0.7918433272763982,0.7657985059559863,0.7559055118110236,0.836159903089037,0.8212194629517464,0.8238441348677569,0.723399959620432,0.7834645669291339,0.7853825964062184,0.7337976983646275,0.7884110640016152,0.9406420351302242,0.8059761760549162,0.8040581465778316,0.8075913587724611,0.7281445588532203,0.9422572178477691,0.784575005047446,0.784575005047446,0.9897032101756511,0.8054714314556835,0.9897032101756511,0.8045628911770644,0.8054714314556835,0.8270745003028468,0.8048657379366041,0.7881082172420755,0.8053704825358369,0.8045628911770644,0.7555017161316374,0.9658792650918635,0.8174843529174238
C32H11.13.1,0.9537653947102765,0.9635574399353927,0.9622451039773875,0.9547748839087422,0.7724611346658591,0.9624470018170805,0.8329295376539471,0.8074904098526146,1.0,0.8299010700585504,0.8299010700585504,0.8116293155663235,0.8516050878255602,0.818796688875429,0.8349485160508783,0.8585705632949727,0.7540884312537856,0.7571168988491823,0.9511407227942661,0.8491823137492429,0.7924490207954775,0.7634766807995155,0.7542903290934787,0.8934988895618817,0.8328285887341006,0.823137492428831,0.7586311326468806,0.8495861094286291,0.8097112860892388,0.7864930345245306,0.807389460932768,0.8070866141732284,0.9631536442560065,0.8646274984857663,0.9473046638400969,0.7806379971734303,0.823137492428831,0.8500908540278619,0.8500908540278619,0.7971936200282657,0.9622451039773875,0.7971936200282657,0.8520088835049465,0.9622451039773875,0.838885523924894,0.9508378760347265,0.8132444982838684,0.9604280234201494,0.9600242277407631,0.7531798909751666,0.8163739147991117,0.8305067635776298
K08D8.4b.1,0.8276801938219261,0.828386836260852,0.8282858873410055,0.828386836260852,0.7620633959216636,0.8270745003028468,0.8422168382798304,0.9569957601453665,0.8299010700585504,1.0,1.0,0.8385826771653543,0.7702402584292348,0.8729053099131839,0.8113264688067837,0.908035534019786,0.7748839087421765,0.7783161720169595,0.8285887341005451,0.7667070462346053,0.8144558853220271,0.7888148596810014,0.779325661215425,0.8585705632949727,0.8436301231576823,0.8500908540278619,0.7458106198263679,0.7690288713910761,0.7726630325055522,0.7695336159903089,0.7756915001009489,0.9102564102564102,0.828386836260852,0.8264688067837674,0.830002018978397,0.7639814253987482,0.9101554613365637,0.7710478497880072,0.7710478497880072,0.9672925499697154,0.8278820916616192,0.9672925499697154,0.7904300423985463,0.8278820916616192,0.8494851605087825,0.8272763981425398,0.7755905511811023,0.8277811427417726,0.8269735513830002,0.7785180698566525,0.92287502523723,0.8398950131233596
