,ENST00000504904,ENSPPAT00000060025,ENSPTRT00000093418,ENSGGOT00000049750,ENST00000591790,ENSPTRT00000021499,ENSGGOT00000000340,ENST00000292069,ENST00000587555,ENST00000589946
ENST00000504904,1.0,0.9933808553971487,0.12881873727087578,0.12881873727087578,0.12881873727087578,0.9933808553971487,0.9928716904276986,1.0,0.3080448065173116,0.19501018329938902
ENSPPAT00000060025,0.9933808553971487,1.0,0.1318737270875764,0.1318737270875764,0.1318737270875764,0.9989816700610998,0.9913441955193483,0.9933808553971487,0.310081466395112,0.19806517311608962
ENSPTRT00000093418,0.12881873727087578,0.1318737270875764,1.0,0.9989816700610998,0.9989816700610998,0.1318737270875764,0.12881873727087578,0.12881873727087578,0.8207739307535642,0.9327902240325866
ENSGGOT00000049750,0.12881873727087578,0.1318737270875764,0.9989816700610998,1.0,0.9979633401221996,0.1318737270875764,0.12881873727087578,0.12881873727087578,0.8207739307535642,0.9327902240325866
ENST00000591790,0.12881873727087578,0.1318737270875764,0.9989816700610998,0.9979633401221996,1.0,0.1318737270875764,0.12881873727087578,0.12881873727087578,0.8207739307535642,0.9327902240325866
ENSPTRT00000021499,0.9933808553971487,0.9989816700610998,0.1318737270875764,0.1318737270875764,0.1318737270875764,1.0,0.9913441955193483,0.9933808553971487,0.3105906313645621,0.19806517311608962
ENSGGOT00000000340,0.9928716904276986,0.9913441955193483,0.12881873727087578,0.12881873727087578,0.12881873727087578,0.9913441955193483,1.0,0.9928716904276986,0.3070264765784114,0.19501018329938902
ENST00000292069,1.0,0.9933808553971487,0.12881873727087578,0.12881873727087578,0.12881873727087578,0.9933808553971487,0.9928716904276986,1.0,0.3080448065173116,0.19501018329938902
ENST00000587555,0.3080448065173116,0.310081466395112,0.8207739307535642,0.8207739307535642,0.8207739307535642,0.3105906313645621,0.3070264765784114,0.3080448065173116,1.0,0.8869653767820774
ENST00000589946,0.19501018329938902,0.19806517311608962,0.9327902240325866,0.9327902240325866,0.9327902240325866,0.19806517311608962,0.19501018329938902,0.19501018329938902,0.8869653767820774,1.0
