,Y50D4C.1a.1,Y50D4C.1e.1,FBtr0114623,FBtr0100176,FBtr0086584,FBtr0086582,FBtr0086583,FBtr0100174,Y50D4C.1f.1,FBtr0340450,Y50D4C.1b.1,Y50D4C.1g.1,Y50D4C.1c.1,Y50D4C.1d.1
Y50D4C.1a.1,1.0,0.8783084004602992,0.18268124280782505,0.4407364787111623,0.30868814729574223,0.4407364787111623,0.4407364787111623,0.43814729574223243,0.7764672036823935,0.4577100115074799,0.8227848101265823,0.7367663981588032,0.8348676639815881,0.9913693901035673
Y50D4C.1e.1,0.8783084004602992,1.0,0.17232451093210588,0.42779056386651315,0.29833141542002295,0.42779056386651315,0.42779056386651315,0.4252013808975834,0.8981588032220944,0.4447640966628308,0.7252589182968929,0.8584579976985041,0.7131760644418872,0.8869390103567318
FBtr0114623,0.18268124280782505,0.17232451093210588,1.0,0.7416570771001151,0.8653624856156502,0.7416570771001151,0.7416570771001151,0.7373417721518988,0.14269275028768702,0.7174913693901036,0.2033947065592635,0.13233601841196774,0.20569620253164556,0.18239355581127736
FBtr0100176,0.4407364787111623,0.42779056386651315,0.7416570771001151,1.0,0.8676639815880323,1.0,1.0,0.9956846950517837,0.3981588032220944,0.9758342922899885,0.4588607594936709,0.3878020713463751,0.4637514384349828,0.43785960874568475
FBtr0086584,0.30868814729574223,0.29833141542002295,0.8653624856156502,0.8676639815880323,1.0,0.8676639815880323,0.8676639815880323,0.870253164556962,0.2686996547756042,0.8504027617951668,0.3294016110471807,0.2583429228998849,0.33170310701956274,0.30840046029919455
FBtr0086582,0.4407364787111623,0.42779056386651315,0.7416570771001151,1.0,0.8676639815880323,1.0,1.0,0.9956846950517837,0.3981588032220944,0.9758342922899885,0.4588607594936709,0.3878020713463751,0.4637514384349828,0.43785960874568475
FBtr0086583,0.4407364787111623,0.42779056386651315,0.7416570771001151,1.0,0.8676639815880323,1.0,1.0,0.9956846950517837,0.3981588032220944,0.9758342922899885,0.4588607594936709,0.3878020713463751,0.4637514384349828,0.43785960874568475
FBtr0100174,0.43814729574223243,0.4252013808975834,0.7373417721518988,0.9956846950517837,0.870253164556962,0.9956846950517837,0.9956846950517837,1.0,0.39556962025316456,0.9801495972382048,0.45627157652474115,0.3852128883774453,0.46116225546605294,0.4352704257767549
Y50D4C.1f.1,0.7764672036823935,0.8981588032220944,0.14269275028768702,0.3981588032220944,0.2686996547756042,0.3981588032220944,0.3981588032220944,0.39556962025316456,1.0,0.4154200230149597,0.6234177215189873,0.9602991944764097,0.6113348676639816,0.7850978135788262
FBtr0340450,0.4577100115074799,0.4447640966628308,0.7174913693901036,0.9758342922899885,0.8504027617951668,0.9758342922899885,0.9758342922899885,0.9801495972382048,0.4154200230149597,1.0,0.4758342922899885,0.40506329113924044,0.4807249712313004,0.4548331415420024
Y50D4C.1b.1,0.8227848101265823,0.7252589182968929,0.2033947065592635,0.4588607594936709,0.3294016110471807,0.4588607594936709,0.4588607594936709,0.45627157652474115,0.6234177215189873,0.4758342922899885,1.0,0.5900460299194477,0.9879171461449943,0.8314154200230149
Y50D4C.1g.1,0.7367663981588032,0.8584579976985041,0.13233601841196774,0.3878020713463751,0.2583429228998849,0.3878020713463751,0.3878020713463751,0.3852128883774453,0.9602991944764097,0.40506329113924044,0.5900460299194477,1.0,0.5779631760644419,0.7453970080552359
Y50D4C.1c.1,0.8348676639815881,0.7131760644418872,0.20569620253164556,0.4637514384349828,0.33170310701956274,0.4637514384349828,0.4637514384349828,0.46116225546605294,0.6113348676639816,0.4807249712313004,0.9879171461449943,0.5779631760644419,1.0,0.8262370540851554
Y50D4C.1d.1,0.9913693901035673,0.8869390103567318,0.18239355581127736,0.43785960874568475,0.30840046029919455,0.43785960874568475,0.43785960874568475,0.4352704257767549,0.7850978135788262,0.4548331415420024,0.8314154200230149,0.7453970080552359,0.8262370540851554,1.0
