,ENSCINT00000018423,FBtr0345688,FBtr0076041,FBtr0076042,ENSCINT00000028566,FBtr0332816,FBtr0332817,ENSCINT00000028539,ENSCINT00000010801,FBtr0301977,H02I12.1.1,FBtr0333613,FBtr0074860,FBtr0076043
ENSCINT00000018423,1.0,0.5857027245751282,0.8446722417048826,0.7980037766387915,0.9229565686538981,0.7014297275424872,0.5857027245751282,0.9234960884812516,0.9001888319395738,0.7598597248448881,0.7226868087402212,0.7094685729700566,0.8705691934178581,0.7915295387105477
FBtr0345688,0.5857027245751282,1.0,0.6456973293768546,0.5782033989749124,0.6481791205826815,0.867439978419207,1.0,0.6420285945508497,0.6287564067979499,0.6408956029134071,0.5004585918532506,0.46058807661181556,0.665821418937146,0.6563258699757216
FBtr0076041,0.8446722417048826,0.6456973293768546,1.0,0.8415430267062315,0.9093067170218505,0.7089830051254383,0.6456973293768546,0.9018613434043701,0.8831400053951983,0.8670083625573239,0.7462098732128406,0.725168599946048,0.9176153223630968,0.8849204208254653
FBtr0076042,0.7980037766387915,0.5782033989749124,0.8415430267062315,1.0,0.8643107634205557,0.6641489074723496,0.5782033989749124,0.8570272457512813,0.8361478284326949,0.7605611006204478,0.6945778257350957,0.6803345022929592,0.8454815214459132,0.7894254113838683
ENSCINT00000028566,0.9229565686538981,0.6481791205826815,0.9093067170218505,0.8643107634205557,1.0,0.7691934178581062,0.6481791205826815,0.9764229835446453,0.9506339357971405,0.8253574318856218,0.7853790126787159,0.780361478284327,0.9366064202859455,0.8571351497167521
FBtr0332816,0.7014297275424872,0.867439978419207,0.7089830051254383,0.6641489074723496,0.7691934178581062,1.0,0.867439978419207,0.7588885891556515,0.732991637442676,0.6257890477475048,0.5797140544915026,0.5882924197464257,0.740814674939304,0.6576207175613704
FBtr0332817,0.5857027245751282,1.0,0.6456973293768546,0.5782033989749124,0.6481791205826815,0.867439978419207,1.0,0.6420285945508497,0.6287564067979499,0.6408956029134071,0.5004585918532506,0.46058807661181556,0.665821418937146,0.6563258699757216
ENSCINT00000028539,0.9234960884812516,0.6420285945508497,0.9018613434043701,0.8570272457512813,0.9764229835446453,0.7588885891556515,0.6420285945508497,1.0,0.9561370380361478,0.8181278661990828,0.7805772862152685,0.768707850013488,0.9279201510655517,0.849743728082007
ENSCINT00000010801,0.9001888319395738,0.6287564067979499,0.8831400053951983,0.8361478284326949,0.9506339357971405,0.732991637442676,0.6287564067979499,0.9561370380361478,1.0,0.8085244132721877,0.7684380900998111,0.7444294577825735,0.9065551659023469,0.8392770434313461
FBtr0301977,0.7598597248448881,0.6408956029134071,0.8670083625573239,0.7605611006204478,0.8253574318856218,0.6257890477475048,0.6408956029134071,0.8181278661990828,0.8085244132721877,1.0,0.6774210952252495,0.6419746425681144,0.8441866738602644,0.8761801996223362
H02I12.1.1,0.7226868087402212,0.5004585918532506,0.7462098732128406,0.6945778257350957,0.7853790126787159,0.5797140544915026,0.5004585918532506,0.7805772862152685,0.7684380900998111,0.6774210952252495,1.0,0.6118154842190451,0.7695171297545185,0.7044510385756677
FBtr0333613,0.7094685729700566,0.46058807661181556,0.725168599946048,0.6803345022929592,0.780361478284327,0.5882924197464257,0.46058807661181556,0.768707850013488,0.7444294577825735,0.6419746425681144,0.6118154842190451,1.0,0.7491232802805503,0.6737523603992447
FBtr0074860,0.8705691934178581,0.665821418937146,0.9176153223630968,0.8454815214459132,0.9366064202859455,0.740814674939304,0.665821418937146,0.9279201510655517,0.9065551659023469,0.8441866738602644,0.7695171297545185,0.7491232802805503,1.0,0.8792554626382519
FBtr0076043,0.7915295387105477,0.6563258699757216,0.8849204208254653,0.7894254113838683,0.8571351497167521,0.6576207175613704,0.6563258699757216,0.849743728082007,0.8392770434313461,0.8761801996223362,0.7044510385756677,0.6737523603992447,0.8792554626382519,1.0
