,ENSSMRT00000010692,ENSSMRT00000010675,ENSEBUT00000011231,ENSACAT00000030319,ENSEBUT00000026346,ENSACAT00000005416,ENSPVIT00000012520,ENSSMRT00000010680,ENSEBUT00000026333,ENSEBUT00000018189
ENSSMRT00000010692,1.0,0.9002732240437158,0.5081967213114754,0.75591985428051,0.36839708561020035,0.8287795992714025,0.7418032786885246,0.8087431693989071,0.32741347905282336,0.32149362477231325
ENSSMRT00000010675,0.9002732240437158,1.0,0.5040983606557377,0.8187613843351548,0.39116575591985425,0.8916211293260473,0.8110200364298725,0.9084699453551912,0.35018214936247727,0.3173952641165756
ENSEBUT00000011231,0.5081967213114754,0.5040983606557377,1.0,0.5182149362477231,0.48633879781420764,0.5004553734061931,0.5478142076502732,0.5532786885245902,0.44535519125683054,0.348816029143898
ENSACAT00000030319,0.75591985428051,0.8187613843351548,0.5182149362477231,1.0,0.4735883424408014,0.9180327868852459,0.7454462659380692,0.7345173041894353,0.4326047358834244,0.3979963570127505
ENSEBUT00000026346,0.36839708561020035,0.39116575591985425,0.48633879781420764,0.4735883424408014,1.0,0.3916211293260474,0.4785974499089254,0.48269581056466304,0.9590163934426229,0.4508196721311475
ENSACAT00000005416,0.8287795992714025,0.8916211293260473,0.5004553734061931,0.9180327868852459,0.3916211293260474,1.0,0.8205828779599271,0.8073770491803278,0.35063752276867033,0.3160291438979963
ENSPVIT00000012520,0.7418032786885246,0.8110200364298725,0.5478142076502732,0.7454462659380692,0.4785974499089254,0.8205828779599271,1.0,0.9025500910746812,0.4376138433515483,0.2581967213114754
ENSSMRT00000010680,0.8087431693989071,0.9084699453551912,0.5532786885245902,0.7345173041894353,0.48269581056466304,0.8073770491803278,0.9025500910746812,1.0,0.44171220400728595,0.26366120218579236
ENSEBUT00000026333,0.32741347905282336,0.35018214936247727,0.44535519125683054,0.4326047358834244,0.9590163934426229,0.35063752276867033,0.4376138433515483,0.44171220400728595,1.0,0.4098360655737705
ENSEBUT00000018189,0.32149362477231325,0.3173952641165756,0.348816029143898,0.3979963570127505,0.4508196721311475,0.3160291438979963,0.2581967213114754,0.26366120218579236,0.4098360655737705,1.0
