	ENSCINT00000022882	FBtr0073054	ENSCINT00000032956	FBtr0073058	FBtr0330104	FBtr0330103	YMR243C_mRNA	YOR316C_mRNA	FBtr0073055	FBtr0073056	FBtr0073057
ENSCINT00000022882	1.0	0.4743833017077799	0.913978494623656	0.4743833017077799	0.4743833017077799	0.4560404807084124	0.3238456672991777	0.3931056293485136	0.4743833017077799	0.4743833017077799	0.4743833017077799
FBtr0073054	0.4743833017077799	1.0	0.3908918406072106	1.0	1.0	0.9089184060721064	0.3915243516761544	0.3978494623655914	1.0	1.0	1.0
ENSCINT00000032956	0.913978494623656	0.3908918406072106	1.0	0.3908918406072106	0.3908918406072106	0.3893105629348513	0.2403542061986085	0.3500948766603416	0.3908918406072106	0.3908918406072106	0.3908918406072106
FBtr0073058	0.4743833017077799	1.0	0.3908918406072106	1.0	1.0	0.9089184060721064	0.3915243516761544	0.3978494623655914	1.0	1.0	1.0
FBtr0330104	0.4743833017077799	1.0	0.3908918406072106	1.0	1.0	0.9089184060721064	0.3915243516761544	0.3978494623655914	1.0	1.0	1.0
FBtr0330103	0.4560404807084124	0.9089184060721064	0.3893105629348513	0.9089184060721064	0.9089184060721064	1.0	0.30044275774826057	0.4063883617963314	0.9089184060721064	0.9089184060721064	0.9089184060721064
YMR243C_mRNA	0.3238456672991777	0.3915243516761544	0.2403542061986085	0.3915243516761544	0.3915243516761544	0.30044275774826057	1.0	0.6783681214421252	0.3915243516761544	0.3915243516761544	0.3915243516761544
YOR316C_mRNA	0.3931056293485136	0.3978494623655914	0.3500948766603416	0.3978494623655914	0.3978494623655914	0.4063883617963314	0.6783681214421252	1.0	0.3978494623655914	0.3978494623655914	0.3978494623655914
FBtr0073055	0.4743833017077799	1.0	0.3908918406072106	1.0	1.0	0.9089184060721064	0.3915243516761544	0.3978494623655914	1.0	1.0	1.0
FBtr0073056	0.4743833017077799	1.0	0.3908918406072106	1.0	1.0	0.9089184060721064	0.3915243516761544	0.3978494623655914	1.0	1.0	1.0
FBtr0073057	0.4743833017077799	1.0	0.3908918406072106	1.0	1.0	0.9089184060721064	0.3915243516761544	0.3978494623655914	1.0	1.0	1.0
