	ENSPCIT00000040362	ENSCCNT00000027853	ENSCCNT00000027855	ENSPCIT00000006444	ENSPCIT00000064100	ENSPCIT00000006449	ENSVURT00010019517	FBtr0339964	K08F11.3.1	K08F11.3.2	FBtr0087579	ENSSTOT00000041056	ENSMODT00000012326	ENSSHAT00000020968	ENSVURT00010019529	ENSVURT00010019505	ENSPCIT00000006438	ENSSTOT00000010505	ENSMODT00000068626
ENSPCIT00000040362	1.0	0.9237958303378864	0.9644654411009552	0.9235904282633256	0.969395090890418	0.9395090890417992	0.9286227790900689	0.9005853959124988	0.8492348772722604	0.8492348772722604	0.9005853959124988	0.9240012324124474	0.927184964568142	0.927184964568142	0.9692923898531376	0.9350929444387388	0.9287254801273492	0.964670843175516	0.9678545753312108
ENSCCNT00000027853	0.9237958303378864	1.0	0.9593303892369311	0.9820273184759166	0.9512170072917736	0.9739139365307591	0.9868542672280991	0.8660778473862586	0.8166786484543493	0.8166786484543493	0.8660778473862586	0.993119030502208	0.9873677724145014	0.9870596693026601	0.9514224093663346	0.969600492964979	0.986648865153538	0.956043956043956	0.9515251104036152
ENSCCNT00000027855	0.9644654411009552	0.9593303892369311	1.0	0.9465954606141522	0.9918866180548424	0.9384820786689946	0.9514224093663346	0.8854883434322687	0.8409160932525418	0.8409160932525418	0.8854883434322687	0.956043956043956	0.9515251104036152	0.9512170072917736	0.9920920201294032	0.9341686351032146	0.9512170072917736	0.9967135668070248	0.9921947211666838
ENSPCIT00000006444	0.9235904282633256	0.9820273184759166	0.9465954606141522	1.0	0.9540926363356271	0.9806922049912704	0.9929136284276472	0.8635103214542467	0.8207866899455685	0.8207866899455685	0.8635103214542467	0.9829516278114409	0.989627195234672	0.9898325973092328	0.9529629249255418	0.9749409469035636	0.9947622470986957	0.9469035637259936	0.9510116052172128
ENSPCIT00000064100	0.969395090890418	0.9512170072917736	0.9918866180548424	0.9540926363356271	1.0	0.945260347129506	0.9580979767895657	0.8864126527677929	0.8413268974016638	0.8413268974016638	0.8864126527677929	0.9515251104036152	0.9562493581185171	0.9562493581185171	0.9987675875526344	0.9401252952654822	0.9593303892369311	0.9921947211666838	0.9969189688815856
ENSPCIT00000006449	0.9395090890417992	0.9739139365307591	0.9384820786689946	0.9806922049912704	0.945260347129506	1.0	0.9843894423333676	0.8778884666735134	0.8159597411933861	0.8159597411933861	0.8778884666735134	0.9746328437917224	0.9814111122522338	0.9815138132895144	0.9444387388312622	0.9908596076820376	0.9859299578925748	0.9385847797062752	0.9427955222347746
ENSVURT00010019517	0.9286227790900689	0.9868542672280991	0.9514224093663346	0.9929136284276472	0.9580979767895657	0.9843894423333676	1.0	0.8675156619081853	0.8173975557153127	0.8173975557153127	0.8675156619081853	0.9876758755263428	0.9942487419122932	0.994864948135976	0.9593303892369311	0.9816165143267948	0.9980486802916708	0.9516278114408956	0.955633151894834
FBtr0339964	0.9005853959124988	0.8660778473862586	0.8854883434322687	0.8635103214542467	0.8864126527677929	0.8778884666735134	0.8675156619081853	1.0	0.822635308616617	0.822635308616617	1.0	0.8663859504981001	0.8672075587963438	0.8675156619081853	0.8867207558796344	0.8739858272568553	0.8671048577590633	0.88579644654411	0.8865153538050734
K08F11.3.1	0.8492348772722604	0.8166786484543493	0.8409160932525418	0.8207866899455685	0.8413268974016638	0.8159597411933861	0.8173975557153127	0.822635308616617	1.0	1.0	0.822635308616617	0.8166786484543493	0.8172948546780322	0.8171921536407518	0.8414295984389443	0.8115435965903256	0.8173975557153127	0.8410187942898223	0.8415322994762247
K08F11.3.2	0.8492348772722604	0.8166786484543493	0.8409160932525418	0.8207866899455685	0.8413268974016638	0.8159597411933861	0.8173975557153127	0.822635308616617	1.0	1.0	0.822635308616617	0.8166786484543493	0.8172948546780322	0.8171921536407518	0.8414295984389443	0.8115435965903256	0.8173975557153127	0.8410187942898223	0.8415322994762247
