	ENSPKIT00000042228	ENSPKIT00000041995	ENSPKIT00000042297	ENSHHUT00000028749	ENSPKIT00000042055	ENSPKIT00000042381	ENSSFOT00015000287	ENSPKIT00000042183	ENSPKIT00000042117	ENSSFOT00015000381	ENSPKIT00000041946
ENSPKIT00000042228	1.0	0.9653929343907716	0.9945926459985579	0.15753424657534246	0.9659336697909156	0.8476928622927181	0.34138428262436915	0.4338500360490267	0.9653929343907716	0.6616798846431147	0.9653929343907716
ENSPKIT00000041995	0.9653929343907716	1.0	0.9708002883922134	0.19214131218457095	0.9994592645998558	0.8812184571016582	0.3759913482335977	0.4684571016582553	1.0	0.6962869502523432	1.0
ENSPKIT00000042297	0.9945926459985579	0.9708002883922134	1.0	0.16294160057678442	0.9713410237923576	0.8531002162941601	0.34679163662581103	0.4392573900504686	0.9708002883922134	0.6670872386445565	0.9708002883922134
ENSHHUT00000028749	0.15753424657534246	0.19214131218457095	0.16294160057678442	1.0	0.19160057678442688	0.2305335255948089	0.6829488103821196	0.6988103821196827	0.19214131218457095	0.22548666186012975	0.19214131218457095
ENSPKIT00000042055	0.9659336697909156	0.9994592645998558	0.9713410237923576	0.19160057678442688	1.0	0.8817591925018025	0.3754506128334535	0.467916366258111	0.9994592645998558	0.695746214852199	0.9994592645998558
ENSPKIT00000042381	0.8476928622927181	0.8812184571016582	0.8531002162941601	0.2305335255948089	0.8817591925018025	1.0	0.3722062004325883	0.4592645998558038	0.8812184571016582	0.6438356164383562	0.8812184571016582
ENSSFOT00015000287	0.34138428262436915	0.3759913482335977	0.34679163662581103	0.6829488103821196	0.3754506128334535	0.3722062004325883	1.0	0.90591204037491	0.3759913482335977	0.4531362653208364	0.3759913482335977
ENSPKIT00000042183	0.4338500360490267	0.4684571016582553	0.4392573900504686	0.6988103821196827	0.467916366258111	0.4592645998558038	0.90591204037491	1.0	0.4684571016582553	0.3907714491708724	0.4684571016582553
ENSPKIT00000042117	0.9653929343907716	1.0	0.9708002883922134	0.19214131218457095	0.9994592645998558	0.8812184571016582	0.3759913482335977	0.4684571016582553	1.0	0.6962869502523432	1.0
ENSSFOT00015000381	0.6616798846431147	0.6962869502523432	0.6670872386445565	0.22548666186012975	0.695746214852199	0.6438356164383562	0.4531362653208364	0.3907714491708724	0.6962869502523432	1.0	0.6962869502523432
ENSPKIT00000041946	0.9653929343907716	1.0	0.9708002883922134	0.19214131218457095	0.9994592645998558	0.8812184571016582	0.3759913482335977	0.4684571016582553	1.0	0.6962869502523432	1.0
