	T01G1.1d.4	T01G1.1d.2	FBtr0302039	T01G1.1a.1	T01G1.1d.1	FBtr0331642	T01G1.1c.1	FBtr0080018	FBtr0302038	T01G1.1d.3
T01G1.1d.4	1.0	1.0	0.3192534381139489	0.3772102161100197	1.0	0.3197445972495088	0.38948919449901775	0.3192534381139489	0.3192534381139489	1.0
T01G1.1d.2	1.0	1.0	0.3192534381139489	0.3772102161100197	1.0	0.3197445972495088	0.38948919449901775	0.3192534381139489	0.3192534381139489	1.0
FBtr0302039	0.3192534381139489	0.3192534381139489	1.0	0.1686313032089064	0.3192534381139489	0.9995088408644399	0.18091028159790445	1.0	1.0	0.3192534381139489
T01G1.1a.1	0.3772102161100197	0.3772102161100197	0.1686313032089064	1.0	0.3772102161100197	0.16912246234446626	0.9877210216110021	0.1686313032089064	0.1686313032089064	0.3772102161100197
T01G1.1d.1	1.0	1.0	0.3192534381139489	0.3772102161100197	1.0	0.3197445972495088	0.38948919449901775	0.3192534381139489	0.3192534381139489	1.0
FBtr0331642	0.3197445972495088	0.3197445972495088	0.9995088408644399	0.16912246234446626	0.3197445972495088	1.0	0.18140144073346431	0.9995088408644399	0.9995088408644399	0.3197445972495088
T01G1.1c.1	0.38948919449901775	0.38948919449901775	0.18091028159790445	0.9877210216110021	0.38948919449901775	0.18140144073346431	1.0	0.18091028159790445	0.18091028159790445	0.38948919449901775
FBtr0080018	0.3192534381139489	0.3192534381139489	1.0	0.1686313032089064	0.3192534381139489	0.9995088408644399	0.18091028159790445	1.0	1.0	0.3192534381139489
FBtr0302038	0.3192534381139489	0.3192534381139489	1.0	0.1686313032089064	0.3192534381139489	0.9995088408644399	0.18091028159790445	1.0	1.0	0.3192534381139489
T01G1.1d.3	1.0	1.0	0.3192534381139489	0.3772102161100197	1.0	0.3197445972495088	0.38948919449901775	0.3192534381139489	0.3192534381139489	1.0
