	ENSMFAT00000040062	ENSPTRT00000108900	ENSTGET00000004376	ENSGGOT00000061876	ENSMNET00000029741	ENSNLET00000052285	ENSPTET00000038486	ENSCATT00000041058	ENSMLET00000006873	ENSPPAT00000051717
ENSMFAT00000040062	1.0	0.8481675392670157	0.9790575916230366	0.8062827225130892	0.9842931937172776	0.8481675392670157	0.9528795811518324	0.93717277486911	0.9685863874345548	0.7958115183246073
ENSPTRT00000108900	0.8481675392670157	1.0	0.8429319371727748	0.93717277486911	0.8429319371727748	0.9790575916230366	0.8481675392670157	0.8010471204188482	0.8324607329842932	0.9476439790575916
ENSTGET00000004376	0.9790575916230366	0.8429319371727748	1.0	0.8010471204188482	0.9842931937172776	0.8429319371727748	0.9528795811518324	0.9476439790575916	0.9790575916230366	0.7905759162303665
ENSGGOT00000061876	0.8062827225130892	0.93717277486911	0.8010471204188482	1.0	0.8010471204188482	0.93717277486911	0.8062827225130892	0.7591623036649214	0.7905759162303665	0.9895287958115184
ENSMNET00000029741	0.9842931937172776	0.8429319371727748	0.9842931937172776	0.8010471204188482	1.0	0.8429319371727748	0.9476439790575916	0.9424083769633508	0.9738219895287958	0.7905759162303665
ENSNLET00000052285	0.8481675392670157	0.9790575916230366	0.8429319371727748	0.93717277486911	0.8429319371727748	1.0	0.8586387434554974	0.8010471204188482	0.8324607329842932	0.9267015706806284
ENSPTET00000038486	0.9528795811518324	0.8481675392670157	0.9528795811518324	0.8062827225130892	0.9476439790575916	0.8586387434554974	1.0	0.9109947643979056	0.9424083769633508	0.7958115183246073
ENSCATT00000041058	0.93717277486911	0.8010471204188482	0.9476439790575916	0.7591623036649214	0.9424083769633508	0.8010471204188482	0.9109947643979056	1.0	0.93717277486911	0.7486910994764397
ENSMLET00000006873	0.9685863874345548	0.8324607329842932	0.9790575916230366	0.7905759162303665	0.9738219895287958	0.8324607329842932	0.9424083769633508	0.93717277486911	1.0	0.7801047120418848
ENSPPAT00000051717	0.7958115183246073	0.9476439790575916	0.7905759162303665	0.9895287958115184	0.7905759162303665	0.9267015706806284	0.7958115183246073	0.7486910994764397	0.7801047120418848	1.0
