	ENSPSMT00000010342	ENSPPYT00000010145	ENSOGAT00000029015	ENSPCOT00000038013	ENSGGOT00000065280	ENST00000587578	ENSPTRT00000109410	ENSPPAT00000017429	ENSMICT00000059522	ENST00000330871
ENSPSMT00000010342	1.0	0.9574155653450808	0.945668135095448	0.9838472834067548	0.9544787077826724	0.07048458149779735	0.9559471365638766	0.9559471365638766	0.97503671071953	0.9559471365638766
ENSPPYT00000010145	0.9574155653450808	1.0	0.9412628487518356	0.9544787077826724	0.9970631424375918	0.07048458149779735	0.998531571218796	0.998531571218796	0.9515418502202644	0.998531571218796
ENSOGAT00000029015	0.945668135095448	0.9412628487518356	1.0	0.9441997063142438	0.9383259911894272	0.0734214390602056	0.9397944199706314	0.9397944199706314	0.9324522760646108	0.9397944199706314
ENSPCOT00000038013	0.9838472834067548	0.9544787077826724	0.9441997063142438	1.0	0.9515418502202644	0.07048458149779735	0.9530102790014684	0.9530102790014684	0.9735682819383259	0.9530102790014684
ENSGGOT00000065280	0.9544787077826724	0.9970631424375918	0.9383259911894272	0.9515418502202644	1.0	0.07048458149779735	0.998531571218796	0.998531571218796	0.948604992657856	0.998531571218796
ENST00000587578	0.07048458149779735	0.07048458149779735	0.0734214390602056	0.07048458149779735	0.07048458149779735	1.0	0.07048458149779735	0.07048458149779735	0.06607929515418498	0.07048458149779735
ENSPTRT00000109410	0.9559471365638766	0.998531571218796	0.9397944199706314	0.9530102790014684	0.998531571218796	0.07048458149779735	1.0	1.0	0.9500734214390602	1.0
ENSPPAT00000017429	0.9559471365638766	0.998531571218796	0.9397944199706314	0.9530102790014684	0.998531571218796	0.07048458149779735	1.0	1.0	0.9500734214390602	1.0
ENSMICT00000059522	0.97503671071953	0.9515418502202644	0.9324522760646108	0.9735682819383259	0.948604992657856	0.06607929515418498	0.9500734214390602	0.9500734214390602	1.0	0.9500734214390602
ENST00000330871	0.9559471365638766	0.998531571218796	0.9397944199706314	0.9530102790014684	0.998531571218796	0.07048458149779735	1.0	1.0	0.9500734214390602	1.0
