	ENSCINT00000019440	F57C7.2b.1	FBtr0273250	FBtr0273247	FBtr0273248	YDR456W_mRNA	FBtr0333347	FBtr0333348	F57C7.2a.1	FBtr0300327
ENSCINT00000019440	1.0	0.6032469901495805	0.5601970083910981	0.5437796424662532	0.5569135352061292	0.5226194819408975	0.6023349142648668	0.55964976286027	0.5928493250638454	0.5519883254286757
F57C7.2b.1	0.6032469901495805	1.0	0.5315578256110909	0.5151404596862459	0.5282743524261219	0.3480481576067129	0.5237139730025538	0.5310105800802627	0.9786574242977016	0.5233491426486684
FBtr0273250	0.5601970083910981	0.5315578256110909	1.0	0.9726377234585918	0.9967165268150309	0.28037212696096314	0.9294053265231668	0.9885078438526086	0.5211601605253557	0.9808464064210144
FBtr0273247	0.5437796424662532	0.5151404596862459	0.9726377234585918	1.0	0.9759211966435608	0.2639547610361181	0.9195549069682598	0.9786574242977016	0.5173294418095585	0.9644290404961692
FBtr0273248	0.5569135352061292	0.5282743524261219	0.9967165268150309	0.9759211966435608	1.0	0.27708865377599423	0.9326887997081356	0.9917913170375776	0.5178766873403867	0.9775629332360452
YDR456W_mRNA	0.5226194819408975	0.3480481576067129	0.28037212696096314	0.2639547610361181	0.27708865377599423	1.0	0.3225100328347319	0.2798248814301349	0.3376504925209778	0.27216344399854075
FBtr0333347	0.6023349142648668	0.5237139730025538	0.9294053265231668	0.9195549069682598	0.9326887997081356	0.3225100328347319	1.0	0.9354250273622764	0.5133163079168187	0.9211966435607444
FBtr0333348	0.55964976286027	0.5310105800802627	0.9885078438526086	0.9786574242977016	0.9917913170375776	0.2798248814301349	0.9354250273622764	1.0	0.5206129149945276	0.980299160890186
F57C7.2a.1	0.5928493250638454	0.9786574242977016	0.5211601605253557	0.5173294418095585	0.5178766873403867	0.3376504925209778	0.5133163079168187	0.5206129149945276	1.0	0.5129514775629332
FBtr0300327	0.5519883254286757	0.5233491426486684	0.9808464064210144	0.9644290404961692	0.9775629332360452	0.27216344399854075	0.9211966435607444	0.980299160890186	0.5129514775629332	1.0
