	MGP_PahariEiJ_T0032579	MGP_SPRETEiJ_T0072088	ENSMUST00000112771	ENSMOCT00000007479	ENSMSIT00000007586	ENSMSIT00000007528	ENSRNOT00000002946	ENSMUGT00000022086	MGP_CAROLIEiJ_T0069422	ENSRNOT00000002943
MGP_PahariEiJ_T0032579	1.0	0.8796582008070258	0.8893899833847615	0.5903156895323998	0.8279136007595538	0.3847614526465701	0.8523617374792309	0.5245668169950154	0.8521243769285545	0.5105625445051033
MGP_SPRETEiJ_T0072088	0.8796582008070258	1.0	0.8967481604557322	0.5867552812722525	0.8457156420602896	0.3830999287918349	0.8253026347021125	0.5214811298362212	0.8540232613339663	0.5086636600996914
ENSMUST00000112771	0.8893899833847615	0.8967481604557322	1.0	0.5715642060289581	0.835983859482554	0.3676714929978637	0.8203180631379065	0.5065274151436031	0.8549727035366722	0.4929978637550438
ENSMOCT00000007479	0.5903156895323998	0.5867552812722525	0.5715642060289581	1.0	0.5366722050795157	0.5793971042012818	0.5521006408734869	0.7303584144315215	0.5421314977450747	0.6985521006408735
ENSMSIT00000007586	0.8279136007595538	0.8457156420602896	0.835983859482554	0.5366722050795157	1.0	0.32779492048421555	0.783289817232376	0.5072394967956325	0.8758604319962022	0.4554948967481605
ENSMSIT00000007528	0.3847614526465701	0.3830999287918349	0.3676714929978637	0.5793971042012818	0.32779492048421555	1.0	0.3555661049133634	0.5608829812485165	0.3401376691193924	0.8093994778067886
ENSRNOT00000002946	0.8523617374792309	0.8253026347021125	0.8203180631379065	0.5521006408734869	0.783289817232376	0.3555661049133634	1.0	0.487538571089485	0.8039401851412296	0.5236173747923095
ENSMUGT00000022086	0.5245668169950154	0.5214811298362212	0.5065274151436031	0.7303584144315215	0.5072394967956325	0.5608829812485165	0.487538571089485	1.0	0.4775694279610729	0.6793258960360788
MGP_CAROLIEiJ_T0069422	0.8521243769285545	0.8540232613339663	0.8549727035366722	0.5421314977450747	0.8758604319962022	0.3401376691193924	0.8039401851412296	0.4775694279610729	1.0	0.4645145976738666
ENSRNOT00000002943	0.5105625445051033	0.5086636600996914	0.4929978637550438	0.6985521006408735	0.4554948967481605	0.8093994778067886	0.5236173747923095	0.6793258960360788	0.4645145976738666	1.0
