	ENSLACT00000006541	Y39B6A.39a.1	Y39B6A.39b.1	ENSAMXT00000015574	ENSDCDT00000064275	ENSXETT00000046843	ENSCHAT00000023051	FBtr0301626	ENSEBUT00000011186	ENSEBUT00000011195
ENSLACT00000006541	1.0	0.9444277380164792	0.940157575028568	0.9527876345702772	0.9580200878089854	0.9592229506224816	0.9574787995429122	0.9499007638178866	0.9503217658026102	0.9486979010043904
Y39B6A.39a.1	0.9444277380164792	1.0	0.9613881036867744	0.9484573284416912	0.9536897816803992	0.9501413363805858	0.9543513562278222	0.9548325013532206	0.9348048355085102	0.9408792927166656
Y39B6A.39b.1	0.940157575028568	0.9613881036867744	1.0	0.9443675948758044	0.9498406206772118	0.949118902989114	0.9491790461297888	0.9477957538942684	0.9489384735670896	0.9550129307752452
ENSAMXT00000015574	0.9527876345702772	0.9484573284416912	0.9443675948758044	1.0	0.9758224574487281	0.9646358332832141	0.97522102604198	0.9586215192157336	0.9421422986708364	0.9495399049738378
ENSDCDT00000064275	0.9580200878089854	0.9536897816803992	0.9498406206772118	0.9758224574487281	1.0	0.9706501473506948	0.9831599206110544	0.9627713959222952	0.9465327479400976	0.9536296385397244
ENSXETT00000046843	0.9592229506224816	0.9501413363805858	0.949118902989114	0.9646358332832141	0.9706501473506948	1.0	0.9690262825524748	0.9609671017020508	0.9423828712335358	0.9491790461297888
ENSCHAT00000023051	0.9574787995429122	0.9543513562278222	0.9491790461297888	0.97522102604198	0.9831599206110544	0.9690262825524748	1.0	0.9604859565766524	0.9459914596740242	0.953148493414326
FBtr0301626	0.9499007638178866	0.9548325013532206	0.9477957538942684	0.9586215192157336	0.9627713959222952	0.9609671017020508	0.9604859565766524	1.0	0.943886449750406	0.9508630540686834
ENSEBUT00000011186	0.9503217658026102	0.9348048355085102	0.9489384735670896	0.9421422986708364	0.9465327479400976	0.9423828712335358	0.9459914596740242	0.943886449750406	1.0	0.98911409153786
ENSEBUT00000011195	0.9486979010043904	0.9408792927166656	0.9550129307752452	0.9495399049738378	0.9536296385397244	0.9491790461297888	0.953148493414326	0.9508630540686834	0.98911409153786	1.0
