	F13G3.5b.2	F13G3.5b.1	FBtr0078415	FBtr0078417	ENSACIT00000000199	ENSHHUT00000031110	F13G3.5b.3	F13G3.5a.2	YHR046C_mRNA	FBtr0305708	F13G3.5a.1	F13G3.5a.3	ENSHHUT00000020493	YDR287W_mRNA
F13G3.5b.2	1.0	1.0	0.41462668298653615	0.7851897184822522	0.6401468788249693	0.6272949816401469	1.0	0.9287025703794368	0.5734394124847001	0.7851897184822522	0.9287025703794368	0.9287025703794368	0.6028151774785802	0.5712974296205631
F13G3.5b.1	1.0	1.0	0.41462668298653615	0.7851897184822522	0.6401468788249693	0.6272949816401469	1.0	0.9287025703794368	0.5734394124847001	0.7851897184822522	0.9287025703794368	0.9287025703794368	0.6028151774785802	0.5712974296205631
FBtr0078415	0.41462668298653615	0.41462668298653615	1.0	0.5030599755201959	0.4840881272949816	0.4920440636474908	0.41462668298653615	0.4118727050183599	0.34577723378212977	0.5030599755201959	0.4118727050183599	0.4118727050183599	0.3405752753977969	0.34700122399020805
FBtr0078417	0.7851897184822522	0.7851897184822522	0.5030599755201959	1.0	0.6453488372093024	0.6318849449204407	0.7851897184822522	0.7824357405140759	0.6346389228886169	1.0	0.7824357405140759	0.7824357405140759	0.6820685434516524	0.6407588739290085
ENSACIT00000000199	0.6401468788249693	0.6401468788249693	0.4840881272949816	0.6453488372093024	1.0	0.9299265605875152	0.6401468788249693	0.6373929008567931	0.6070991432068543	0.6453488372093024	0.6373929008567931	0.6373929008567931	0.6331089351285191	0.6098531211750307
ENSHHUT00000031110	0.6272949816401469	0.6272949816401469	0.4920440636474908	0.6318849449204407	0.9299265605875152	1.0	0.6272949816401469	0.6245410036719706	0.6153610771113831	0.6318849449204407	0.6245410036719706	0.6245410036719706	0.6459608323133414	0.6181150550795593
F13G3.5b.3	1.0	1.0	0.41462668298653615	0.7851897184822522	0.6401468788249693	0.6272949816401469	1.0	0.9287025703794368	0.5734394124847001	0.7851897184822522	0.9287025703794368	0.9287025703794368	0.6028151774785802	0.5712974296205631
F13G3.5a.2	0.9287025703794368	0.9287025703794368	0.4118727050183599	0.7824357405140759	0.6373929008567931	0.6245410036719706	0.9287025703794368	1.0	0.5706854345165239	0.7824357405140759	1.0	1.0	0.6000611995104039	0.5685434516523867
YHR046C_mRNA	0.5734394124847001	0.5734394124847001	0.34577723378212977	0.6346389228886169	0.6070991432068543	0.6153610771113831	0.5734394124847001	0.5706854345165239	1.0	0.6346389228886169	0.5706854345165239	0.5706854345165239	0.6239290085679314	0.8491432068543452
FBtr0305708	0.7851897184822522	0.7851897184822522	0.5030599755201959	1.0	0.6453488372093024	0.6318849449204407	0.7851897184822522	0.7824357405140759	0.6346389228886169	1.0	0.7824357405140759	0.7824357405140759	0.6820685434516524	0.6407588739290085
F13G3.5a.1	0.9287025703794368	0.9287025703794368	0.4118727050183599	0.7824357405140759	0.6373929008567931	0.6245410036719706	0.9287025703794368	1.0	0.5706854345165239	0.7824357405140759	1.0	1.0	0.6000611995104039	0.5685434516523867
F13G3.5a.3	0.9287025703794368	0.9287025703794368	0.4118727050183599	0.7824357405140759	0.6373929008567931	0.6245410036719706	0.9287025703794368	1.0	0.5706854345165239	0.7824357405140759	1.0	1.0	0.6000611995104039	0.5685434516523867
ENSHHUT00000020493	0.6028151774785802	0.6028151774785802	0.3405752753977969	0.6820685434516524	0.6331089351285191	0.6459608323133414	0.6028151774785802	0.6000611995104039	0.6239290085679314	0.6820685434516524	0.6000611995104039	0.6000611995104039	1.0	0.6410648714810282
YDR287W_mRNA	0.5712974296205631	0.5712974296205631	0.34700122399020805	0.6407588739290085	0.6098531211750307	0.6181150550795593	0.5712974296205631	0.5685434516523867	0.8491432068543452	0.6407588739290085	0.5685434516523867	0.5685434516523867	0.6410648714810282	1.0
