	B0513.2a.1	B0513.2a.2	ENSCHAT00000063263	ENSCHAT00000063276	FBtr0072527	FBtr0072526	ENSCHAT00000063272	ENSDCDT00000030817	ENSAMXT00000014847	B0513.2b.1
B0513.2a.1	1.0	1.0	0.5093729799612152	0.5235940530058177	0.2404654169360052	0.2417582417582418	0.4880413703943116	0.4621848739495799	0.5003232062055591	0.6393018745959922
B0513.2a.2	1.0	1.0	0.5093729799612152	0.5235940530058177	0.2404654169360052	0.2417582417582418	0.4880413703943116	0.4621848739495799	0.5003232062055591	0.6393018745959922
ENSCHAT00000063263	0.5093729799612152	0.5093729799612152	1.0	0.9851325145442792	0.28894634776987715	0.29023917259211385	0.9431157078215902	0.8590820943762121	0.9062702003878474	0.6140917905623788
ENSCHAT00000063276	0.5235940530058177	0.5235940530058177	0.9851325145442792	1.0	0.29864253393665163	0.2999353587588882	0.9282482223658696	0.8687782805429864	0.8946347769877182	0.6237879767291532
FBtr0072527	0.2404654169360052	0.2404654169360052	0.28894634776987715	0.29864253393665163	1.0	0.9980607627666452	0.308338720103426	0.3102779573367809	0.29153199741435043	0.3949579831932773
FBtr0072526	0.2417582417582418	0.2417582417582418	0.29023917259211385	0.2999353587588882	0.9980607627666452	1.0	0.3096315449256626	0.31157078215901746	0.29282482223658696	0.3930187459599224
ENSCHAT00000063272	0.4880413703943116	0.4880413703943116	0.9431157078215902	0.9282482223658696	0.308338720103426	0.3096315449256626	1.0	0.8080155138978669	0.8623141564318035	0.5772462831286359
ENSDCDT00000030817	0.4621848739495799	0.4621848739495799	0.8590820943762121	0.8687782805429864	0.3102779573367809	0.31157078215901746	0.8080155138978669	1.0	0.8506787330316742	0.5675500969618616
ENSAMXT00000014847	0.5003232062055591	0.5003232062055591	0.9062702003878474	0.8946347769877182	0.29153199741435043	0.29282482223658696	0.8623141564318035	0.8506787330316742	1.0	0.6134453781512605
B0513.2b.1	0.6393018745959922	0.6393018745959922	0.6140917905623788	0.6237879767291532	0.3949579831932773	0.3930187459599224	0.5772462831286359	0.5675500969618616	0.6134453781512605	1.0
