	B0244.4b.1	B0244.16.1	B0244.10b.1	B0244.17.1	B0244.5.1	B0244.10a.1	B0244.4c.1	B0244.4a.1	B0244.15.1	B0244.7.1	B0244.6.1
B0244.4b.1	1.0	0.6876487701666226	0.7548267654059773	0.8357577360486643	0.9111346204707751	0.8320550119016134	0.9502777043110288	0.961121396455964	0.7289076963766199	0.7635546151811691	0.7500661200740545
B0244.16.1	0.6876487701666226	1.0	0.7505950806664904	0.7035175879396985	0.6807722824649564	0.690029092832584	0.6802433218725205	0.7265273737106586	0.6437450409944461	0.6477122454377149	0.7241470510446971
B0244.10b.1	0.7548267654059773	0.7505950806664904	1.0	0.7566781274795028	0.7484792382967469	0.7849775191748215	0.8040201005025126	0.7937053689500132	0.6902935731288019	0.7082782332716213	0.7413382702988628
B0244.17.1	0.8357577360486643	0.7035175879396985	0.7566781274795028	1.0	0.8286167680507802	0.8391959798994975	0.8151282729436657	0.825443004496165	0.7246760116371329	0.7550912457021952	0.7611742925152076
B0244.5.1	0.9111346204707751	0.6807722824649564	0.7484792382967469	0.8286167680507802	1.0	0.8299391695318699	0.8751653001851362	0.8886537952922507	0.7291721766728378	0.7593229304416821	0.7479502777043109
B0244.10a.1	0.8320550119016134	0.690029092832584	0.7849775191748215	0.8391959798994975	0.8299391695318699	1.0	0.8074583443533456	0.8153927532398836	0.7146257603808516	0.7577360486643745	0.7532398836286697
B0244.4c.1	0.9502777043110288	0.6802433218725205	0.8040201005025126	0.8151282729436657	0.8751653001851362	0.8074583443533456	1.0	0.9113991007669928	0.7037820682359164	0.7434541126686062	0.7291721766728378
B0244.4a.1	0.961121396455964	0.7265273737106586	0.7937053689500132	0.825443004496165	0.8886537952922507	0.8153927532398836	0.9113991007669928	1.0	0.767786299920656	0.759851891034118	0.7889447236180904
B0244.15.1	0.7289076963766199	0.6437450409944461	0.6902935731288019	0.7246760116371329	0.7291721766728378	0.7146257603808516	0.7037820682359164	0.767786299920656	1.0	0.7392224279291193	0.7119809574186723
B0244.7.1	0.7635546151811691	0.6477122454377149	0.7082782332716213	0.7550912457021952	0.7593229304416821	0.7577360486643745	0.7434541126686062	0.759851891034118	0.7392224279291193	1.0	0.7064268711980958
B0244.6.1	0.7500661200740545	0.7241470510446971	0.7413382702988628	0.7611742925152076	0.7479502777043109	0.7532398836286697	0.7291721766728378	0.7889447236180904	0.7119809574186723	0.7064268711980958	1.0
